Year,Aide publique au développement,Pays les moins avancés,Value
2015,APD en proportion du RNB,,0.27
2016,APD en proportion du RNB,,0.26
2017,APD en proportion du RNB,,0.27
2018,APD en proportion du RNB,,0.28
2019,APD en proportion du RNB,,0.27
2020,APD en proportion du RNB,,0.31
2021,APD en proportion du RNB,,0.32
2022,APD en proportion du RNB,,0.37
2023,APD en proportion du RNB,,0.38
2019,APD en proportion du RNB,"APD aux PMA, en proportion du RNB",0.09
2020,APD en proportion du RNB,"APD aux PMA, en proportion du RNB",0.09
2021,APD en proportion du RNB,"APD aux PMA, en proportion du RNB",0.09
2022,APD en proportion du RNB,"APD aux PMA, en proportion du RNB",0.1
