Year,Series,Units,Géographie,Centres de population,GeoCode,Value
2016,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),,,,84.3
2017,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),,,,84.1
2018,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),,,,85.5
2019,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),,,,87.4
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),,,,89.7
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),,,,91.4
2022,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),,,,93.1
2016,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations,,27.3
2017,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations,,27.7
2018,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations,,31.3
2019,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations,,34.8
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations,,39.1
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations,,43.3
2022,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations,,50.1
2016,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions urbaines,,73.0
2017,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions urbaines,,73.0
2018,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions urbaines,,75.6
2019,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions urbaines,,80.7
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions urbaines,,84.2
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions urbaines,,81.8
2022,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions urbaines,,81.7
2016,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions rurales,,14.2
2017,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions rurales,,14.8
2018,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions rurales,,18.7
2019,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions rurales,,21.7
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions rurales,,26.2
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions rurales,,32.3
2022,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Canada,Réserves des Premières Nations Régions rurales,,37.8
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,99.48
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Québec,Réserves des Premières Nations Régions urbaines,24,80.53
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,75.49
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Saskatchewan,Réserves des Premières Nations Régions urbaines,47,6.56
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Ontario,Réserves des Premières Nations Régions urbaines,35,43.66
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Manitoba,Réserves des Premières Nations Régions urbaines,46,0.41
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Nouveau-Brunswick,Réserves des Premières Nations Régions urbaines,13,100.0
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Colombie-Britannique,Réserves des Premières Nations Régions urbaines,59,98.79
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Québec,Réserves des Premières Nations Régions urbaines,24,84.75
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Nouvelle-Écosse,Réserves des Premières Nations Régions urbaines,12,48.33
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Saskatchewan,Réserves des Premières Nations Régions urbaines,47,6.56
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Ontario,Réserves des Premières Nations Régions urbaines,35,5.78
2021,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Manitoba,Réserves des Premières Nations Régions urbaines,46,0.0
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Île-du-Prince-Édouard,Réserves des Premières Nations Régions rurales,11,50.38
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Nouveau-Brunswick,Réserves des Premières Nations Régions rurales,13,96.52
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Territoires du Nord-Ouest,Réserves des Premières Nations Régions rurales,61,74.89
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Québec,Réserves des Premières Nations Régions rurales,24,52.44
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Colombie-Britannique,Réserves des Premières Nations Régions rurales,59,46.1
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Nouvelle-Écosse,Réserves des Premières Nations Régions rurales,12,62.95
2020,"Proportion des ménages qui ont accès à des services Internet à large bande à des vitesses de 50/10 Mbps
",Pourcentage (%),Ontario,Réserves des Premières Nations Régions rurales,35,26.89
