Year,Géographie,Groupe d'âge,GeoCode,Value
2018,,,,91.3
2020,,,,92.3
2022,,,,94.5
2018,Canada,15 à 24 ans,,98.6
2018,Canada,25 à 44 ans,,98.2
2018,Canada,45 à 64 ans,,93.9
2018,Canada,65 ans et plus,,71.2
2018,Terre-Neuve-et-Labrador,"Total, 15 ans et plus",10,86.0
2018,Terre-Neuve-et-Labrador,15 à 24 ans,,92.5
2018,Terre-Neuve-et-Labrador,25 à 44 ans,,97.0
2018,Terre-Neuve-et-Labrador,45 à 64 ans,,89.4
2018,Terre-Neuve-et-Labrador,65 ans et plus,,64.7
2018,Île-du-Prince-Édouard,"Total, 15 ans et plus",11,88.5
2018,Île-du-Prince-Édouard,15 à 24 ans,,100.0
2018,Île-du-Prince-Édouard,25 à 44 ans,,98.7
2018,Île-du-Prince-Édouard,45 à 64 ans,,88.1
2018,Île-du-Prince-Édouard,65 ans et plus,,69.0
2018,Nouvelle-Écosse,"Total, 15 ans et plus",12,88.5
2018,Nouvelle-Écosse,15 à 24 ans,,100.0
2018,Nouvelle-Écosse,25 à 44 ans,,98.3
2018,Nouvelle-Écosse,45 à 64 ans,,89.4
2018,Nouvelle-Écosse,65 ans et plus,,68.2
2018,Nouveau-Brunswick,"Total, 15 ans et plus",13,89.2
2018,Nouveau-Brunswick,15 à 24 ans,,100.0
2018,Nouveau-Brunswick,25 à 44 ans,,98.1
2018,Nouveau-Brunswick,45 à 64 ans,,91.7
2018,Nouveau-Brunswick,65 ans et plus,,69.3
2018,Québec,"Total, 15 ans et plus",24,88.0
2018,Québec,15 à 24 ans,,100.0
2018,Québec,25 à 44 ans,,97.9
2018,Québec,45 à 64 ans,,91.3
2018,Québec,65 ans et plus,,62.1
2018,Ontario,"Total, 15 ans et plus",35,92.2
2018,Ontario,15 à 24 ans,,97.9
2018,Ontario,25 à 44 ans,,98.4
2018,Ontario,45 à 64 ans,,95.2
2018,Ontario,65 ans et plus,,72.8
2018,Manitoba,"Total, 15 ans et plus",46,91.2
2018,Manitoba,15 à 24 ans,,99.5
2018,Manitoba,25 à 44 ans,,97.2
2018,Manitoba,45 à 64 ans,,92.8
2018,Manitoba,65 ans et plus,,70.2
2018,Saskatchewan,"Total, 15 ans et plus",47,89.9
2018,Saskatchewan,15 à 24 ans,,100.0
2018,Saskatchewan,25 à 44 ans,,97.5
2018,Saskatchewan,45 à 64 ans,,91.5
2018,Saskatchewan,65 ans et plus,,64.3
2018,Alberta,"Total, 15 ans et plus",48,94.1
2018,Alberta,15 à 24 ans,,100.0
2018,Alberta,25 à 44 ans,,97.3
2018,Alberta,45 à 64 ans,,94.8
2018,Alberta,65 ans et plus,,79.5
2018,Colombie-Britannique,"Total, 15 ans et plus",59,94.0
2018,Colombie-Britannique,15 à 24 ans,,96.7
2018,Colombie-Britannique,25 à 44 ans,,99.3
2018,Colombie-Britannique,45 à 64 ans,,96.5
