Year,Groupe de population,Sévérité,Value
2000,,,9.3
2001,,,9.0
2002,,,8.9
2003,,,8.8
2004,,,8.8
2005,,,8.7
2006,,,8.7
2007,,,8.7
2008,,,8.7
2009,,,8.7
2010,,,8.7
2011,,,8.8
2012,,,8.8
2013,,,9.0
2014,,,9.1
2015,,,9.3
2016,,,9.5
2017,,,9.7
2018,,,10.0
2019,,,10.4
2000,Femmes en âge de procréer,Sévère,0.4
2001,Femmes en âge de procréer,Sévère,0.4
2002,Femmes en âge de procréer,Sévère,0.3
2003,Femmes en âge de procréer,Sévère,0.3
2004,Femmes en âge de procréer,Sévère,0.3
2005,Femmes en âge de procréer,Sévère,0.3
2006,Femmes en âge de procréer,Sévère,0.3
2007,Femmes en âge de procréer,Sévère,0.3
2008,Femmes en âge de procréer,Sévère,0.3
2009,Femmes en âge de procréer,Sévère,0.3
2010,Femmes en âge de procréer,Sévère,0.3
2011,Femmes en âge de procréer,Sévère,0.3
2012,Femmes en âge de procréer,Sévère,0.3
2013,Femmes en âge de procréer,Sévère,0.3
2014,Femmes en âge de procréer,Sévère,0.3
2015,Femmes en âge de procréer,Sévère,0.3
2016,Femmes en âge de procréer,Sévère,0.3
2017,Femmes en âge de procréer,Sévère,0.3
2018,Femmes en âge de procréer,Sévère,0.3
2019,Femmes en âge de procréer,Sévère,0.3
2000,Femmes en âge de procréer,Modérée,2.3
2001,Femmes en âge de procréer,Modérée,2.2
2002,Femmes en âge de procréer,Modérée,2.1
2003,Femmes en âge de procréer,Modérée,2.1
2004,Femmes en âge de procréer,Modérée,2.0
2005,Femmes en âge de procréer,Modérée,2.0
2006,Femmes en âge de procréer,Modérée,2.0
2007,Femmes en âge de procréer,Modérée,2.0
2008,Femmes en âge de procréer,Modérée,2.0
2009,Femmes en âge de procréer,Modérée,2.0
2010,Femmes en âge de procréer,Modérée,2.0
2011,Femmes en âge de procréer,Modérée,2.0
2012,Femmes en âge de procréer,Modérée,2.0
2013,Femmes en âge de procréer,Modérée,2.0
2014,Femmes en âge de procréer,Modérée,2.1
2015,Femmes en âge de procréer,Modérée,2.1
2016,Femmes en âge de procréer,Modérée,2.2
2017,Femmes en âge de procréer,Modérée,2.3
2018,Femmes en âge de procréer,Modérée,2.4
2019,Femmes en âge de procréer,Modérée,2.6
2000,Femmes en âge de procréer,Légère,6.6
2001,Femmes en âge de procréer,Légère,6.5
2002,Femmes en âge de procréer,Légère,6.4
2003,Femmes en âge de procréer,Légère,6.4
2004,Femmes en âge de procréer,Légère,6.4
2005,Femmes en âge de procréer,Légère,6.4
2006,Femmes en âge de procréer,Légère,6.4
2007,Femmes en âge de procréer,Légère,6.4
2008,Femmes en âge de procréer,Légère,6.4
2009,Femmes en âge de procréer,Légère,6.4
2010,Femmes en âge de procréer,Légère,6.5
2011,Femmes en âge de procréer,Légère,6.5
2012,Femmes en âge de procréer,Légère,6.6
2013,Femmes en âge de procréer,Légère,6.7
2014,Femmes en âge de procréer,Légère,6.8
2015,Femmes en âge de procréer,Légère,6.9
2016,Femmes en âge de procréer,Légère,7.0
2017,Femmes en âge de procréer,Légère,7.1
2018,Femmes en âge de procréer,Légère,7.3
2019,Femmes en âge de procréer,Légère,7.5
2019,Femmes enceintes,Sévère,0.2
2019,Femmes enceintes,Légère,11.1
2019,Femmes enceintes,Total,16.0
2019,Femmes enceintes,Modérée,4.7
2018,Femmes enceintes,Sévère,0.2
2018,Femmes enceintes,Légère,11.0
2018,Femmes enceintes,Total,15.7
2018,Femmes enceintes,Modérée,4.6
2017,Femmes enceintes,Sévère,0.2
2017,Femmes enceintes,Légère,10.9
2017,Femmes enceintes,Total,15.5
2017,Femmes enceintes,Modérée,4.5
2016,Femmes enceintes,Sévère,0.2
2016,Femmes enceintes,Légère,10.7
2016,Femmes enceintes,Total,15.4
2016,Femmes enceintes,Modérée,4.5
2015,Femmes enceintes,Sévère,0.2
2015,Femmes enceintes,Légère,10.6
2015,Femmes enceintes,Total,15.2
2015,Femmes enceintes,Modérée,4.4
2014,Femmes enceintes,Sévère,0.2
2014,Femmes enceintes,Légère,10.5
2014,Femmes enceintes,Total,15.0
2014,Femmes enceintes,Modérée,4.3
2013,Femmes enceintes,Sévère,0.2
2013,Femmes enceintes,Légère,10.4
2013,Femmes enceintes,Total,14.8
2013,Femmes enceintes,Modérée,4.3
2012,Femmes enceintes,Sévère,0.2
2012,Femmes enceintes,Légère,10.2
2012,Femmes enceintes,Total,14.7
2012,Femmes enceintes,Modérée,4.3
2011,Femmes enceintes,Sévère,0.2
2011,Femmes enceintes,Légère,10.2
2011,Femmes enceintes,Total,14.6
2011,Femmes enceintes,Modérée,4.2
2010,Femmes enceintes,Sévère,0.2
2010,Femmes enceintes,Légère,10.1
2010,Femmes enceintes,Total,14.6
2010,Femmes enceintes,Modérée,4.3
2009,Femmes enceintes,Sévère,0.2
2009,Femmes enceintes,Légère,10.1
2009,Femmes enceintes,Total,14.6
2009,Femmes enceintes,Modérée,4.3
2008,Femmes enceintes,Sévère,0.2
2008,Femmes enceintes,Légère,10.0
2008,Femmes enceintes,Total,14.6
2008,Femmes enceintes,Modérée,4.3
2007,Femmes enceintes,Sévère,0.2
2007,Femmes enceintes,Légère,10.0
2007,Femmes enceintes,Total,14.6
2007,Femmes enceintes,Modérée,4.4
2006,Femmes enceintes,Sévère,0.3
2006,Femmes enceintes,Légère,10.0
2006,Femmes enceintes,Total,14.6
2006,Femmes enceintes,Modérée,4.4
2005,Femmes enceintes,Sévère,0.3
2005,Femmes enceintes,Légère,10.0
2005,Femmes enceintes,Total,14.7
2005,Femmes enceintes,Modérée,4.4
2004,Femmes enceintes,Sévère,0.3
2004,Femmes enceintes,Légère,10.0
2004,Femmes enceintes,Total,14.8
2004,Femmes enceintes,Modérée,4.5
2003,Femmes enceintes,Sévère,0.3
2003,Femmes enceintes,Légère,10.1
2003,Femmes enceintes,Total,14.9
2003,Femmes enceintes,Modérée,4.6
2002,Femmes enceintes,Sévère,0.3
2002,Femmes enceintes,Légère,10.1
2002,Femmes enceintes,Total,15.1
2002,Femmes enceintes,Modérée,4.6
2001,Femmes enceintes,Sévère,0.3
2001,Femmes enceintes,Légère,10.2
2001,Femmes enceintes,Total,15.3
2001,Femmes enceintes,Modérée,4.8
2000,Femmes enceintes,Sévère,0.3
2000,Femmes enceintes,Légère,10.4
2000,Femmes enceintes,Total,15.7
2000,Femmes enceintes,Modérée,5.0
2019,Femmes non enceintes,Sévère,0.3
2019,Femmes non enceintes,Total,10.2
2019,Femmes non enceintes,Modérée,2.5
2019,Femmes non enceintes,Légère,7.4
2018,Femmes non enceintes,Sévère,0.3
2018,Femmes non enceintes,Modérée,2.4
2018,Femmes non enceintes,Légère,7.2
2018,Femmes non enceintes,Total,9.8
2017,Femmes non enceintes,Sévère,0.3
2017,Femmes non enceintes,Modérée,2.3
2017,Femmes non enceintes,Légère,7.0
2017,Femmes non enceintes,Total,9.5
2016,Femmes non enceintes,Sévère,0.3
2016,Femmes non enceintes,Modérée,2.2
2016,Femmes non enceintes,Légère,6.9
2016,Femmes non enceintes,Total,9.3
2015,Femmes non enceintes,Sévère,0.3
2015,Femmes non enceintes,Modérée,2.1
2015,Femmes non enceintes,Légère,6.8
2015,Femmes non enceintes,Total,9.1
2014,Femmes non enceintes,Sévère,0.3
2014,Femmes non enceintes,Modérée,2.0
2014,Femmes non enceintes,Légère,6.7
2014,Femmes non enceintes,Total,8.9
2013,Femmes non enceintes,Sévère,0.3
2013,Femmes non enceintes,Modérée,2.0
2013,Femmes non enceintes,Légère,6.6
2013,Femmes non enceintes,Total,8.8
2012,Femmes non enceintes,Sévère,0.3
2012,Femmes non enceintes,Modérée,1.9
2012,Femmes non enceintes,Légère,6.5
2012,Femmes non enceintes,Total,8.7
2011,Femmes non enceintes,Sévère,0.3
2011,Femmes non enceintes,Modérée,1.9
2011,Femmes non enceintes,Légère,6.4
2011,Femmes non enceintes,Total,8.6
2010,Femmes non enceintes,Sévère,0.3
2010,Femmes non enceintes,Modérée,1.9
2010,Femmes non enceintes,Légère,6.4
2010,Femmes non enceintes,Total,8.5
2009,Femmes non enceintes,Sévère,0.3
2009,Femmes non enceintes,Modérée,1.9
2009,Femmes non enceintes,Légère,6.3
2009,Femmes non enceintes,Total,8.5
2008,Femmes non enceintes,Sévère,0.3
2008,Femmes non enceintes,Modérée,1.9
2008,Femmes non enceintes,Légère,6.3
2008,Femmes non enceintes,Total,8.5
2007,Femmes non enceintes,Sévère,0.3
2007,Femmes non enceintes,Modérée,1.9
2007,Femmes non enceintes,Légère,6.3
2007,Femmes non enceintes,Total,8.5
2006,Femmes non enceintes,Sévère,0.3
2006,Femmes non enceintes,Modérée,1.9
2006,Femmes non enceintes,Légère,6.3
2006,Femmes non enceintes,Total,8.5
2005,Femmes non enceintes,Sévère,0.3
2005,Femmes non enceintes,Modérée,1.9
2005,Femmes non enceintes,Légère,6.3
2005,Femmes non enceintes,Total,8.6
2004,Femmes non enceintes,Sévère,0.3
2004,Femmes non enceintes,Modérée,2.0
