Year,Taille,Caractéristiques,Value
2001,Petits producteurs alimentaires,Total,8466
2006,Petits producteurs alimentaires,Total,8414
2011,Petits producteurs alimentaires,Total,9044
2016,Petits producteurs alimentaires,Total,12337
2021,Petits producteurs alimentaires,Total,14745
2001,Petits producteurs alimentaires,Homme,9538
2006,Petits producteurs alimentaires,Homme,9472
2011,Petits producteurs alimentaires,Homme,10157
2016,Petits producteurs alimentaires,Homme,13877
2021,Petits producteurs alimentaires,Homme,16371
2001,Petits producteurs alimentaires,Femme,5882
2006,Petits producteurs alimentaires,Femme,6045
2011,Petits producteurs alimentaires,Femme,6580
2016,Petits producteurs alimentaires,Femme,9227
2021,Petits producteurs alimentaires,Femme,11653
2001,Petits producteurs alimentaires,Moins de 35 ans,8068
2006,Petits producteurs alimentaires,Moins de 35 ans,7988
2011,Petits producteurs alimentaires,Moins de 35 ans,8472
2016,Petits producteurs alimentaires,Moins de 35 ans,11653
2021,Petits producteurs alimentaires,Moins de 35 ans,15645
2001,Petits producteurs alimentaires,35 à 54 ans,8135
2006,Petits producteurs alimentaires,35 à 54 ans,8100
2011,Petits producteurs alimentaires,35 à 54 ans,8768
2016,Petits producteurs alimentaires,35 à 54 ans,11628
2021,Petits producteurs alimentaires,35 à 54 ans,14172
2001,Petits producteurs alimentaires,55 ans et plus,8962
2006,Petits producteurs alimentaires,55 ans et plus,8790
2011,Petits producteurs alimentaires,55 ans et plus,9298
2016,Petits producteurs alimentaires,55 ans et plus,12808
2021,Petits producteurs alimentaires,55 ans et plus,14873
2001,Producteurs alimentaires de moyenne à grande échelle,Total,208074
2006,Producteurs alimentaires de moyenne à grande échelle,Total,247326
2011,Producteurs alimentaires de moyenne à grande échelle,Total,345676
2016,Producteurs alimentaires de moyenne à grande échelle,Total,513857
2021,Producteurs alimentaires de moyenne à grande échelle,Total,667966
2001,Producteurs alimentaires de moyenne à grande échelle,Homme,236175
2006,Producteurs alimentaires de moyenne à grande échelle,Homme,283770
2011,Producteurs alimentaires de moyenne à grande échelle,Homme,400924
2016,Producteurs alimentaires de moyenne à grande échelle,Homme,590083
2021,Producteurs alimentaires de moyenne à grande échelle,Homme,768217
2001,Producteurs alimentaires de moyenne à grande échelle,Femme,121400
2006,Producteurs alimentaires de moyenne à grande échelle,Femme,142782
2011,Producteurs alimentaires de moyenne à grande échelle,Femme,181330
2016,Producteurs alimentaires de moyenne à grande échelle,Femme,295356
2021,Producteurs alimentaires de moyenne à grande échelle,Femme,404423
2001,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,164324
2006,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,200479
2011,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,284951
2016,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,409277
2021,Producteurs alimentaires de moyenne à grande échelle,Moins de 35 ans,527310
2001,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,243097
2006,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,286777
2011,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,411485
2016,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,547961
2021,Producteurs alimentaires de moyenne à grande échelle,35 à 54 ans,782253
2001,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,162381
2006,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,203285
2011,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,288523
2016,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,508362
2021,Producteurs alimentaires de moyenne à grande échelle,55 ans et plus,622965
2001,,,131840
2006,,,155771
2011,,,216729
2016,,,319872
2021,,,398271
2001,Total,Homme,153143
2006,Total,Homme,183163
2011,Total,Homme,258834
2016,Total,Homme,381125
2021,Total,Homme,475954
2001,Total,Femme,72257
2006,Total,Femme,84538
2011,Total,Femme,105415
2016,Total,Femme,167494
2021,Total,Femme,220446
2001,Total,Moins de 35 ans,112463
2006,Total,Moins de 35 ans,138425
2011,Total,Moins de 35 ans,204596
2016,Total,Moins de 35 ans,278230
2021,Total,Moins de 35 ans,355616
2001,Total,35 à 54 ans,160692
2006,Total,35 à 54 ans,189894
2011,Total,35 à 54 ans,275738
2016,Total,35 à 54 ans,363363
2021,Total,35 à 54 ans,512631
2001,Total,55 ans et plus,93890
2006,Total,55 ans et plus,117549
2011,Total,55 ans et plus,165613
2016,Total,55 ans et plus,297855
2021,Total,55 ans et plus,345984
