Year,Series,Units,Value
2015,Indice d’orientation agricole des dépenses publiques,Indice,0.5
2016,Indice d’orientation agricole des dépenses publiques,Indice,0.58
2017,Indice d’orientation agricole des dépenses publiques,Indice,0.52
2018,Indice d’orientation agricole des dépenses publiques,Indice,0.63
2019,Indice d’orientation agricole des dépenses publiques,Indice,0.69
2020,Indice d’orientation agricole des dépenses publiques,Indice,0.46
2021,Indice d’orientation agricole des dépenses publiques,Indice,0.9
2022,Indice d’orientation agricole des dépenses publiques,Indice,0.7
2023,Indice d’orientation agricole des dépenses publiques,Indice,0.79
2024,Indice d’orientation agricole des dépenses publiques,Indice,0.66
2024,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.81
2023,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.78
2022,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.76
2021,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.75
2015,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.87
2020,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.84
2016,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.86
2017,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.89
2019,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.7
2018,Part de la valeur ajoutée de l’agriculture dans le PIB (%),Pourcentage (%),1.7
2015,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),0.93
2016,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.08
2017,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),0.99
2018,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.08
2019,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.17
2020,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),0.85
2021,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.57
2022,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.24
2023,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.41
2024,Part de l’agriculture dans les dépenses publiques (%),Pourcentage (%),1.19
