Year,Sexe,Value
2010,,1.23
2011,,1.42
2012,,1.15
2013,,1.25
2014,,0.93
2015,,0.73
2016,,0.87
2017,,0.46
2018,,0.41
2019,,0.15
2020,,0.26
2021,,0.37
2022,,0.21
2023,,0.32
2010,Femme,1.31
2011,Femme,1.51
2012,Femme,1.28
2013,Femme,1.38
2014,Femme,1.17
2015,Femme,0.42
2016,Femme,0.74
2017,Femme,0.63
2018,Femme,0.42
2019,Femme,0.21
2020,Femme,0.11
2021,Femme,0.22
2022,Femme,0.22
2023,Femme,0.11
2010,Homme,1.14
2011,Homme,1.23
2012,Homme,1.02
2013,Homme,1.12
2014,Homme,0.71
2015,Homme,1.01
2016,Homme,1.01
2017,Homme,0.3
2018,Homme,0.4
2019,Homme,0.1
2020,Homme,0.4
2021,Homme,0.51
2022,Homme,0.21
2023,Homme,0.31
