Year,Maladies tropicales négligées,Sexe,Value
2010,,,4
2011,,,11
2012,,,10
2013,,,2
2014,,,6
2015,,,9
2016,,,8
2017,,,1
2018,,,12
2019,,,4
2020,,,1
2021,,,7
2022,,,3
2023,,,3
2010,Total - Maladies tropicales négligées,Homme,2
2011,Total - Maladies tropicales négligées,Homme,7
2012,Total - Maladies tropicales négligées,Homme,8
2013,Total - Maladies tropicales négligées,Homme,1
2014,Total - Maladies tropicales négligées,Homme,5
2015,Total - Maladies tropicales négligées,Homme,5
2016,Total - Maladies tropicales négligées,Homme,6
2017,Total - Maladies tropicales négligées,Homme,1
2018,Total - Maladies tropicales négligées,Homme,10
2019,Total - Maladies tropicales négligées,Homme,3
2020,Total - Maladies tropicales négligées,Homme,1
2021,Total - Maladies tropicales négligées,Homme,5
2022,Total - Maladies tropicales négligées,Homme,2
2023,Total - Maladies tropicales négligées,Homme,3
2010,Total - Maladies tropicales négligées,Femme,2
2011,Total - Maladies tropicales négligées,Femme,3
2012,Total - Maladies tropicales négligées,Femme,2
2013,Total - Maladies tropicales négligées,Femme,1
2014,Total - Maladies tropicales négligées,Femme,1
2015,Total - Maladies tropicales négligées,Femme,4
2016,Total - Maladies tropicales négligées,Femme,2
2017,Total - Maladies tropicales négligées,Femme,0
2018,Total - Maladies tropicales négligées,Femme,1
2019,Total - Maladies tropicales négligées,Femme,1
2020,Total - Maladies tropicales négligées,Femme,0
2021,Total - Maladies tropicales négligées,Femme,2
2022,Total - Maladies tropicales négligées,Femme,1
2023,Total - Maladies tropicales négligées,Femme,0
2010,Total - Maladies tropicales négligées,Inconnu,0
2011,Total - Maladies tropicales négligées,Inconnu,1
2012,Total - Maladies tropicales négligées,Inconnu,0
2013,Total - Maladies tropicales négligées,Inconnu,0
2014,Total - Maladies tropicales négligées,Inconnu,0
2015,Total - Maladies tropicales négligées,Inconnu,0
2016,Total - Maladies tropicales négligées,Inconnu,0
2017,Total - Maladies tropicales négligées,Inconnu,0
2018,Total - Maladies tropicales négligées,Inconnu,1
2019,Total - Maladies tropicales négligées,Inconnu,0
2020,Total - Maladies tropicales négligées,Inconnu,0
2021,Total - Maladies tropicales négligées,Inconnu,0
2022,Total - Maladies tropicales négligées,Inconnu,0
2023,Total - Maladies tropicales négligées,Inconnu,0
2010,Lèpre,Tous,4
2011,Lèpre,Tous,11
2012,Lèpre,Tous,9
2013,Lèpre,Tous,2
2014,Lèpre,Tous,6
2015,Lèpre,Tous,9
2016,Lèpre,Tous,8
2017,Lèpre,Tous,1
2018,Lèpre,Tous,12
2019,Lèpre,Tous,3
2020,Lèpre,Tous,1
2021,Lèpre,Tous,7
2022,Lèpre,Tous,3
2023,Lèpre,Tous,3
2010,Lèpre,Homme,2
2011,Lèpre,Homme,7
2012,Lèpre,Homme,7
2013,Lèpre,Homme,1
2014,Lèpre,Homme,5
2015,Lèpre,Homme,5
2016,Lèpre,Homme,6
2017,Lèpre,Homme,1
2018,Lèpre,Homme,10
2019,Lèpre,Homme,2
2020,Lèpre,Homme,1
2021,Lèpre,Homme,5
2022,Lèpre,Homme,2
2023,Lèpre,Homme,3
2010,Lèpre,Femme,2
2011,Lèpre,Femme,3
2012,Lèpre,Femme,2
2013,Lèpre,Femme,1
2014,Lèpre,Femme,1
2015,Lèpre,Femme,4
2016,Lèpre,Femme,2
2017,Lèpre,Femme,0
2018,Lèpre,Femme,1
2019,Lèpre,Femme,1
2020,Lèpre,Femme,0
2021,Lèpre,Femme,2
2022,Lèpre,Femme,1
2023,Lèpre,Femme,0
2010,Lèpre,Inconnu,0
2011,Lèpre,Inconnu,1
2012,Lèpre,Inconnu,0
2013,Lèpre,Inconnu,0
2014,Lèpre,Inconnu,0
2015,Lèpre,Inconnu,0
2016,Lèpre,Inconnu,0
2017,Lèpre,Inconnu,0
2018,Lèpre,Inconnu,1
2019,Lèpre,Inconnu,0
2020,Lèpre,Inconnu,0
2021,Lèpre,Inconnu,0
2022,Lèpre,Inconnu,0
2023,Lèpre,Inconnu,0
2010,Rage,Tous,0
2011,Rage,Tous,0
2012,Rage,Tous,1
2013,Rage,Tous,0
2014,Rage,Tous,0
2015,Rage,Tous,0
2016,Rage,Tous,0
2017,Rage,Tous,0
2018,Rage,Tous,0
2019,Rage,Tous,1
2020,Rage,Tous,0
2021,Rage,Tous,0
2022,Rage,Tous,0
2023,Rage,Tous,0
2010,Rage,Homme,0
2011,Rage,Homme,0
2012,Rage,Homme,1
2013,Rage,Homme,0
2014,Rage,Homme,0
2015,Rage,Homme,0
2016,Rage,Homme,0
2017,Rage,Homme,0
2018,Rage,Homme,0
2019,Rage,Homme,1
2020,Rage,Homme,0
2021,Rage,Homme,0
2022,Rage,Homme,0
2023,Rage,Homme,0
2010,Rage,Femme,0
2011,Rage,Femme,0
2012,Rage,Femme,0
2013,Rage,Femme,0
2014,Rage,Femme,0
2015,Rage,Femme,0
2016,Rage,Femme,0
2017,Rage,Femme,0
2018,Rage,Femme,0
2019,Rage,Femme,0
2020,Rage,Femme,0
2021,Rage,Femme,0
2022,Rage,Femme,0
2023,Rage,Femme,0
