Year,Series,Units,Population,Value
2015,Proportion dont la part est supérieure à 10 %,Pourcentage (%),,3.3
2015,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Homme,3.2
2015,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Femme,3.5
2015,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Moins de 18 ans,2.0
2015,Proportion dont la part est supérieure à 10 %,Pourcentage (%),De 18 à 64 ans,3.0
2015,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Âgé de 65 ans et plus,6.3
2015,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Revenu après impôt ajusté du ménage dans la tranche inférieure de 40 %,6.0
2015,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Revenu après impôt rajusté du ménage dans la tranche supérieure de 60 %,1.5
2016,Proportion dont la part est supérieure à 10 %,Pourcentage (%),,3.4
2016,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Homme,3.2
2016,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Femme,3.7
2016,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Moins de 18 ans,2.0
2016,Proportion dont la part est supérieure à 10 %,Pourcentage (%),De 18 à 64 ans,2.9
2016,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Âgé de 65 ans et plus,7.1
2016,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Revenu après impôt ajusté du ménage dans la tranche inférieure de 40 %,6.2
2016,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Revenu après impôt rajusté du ménage dans la tranche supérieure de 60 %,1.6
2017,Proportion dont la part est supérieure à 10 %,Pourcentage (%),,3.8
2017,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Homme,3.7
2017,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Femme,4.0
2017,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Moins de 18 ans,2.3
2017,Proportion dont la part est supérieure à 10 %,Pourcentage (%),De 18 à 64 ans,3.3
2017,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Âgé de 65 ans et plus,7.6
2017,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Revenu après impôt ajusté du ménage dans la tranche inférieure de 40 %,7.4
2017,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Revenu après impôt rajusté du ménage dans la tranche supérieure de 60 %,1.5
2019,Proportion dont la part est supérieure à 10 %,Pourcentage (%),,3.5
2019,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Homme,3.1
2019,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Femme,3.8
2019,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Moins de 18 ans,2.2
2019,Proportion dont la part est supérieure à 10 %,Pourcentage (%),De 18 à 64 ans,3.0
2019,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Âgé de 65 ans et plus,6.6
2019,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Revenu après impôt ajusté du ménage dans la tranche inférieure de 40 %,7.1
2019,Proportion dont la part est supérieure à 10 %,Pourcentage (%),Revenu après impôt rajusté du ménage dans la tranche supérieure de 60 %,1.1
2015,Proportion dont la part est supérieure à 25 %,Pourcentage (%),,0.5
2015,Proportion dont la part est supérieure à 25 %,Pourcentage (%),Homme,0.5
2015,Proportion dont la part est supérieure à 25 %,Pourcentage (%),Femme,0.5
