Year,Type de maladie,Value
2015,,25.51
2016,,20.89
2017,,23.86
2018,,26.72
2019,,21.46
2020,,18.86
2021,,13.32
2022,,18.83
2023,,19.27
2024,,22.07
2015,"Affections aiguës des voies respiratoires supérieures
",21.91
2016,"Affections aiguës des voies respiratoires supérieures
",17.78
2017,"Affections aiguës des voies respiratoires supérieures
",20.83
2018,"Affections aiguës des voies respiratoires supérieures
",23.76
2019,"Affections aiguës des voies respiratoires supérieures
",18.81
2020,"Affections aiguës des voies respiratoires supérieures
",16.19
2021,"Affections aiguës des voies respiratoires supérieures
",10.96
2022,"Affections aiguës des voies respiratoires supérieures
",16.04
2023,"Affections aiguës des voies respiratoires supérieures
",16.22
2024,"Affections aiguës des voies respiratoires supérieures
",18.85
2015,Diarrhée,3.06
2016,Diarrhée,2.65
2017,Diarrhée,2.48
2018,Diarrhée,2.38
2019,Diarrhée,2.15
2020,Diarrhée,2.07
2021,Diarrhée,1.72
2022,Diarrhée,2.03
2023,Diarrhée,2.41
2024,Diarrhée,2.5
2015,Infections intestinales à nématodes,0.0
2016,Infections intestinales à nématodes,0.0
2017,Infections intestinales à nématodes,0.0
2018,Infections intestinales à nématodes,0.0
2019,Infections intestinales à nématodes,0.0
2020,Infections intestinales à nématodes,0.0
2021,Infections intestinales à nématodes,0.0
2022,Infections intestinales à nématodes,0.0
2023,Infections intestinales à nématodes,0.0
2024,Infections intestinales à nématodes,0.0
2015,Malnutrition protéino-énergétique,0.55
2016,Malnutrition protéino-énergétique,0.46
2017,Malnutrition protéino-énergétique,0.54
2018,Malnutrition protéino-énergétique,0.58
2019,Malnutrition protéino-énergétique,0.51
2020,Malnutrition protéino-énergétique,0.61
2021,Malnutrition protéino-énergétique,0.63
2022,Malnutrition protéino-énergétique,0.77
2023,Malnutrition protéino-énergétique,0.64
2024,Malnutrition protéino-énergétique,0.72
