Year,Produits du tabac,Sexe,Groupe d’âge,Value
2015,,,,15.5
2017,,,,17.8
2019,,,,14.0
2020,,,,12.1
2021,,,,11.9
2022,,,,12.9
2015,Tout produit du tabac,Les deux sexes,15-19 ans,13.1
2015,Cigarettes,Les deux sexes,15-19 ans,9.8
2015,Cigares,Les deux sexes,15-19 ans,1.3
2015,Cigarettes électroniques,Les deux sexes,15-19 ans,6.3
2015,Petits cigares ou cigarillos,Les deux sexes,15-19 ans,3.0
2015,Tabac sans fumée,Les deux sexes,15-19 ans,0.9
2015,Pipe à eau avec du tabac,Les deux sexes,15-19 ans,1.7
2015,Tout produit du tabac,Les deux sexes,20-24 ans,23.8
2015,Cigarettes,Les deux sexes,20-24 ans,18.9
2015,Cigares,Les deux sexes,20-24 ans,2.3
2015,Cigarettes électroniques,Les deux sexes,20-24 ans,6.3
2015,Petits cigares ou cigarillos,Les deux sexes,20-24 ans,5.7
2015,Pipe,Les deux sexes,20-24 ans,1.5
2015,Tabac sans fumée,Les deux sexes,20-24 ans,1.8
2015,Pipe à eau avec du tabac,Les deux sexes,20-24 ans,2.7
2015,Tout produit du tabac,Les deux sexes,25+ ans,14.9
2015,Cigarettes,Les deux sexes,25+ ans,12.9
2015,Cigares,Les deux sexes,25+ ans,1.1
2015,Cigarettes électroniques,Les deux sexes,25+ ans,2.6
2015,Petits cigares ou cigarillos,Les deux sexes,25+ ans,1.3
2015,Pipe,Les deux sexes,25+ ans,0.4
2015,Tabac sans fumée,Les deux sexes,25+ ans,0.2
2015,Tout produit du tabac,Les deux sexes,25-44 ans,17.8
2015,Cigarettes,Les deux sexes,25-44 ans,15.3
2015,Cigares,Les deux sexes,25-44 ans,1.1
2015,Cigarettes électroniques,Les deux sexes,25-44 ans,3.4
2015,Petits cigares ou cigarillos,Les deux sexes,25-44 ans,1.7
2015,Tout produit du tabac,Les deux sexes,45+ ans,13.0
2015,Cigarettes,Les deux sexes,45+ ans,11.4
2015,Cigares,Les deux sexes,45+ ans,1.0
2015,Cigarettes électroniques,Les deux sexes,45+ ans,2.1
2015,Petits cigares ou cigarillos,Les deux sexes,45+ ans,1.0
2015,Cigarettes,Les deux sexes,Tous les groupes d’âge,13.2
