Year,Units,Type d'aide,Value
2015,"Dollar américain, millions, prix constants de 2023",,379.842149
2016,"Dollar américain, millions, prix constants de 2023",,409.650996
2017,"Dollar américain, millions, prix constants de 2023",,386.525317
2018,"Dollar américain, millions, prix constants de 2023",,348.850018
2019,"Dollar américain, millions, prix constants de 2023",,267.415357
2020,"Dollar américain, millions, prix constants de 2023",,350.353924
2021,"Dollar américain, millions, prix constants de 2023",,1207.520948
2022,"Dollar américain, millions, prix constants de 2023",,927.206938
2023,"Dollar américain, millions, prix constants de 2023",,436.241642
2015,"Dollar américain, millions, prix constants de 2023",Santé de base,341.145879
2015,"Dollar américain, millions, prix constants de 2023",Recherche médicale,38.69627
2016,"Dollar américain, millions, prix constants de 2023",Santé de base,379.321924
2016,"Dollar américain, millions, prix constants de 2023",Recherche médicale,30.329072
2017,"Dollar américain, millions, prix constants de 2023",Santé de base,379.734309
2017,"Dollar américain, millions, prix constants de 2023",Recherche médicale,6.791008
2018,"Dollar américain, millions, prix constants de 2023",Santé de base,339.632138
2018,"Dollar américain, millions, prix constants de 2023",Recherche médicale,9.21788
2019,"Dollar américain, millions, prix constants de 2023",Santé de base,259.788128
2019,"Dollar américain, millions, prix constants de 2023",Recherche médicale,7.627229
2020,"Dollar américain, millions, prix constants de 2023",Santé de base,343.032989
2020,"Dollar américain, millions, prix constants de 2023",Recherche médicale,7.320935
2021,"Dollar américain, millions, prix constants de 2023",Santé de base,1202.341913
2021,"Dollar américain, millions, prix constants de 2023",Recherche médicale,5.179035
2022,"Dollar américain, millions, prix constants de 2023",Santé de base,923.308504
2022,"Dollar américain, millions, prix constants de 2023",Recherche médicale,3.898434
2023,"Dollar américain, millions, prix constants de 2023",Santé de base,432.291627
2023,"Dollar américain, millions, prix constants de 2023",Recherche médicale,3.950015
