Year,Type d'institution fréquentée,Géographie,Groupe d'âge,GeoCode,Value
2014/2015,Total taux de participation,Canada,15 à 19 ans,,83
2014/2015,Primaire/Secondaire,Canada,15 à 19 ans,,58
2014/2015,Collège,Canada,15 à 19 ans,,12
2014/2015,Université,Canada,15 à 19 ans,,12
2014/2015,Total taux de participation,Canada,20 à 24 ans,,40
2014/2015,Primaire/Secondaire,Canada,20 à 24 ans,,2
2014/2015,Collège,Canada,20 à 24 ans,,12
2014/2015,Université,Canada,20 à 24 ans,,26
2014/2015,Total taux de participation,Canada,25 à 29 ans,,13
2014/2015,Primaire/Secondaire,Canada,25 à 29 ans,,1
2014/2015,Collège,Canada,25 à 29 ans,,4
2014/2015,Université,Canada,25 à 29 ans,,8
2014/2015,Total taux de participation,Terre-Neuve-et-Labrador,15 à 19 ans,10,84
2014/2015,Primaire/Secondaire,Terre-Neuve-et-Labrador,15 à 19 ans,10,62
2014/2015,Collège,Terre-Neuve-et-Labrador,15 à 19 ans,10,7
2014/2015,Université,Terre-Neuve-et-Labrador,15 à 19 ans,10,15
2014/2015,Total taux de participation,Terre-Neuve-et-Labrador,20 à 24 ans,10,34
2014/2015,Collège,Terre-Neuve-et-Labrador,20 à 24 ans,10,11
2014/2015,Université,Terre-Neuve-et-Labrador,20 à 24 ans,10,22
2014/2015,Total taux de participation,Terre-Neuve-et-Labrador,25 à 29 ans,10,14
2014/2015,Collège,Terre-Neuve-et-Labrador,25 à 29 ans,10,2
2014/2015,Université,Terre-Neuve-et-Labrador,25 à 29 ans,10,12
2014/2015,Total taux de participation,Île-du-Prince-Édouard,15 à 19 ans,11,83
2014/2015,Primaire/Secondaire,Île-du-Prince-Édouard,15 à 19 ans,11,62
2014/2015,Collège,Île-du-Prince-Édouard,15 à 19 ans,11,7
2014/2015,Université,Île-du-Prince-Édouard,15 à 19 ans,11,15
2014/2015,Total taux de participation,Île-du-Prince-Édouard,20 à 24 ans,11,38
2014/2015,Collège,Île-du-Prince-Édouard,20 à 24 ans,11,9
2014/2015,Université,Île-du-Prince-Édouard,20 à 24 ans,11,29
2014/2015,Total taux de participation,Île-du-Prince-Édouard,25 à 29 ans,11,11
2014/2015,Collège,Île-du-Prince-Édouard,25 à 29 ans,11,4
2014/2015,Université,Île-du-Prince-Édouard,25 à 29 ans,11,7
2014/2015,Total taux de participation,Nouvelle-Écosse,15 à 19 ans,12,83
2014/2015,Primaire/Secondaire,Nouvelle-Écosse,15 à 19 ans,12,65
2014/2015,Collège,Nouvelle-Écosse,15 à 19 ans,12,7
2014/2015,Université,Nouvelle-Écosse,15 à 19 ans,12,11
2014/2015,Total taux de participation,Nouvelle-Écosse,20 à 24 ans,12,33
2014/2015,Collège,Nouvelle-Écosse,20 à 24 ans,12,9
2014/2015,Université,Nouvelle-Écosse,20 à 24 ans,12,24
2014/2015,Total taux de participation,Nouvelle-Écosse,25 à 29 ans,12,12
2014/2015,Collège,Nouvelle-Écosse,25 à 29 ans,12,3
2014/2015,Université,Nouvelle-Écosse,25 à 29 ans,12,9
2014/2015,Total taux de participation,Nouveau-Brunswick,15 à 19 ans,13,83
2014/2015,Primaire/Secondaire,Nouveau-Brunswick,15 à 19 ans,13,63
2014/2015,Collège,Nouveau-Brunswick,15 à 19 ans,13,7
2014/2015,Université,Nouveau-Brunswick,15 à 19 ans,13,13
2014/2015,Total taux de participation,Nouveau-Brunswick,20 à 24 ans,13,28
2014/2015,Collège,Nouveau-Brunswick,20 à 24 ans,13,7
2014/2015,Université,Nouveau-Brunswick,20 à 24 ans,13,21
2014/2015,Total taux de participation,Nouveau-Brunswick,25 à 29 ans,13,10
2014/2015,Collège,Nouveau-Brunswick,25 à 29 ans,13,3
2014/2015,Université,Nouveau-Brunswick,25 à 29 ans,13,6
2014/2015,Total taux de participation,Québec,15 à 19 ans,24,83
2014/2015,Primaire/Secondaire,Québec,15 à 19 ans,24,49
2014/2015,Collège,Québec,15 à 19 ans,24,30
2014/2015,Université,Québec,15 à 19 ans,24,4
2014/2015,Total taux de participation,Québec,20 à 24 ans,24,47
2014/2015,Primaire/Secondaire,Québec,20 à 24 ans,24,4
2014/2015,Collège,Québec,20 à 24 ans,24,13
2014/2015,Université,Québec,20 à 24 ans,24,29
2014/2015,Total taux de participation,Québec,25 à 29 ans,24,18
2014/2015,Primaire/Secondaire,Québec,25 à 29 ans,24,1
2014/2015,Collège,Québec,25 à 29 ans,24,3
2014/2015,Université,Québec,25 à 29 ans,24,14
2014/2015,Total taux de participation,Ontario,15 à 19 ans,35,87
2014/2015,Primaire/Secondaire,Ontario,15 à 19 ans,35,62
2014/2015,Collège,Ontario,15 à 19 ans,35,8
2014/2015,Université,Ontario,15 à 19 ans,35,17
2014/2015,Total taux de participation,Ontario,20 à 24 ans,35,43
2014/2015,Primaire/Secondaire,Ontario,20 à 24 ans,35,1
2014/2015,Collège,Ontario,20 à 24 ans,35,15
2014/2015,Université,Ontario,20 à 24 ans,35,27
2014/2015,Total taux de participation,Ontario,25 à 29 ans,35,12
2014/2015,Primaire/Secondaire,Ontario,25 à 29 ans,35,1
2014/2015,Collège,Ontario,25 à 29 ans,35,6
2014/2015,Université,Ontario,25 à 29 ans,35,6
2014/2015,Total taux de participation,Manitoba,15 à 19 ans,46,78
2014/2015,Primaire/Secondaire,Manitoba,15 à 19 ans,46,61
2014/2015,Collège,Manitoba,15 à 19 ans,46,4
2014/2015,Université,Manitoba,15 à 19 ans,46,13
2014/2015,Total taux de participation,Manitoba,20 à 24 ans,46,31
2014/2015,Primaire/Secondaire,Manitoba,20 à 24 ans,46,1
2014/2015,Collège,Manitoba,20 à 24 ans,46,6
2014/2015,Université,Manitoba,20 à 24 ans,46,24
2014/2015,Total taux de participation,Manitoba,25 à 29 ans,46,13
2014/2015,Primaire/Secondaire,Manitoba,25 à 29 ans,46,1
2014/2015,Collège,Manitoba,25 à 29 ans,46,4
2014/2015,Université,Manitoba,25 à 29 ans,46,8
2014/2015,Total taux de participation,Saskatchewan,15 à 19 ans,47,78
2014/2015,Primaire/Secondaire,Saskatchewan,15 à 19 ans,47,63
2014/2015,Collège,Saskatchewan,15 à 19 ans,47,5
2014/2015,Université,Saskatchewan,15 à 19 ans,47,10
2014/2015,Total taux de participation,Saskatchewan,20 à 24 ans,47,32
2014/2015,Primaire/Secondaire,Saskatchewan,20 à 24 ans,47,1
2014/2015,Collège,Saskatchewan,20 à 24 ans,47,6
2014/2015,Université,Saskatchewan,20 à 24 ans,47,25
2014/2015,Total taux de participation,Saskatchewan,25 à 29 ans,47,11
2014/2015,Collège,Saskatchewan,25 à 29 ans,47,2
2014/2015,Université,Saskatchewan,25 à 29 ans,47,8
2014/2015,Total taux de participation,Alberta,15 à 19 ans,48,78
2014/2015,Primaire/Secondaire,Alberta,15 à 19 ans,48,61
2014/2015,Collège,Alberta,15 à 19 ans,48,5
2014/2015,Université,Alberta,15 à 19 ans,48,12
2014/2015,Total taux de participation,Alberta,20 à 24 ans,48,29
2014/2015,Primaire/Secondaire,Alberta,20 à 24 ans,48,1
2014/2015,Collège,Alberta,20 à 24 ans,48,7
2014/2015,Université,Alberta,20 à 24 ans,48,21
2014/2015,Total taux de participation,Alberta,25 à 29 ans,48,9
2014/2015,Collège,Alberta,25 à 29 ans,48,3
2014/2015,Université,Alberta,25 à 29 ans,48,6
2014/2015,Total taux de participation,Colombie-Britannique,15 à 19 ans,59,76
2014/2015,Primaire/Secondaire,Colombie-Britannique,15 à 19 ans,59,55
2014/2015,Collège,Colombie-Britannique,15 à 19 ans,59,8
2014/2015,Université,Colombie-Britannique,15 à 19 ans,59,13
2014/2015,Total taux de participation,Colombie-Britannique,20 à 24 ans,59,37
2014/2015,Primaire/Secondaire,Colombie-Britannique,20 à 24 ans,59,1
2014/2015,Collège,Colombie-Britannique,20 à 24 ans,59,10
2014/2015,Université,Colombie-Britannique,20 à 24 ans,59,27
2014/2015,Total taux de participation,Colombie-Britannique,25 à 29 ans,59,13
2014/2015,Collège,Colombie-Britannique,25 à 29 ans,59,5
2014/2015,Université,Colombie-Britannique,25 à 29 ans,59,8
2014/2015,Total taux de participation,Yukon,15 à 19 ans,60,75
2014/2015,Primaire/Secondaire,Yukon,15 à 19 ans,60,62
2014/2015,Total taux de participation,Yukon,20 à 24 ans,60,29
2014/2015,Collège,Yukon,20 à 24 ans,60,13
2014/2015,Université,Yukon,20 à 24 ans,60,14
2014/2015,Total taux de participation,Territoires du Nord-Ouest,15 à 19 ans,61,74
2014/2015,Primaire/Secondaire,Territoires du Nord-Ouest,15 à 19 ans,61,62
2014/2015,Université,Territoires du Nord-Ouest,15 à 19 ans,61,8
2014/2015,Total taux de participation,Territoires du Nord-Ouest,20 à 24 ans,61,34
2014/2015,Collège,Territoires du Nord-Ouest,20 à 24 ans,61,14
2014/2015,Université,Territoires du Nord-Ouest,20 à 24 ans,61,15
2014/2015,Total taux de participation,Territoires du Nord-Ouest,25 à 29 ans,61,9
2014/2015,Total taux de participation,Nunavut,15 à 19 ans,62,59
2014/2015,Primaire/Secondaire,Nunavut,15 à 19 ans,62,56
2014/2015,Total taux de participation,Nunavut,20 à 24 ans,62,12
2015/2016,Total taux de participation,Canada,15 à 19 ans,,83
2015/2016,Primaire/Secondaire,Canada,15 à 19 ans,,60
2015/2016,Collège,Canada,15 à 19 ans,,12
2015/2016,Université,Canada,15 à 19 ans,,12
2015/2016,Total taux de participation,Canada,20 à 24 ans,,40
2015/2016,Primaire/Secondaire,Canada,20 à 24 ans,,2
2015/2016,Collège,Canada,20 à 24 ans,,12
2015/2016,Université,Canada,20 à 24 ans,,26
2015/2016,Total taux de participation,Canada,25 à 29 ans,,13
2015/2016,Primaire/Secondaire,Canada,25 à 29 ans,,1
2015/2016,Collège,Canada,25 à 29 ans,,4
2015/2016,Université,Canada,25 à 29 ans,,8
2015/2016,Total taux de participation,Terre-Neuve-et-Labrador,15 à 19 ans,10,84
2015/2016,Primaire/Secondaire,Terre-Neuve-et-Labrador,15 à 19 ans,10,59
2015/2016,Collège,Terre-Neuve-et-Labrador,15 à 19 ans,10,9
2015/2016,Université,Terre-Neuve-et-Labrador,15 à 19 ans,10,15
2015/2016,Total taux de participation,Terre-Neuve-et-Labrador,20 à 24 ans,10,34
2015/2016,Collège,Terre-Neuve-et-Labrador,20 à 24 ans,10,10
2015/2016,Université,Terre-Neuve-et-Labrador,20 à 24 ans,10,23
2015/2016,Total taux de participation,Terre-Neuve-et-Labrador,25 à 29 ans,10,12
2015/2016,Collège,Terre-Neuve-et-Labrador,25 à 29 ans,10,3
2015/2016,Université,Terre-Neuve-et-Labrador,25 à 29 ans,10,8
2015/2016,Total taux de participation,Île-du-Prince-Édouard,15 à 19 ans,11,82
2015/2016,Primaire/Secondaire,Île-du-Prince-Édouard,15 à 19 ans,11,60
2015/2016,Collège,Île-du-Prince-Édouard,15 à 19 ans,11,7
2015/2016,Université,Île-du-Prince-Édouard,15 à 19 ans,11,16
2015/2016,Total taux de participation,Île-du-Prince-Édouard,20 à 24 ans,11,30
2015/2016,Collège,Île-du-Prince-Édouard,20 à 24 ans,11,7
2015/2016,Université,Île-du-Prince-Édouard,20 à 24 ans,11,23
2015/2016,Total taux de participation,Île-du-Prince-Édouard,25 à 29 ans,11,10
2015/2016,Collège,Île-du-Prince-Édouard,25 à 29 ans,11,4
2015/2016,Université,Île-du-Prince-Édouard,25 à 29 ans,11,6
2015/2016,Total taux de participation,Nouvelle-Écosse,15 à 19 ans,12,81
2015/2016,Primaire/Secondaire,Nouvelle-Écosse,15 à 19 ans,12,61
2015/2016,Collège,Nouvelle-Écosse,15 à 19 ans,12,6
2015/2016,Université,Nouvelle-Écosse,15 à 19 ans,12,14
