Year,Series,Units,Plus haut niveau de scolarité,Groupe d'âge,Sexe,Emplacement,COMMENT_OBS,Progress,Value
2015,Taux d'achèvement,Indice de parité entre les sexes ajusté,Éducation secondaire de deuxième cycle,,,,,1.0,1.013
2016,Taux d'achèvement,Indice de parité entre les sexes ajusté,Éducation secondaire de deuxième cycle,,,,,1.04626405239105,1.046
2017,Taux d'achèvement,Indice de parité entre les sexes ajusté,Éducation secondaire de deuxième cycle,,,,,1.0,1.013
2015,Taux d'achèvement,Indice de parité entre milieu urbain et rural ajusté,Éducation secondaire de deuxième cycle,,,,,1.0641742673454,0.94
2016,Taux d'achèvement,Indice de parité entre milieu urbain et rural ajusté,Éducation secondaire de deuxième cycle,,,,,1.0,1.006
2017,Taux d'achèvement,Indice de parité entre milieu urbain et rural ajusté,Éducation secondaire de deuxième cycle,,,,,1.0479315221139,0.954
2015,Taux d'achèvement,Indice de parité de richesse ajusté,Éducation secondaire de deuxième cycle,,,,,1.10550887808998,0.905
2016,Taux d'achèvement,Indice de parité de richesse ajusté,Éducation secondaire de deuxième cycle,,,,,1.12914790105838,0.886
2017,Taux d'achèvement,Indice de parité de richesse ajusté,Éducation secondaire de deuxième cycle,,,,,1.05873429083701,0.945
2015,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.991
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.996
2017,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.997
2018,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.995
2019,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.995
2020,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.994
2021,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.993
2022,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.997
2023,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.995
2024,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation primaire ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.996
2015,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.991
2016,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.996
2017,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.997
2018,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.995
2019,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.995
2020,Taux de scolarité,Indice de parité entre les sexes ajusté,A complété une éducation secondaire de premier cycle ou supérieure,,,,Estimate produced by the UNESCO Institute for Statistics (UIS).,1.0,0.994
