Year,Niveau de compétence,Compétences,Géographie,Genre,Groupe d'âge,GeoCode,Value
2012,2 ou moins,Alphabétisme,Canada,Total,Total,,48.5
2012,3 ou plus,Alphabétisme,Canada,Total,Total,,51.5
2012,2 ou moins,Arithmétique,Canada,Total,Total,,54.7
2012,3 ou plus,Arithmétique,Canada,Total,Total,,45.3
2012,2 ou moins,Alphabétisme,Canada,Total,16 à 24 ans,,46.4
2012,3 ou plus,Alphabétisme,Canada,Total,16 à 24 ans,,53.6
2012,2 ou moins,Arithmétique,Canada,Total,16 à 24 ans,,53.4
2012,3 ou plus,Arithmétique,Canada,Total,16 à 24 ans,,46.6
2012,2 ou moins,Alphabétisme,Canada,Total,25 à 34 ans,,39.9
2012,3 ou plus,Alphabétisme,Canada,Total,25 à 34 ans,,60.1
2012,2 ou moins,Arithmétique,Canada,Total,25 à 34 ans,,46.7
2012,3 ou plus,Arithmétique,Canada,Total,25 à 34 ans,,53.3
2012,2 ou moins,Alphabétisme,Canada,Total,35 à 44 ans,,42.4
2012,3 ou plus,Alphabétisme,Canada,Total,35 à 44 ans,,57.6
2012,2 ou moins,Arithmétique,Canada,Total,35 à 44 ans,,49.0
2012,3 ou plus,Arithmétique,Canada,Total,35 à 44 ans,,51.0
2012,2 ou moins,Alphabétisme,Canada,Total,45 à 54 ans,,52.9
2012,3 ou plus,Alphabétisme,Canada,Total,45 à 54 ans,,47.1
2012,2 ou moins,Arithmétique,Canada,Total,45 à 54 ans,,57.6
2012,3 ou plus,Arithmétique,Canada,Total,45 à 54 ans,,42.4
2012,2 ou moins,Alphabétisme,Canada,Total,55 à 65 ans,,59.7
2012,3 ou plus,Alphabétisme,Canada,Total,55 à 65 ans,,40.3
2012,2 ou moins,Arithmétique,Canada,Total,55 à 65 ans,,65.8
2012,3 ou plus,Arithmétique,Canada,Total,55 à 65 ans,,34.2
2012,2 ou moins,Alphabétisme,Canada,Hommes+,Total,,47.6
2012,3 ou plus,Alphabétisme,Canada,Hommes+,Total,,52.4
2012,2 ou moins,Arithmétique,Canada,Hommes+,Total,,49.0
2012,3 ou plus,Arithmétique,Canada,Hommes+,Total,,51.0
2012,2 ou moins,Alphabétisme,Canada,Hommes+,16 à 24 ans,,47.1
2012,3 ou plus,Alphabétisme,Canada,Hommes+,16 à 24 ans,,52.9
2012,2 ou moins,Arithmétique,Canada,Hommes+,16 à 24 ans,,49.9
2012,3 ou plus,Arithmétique,Canada,Hommes+,16 à 24 ans,,50.1
2012,2 ou moins,Alphabétisme,Canada,Hommes+,25 à 34 ans,,40.2
2012,3 ou plus,Alphabétisme,Canada,Hommes+,25 à 34 ans,,59.8
2012,2 ou moins,Arithmétique,Canada,Hommes+,25 à 34 ans,,42.2
2012,3 ou plus,Arithmétique,Canada,Hommes+,25 à 34 ans,,57.8
2012,2 ou moins,Alphabétisme,Canada,Hommes+,35 à 44 ans,,42.2
2012,3 ou plus,Alphabétisme,Canada,Hommes+,35 à 44 ans,,57.8
2012,2 ou moins,Arithmétique,Canada,Hommes+,35 à 44 ans,,43.1
2012,3 ou plus,Arithmétique,Canada,Hommes+,35 à 44 ans,,56.9
2012,2 ou moins,Alphabétisme,Canada,Hommes+,45 à 54 ans,,50.7
2012,3 ou plus,Alphabétisme,Canada,Hommes+,45 à 54 ans,,49.3
2012,2 ou moins,Arithmétique,Canada,Hommes+,45 à 54 ans,,51.0
2012,3 ou plus,Arithmétique,Canada,Hommes+,45 à 54 ans,,49.0
2012,2 ou moins,Alphabétisme,Canada,Hommes+,55 à 65 ans,,57.3
2012,3 ou plus,Alphabétisme,Canada,Hommes+,55 à 65 ans,,42.7
2012,2 ou moins,Arithmétique,Canada,Hommes+,55 à 65 ans,,58.2
2012,3 ou plus,Arithmétique,Canada,Hommes+,55 à 65 ans,,41.8
2012,2 ou moins,Alphabétisme,Canada,Femmes+,Total,,49.4
2012,3 ou plus,Alphabétisme,Canada,Femmes+,Total,,50.6
2012,2 ou moins,Arithmétique,Canada,Femmes+,Total,,60.4
2012,3 ou plus,Arithmétique,Canada,Femmes+,Total,,39.6
2012,2 ou moins,Alphabétisme,Canada,Femmes+,16 à 24 ans,,45.6
2012,3 ou plus,Alphabétisme,Canada,Femmes+,16 à 24 ans,,54.4
2012,2 ou moins,Arithmétique,Canada,Femmes+,16 à 24 ans,,57.0
2012,3 ou plus,Arithmétique,Canada,Femmes+,16 à 24 ans,,43.0
2012,2 ou moins,Alphabétisme,Canada,Femmes+,25 à 34 ans,,39.6
2012,3 ou plus,Alphabétisme,Canada,Femmes+,25 à 34 ans,,60.4
2012,2 ou moins,Arithmétique,Canada,Femmes+,25 à 34 ans,,51.2
2012,3 ou plus,Arithmétique,Canada,Femmes+,25 à 34 ans,,48.8
2012,2 ou moins,Alphabétisme,Canada,Femmes+,35 à 44 ans,,42.7
2012,3 ou plus,Alphabétisme,Canada,Femmes+,35 à 44 ans,,57.3
2012,2 ou moins,Arithmétique,Canada,Femmes+,35 à 44 ans,,55.0
2012,3 ou plus,Arithmétique,Canada,Femmes+,35 à 44 ans,,45.0
2012,2 ou moins,Alphabétisme,Canada,Femmes+,45 à 54 ans,,55.2
2012,3 ou plus,Alphabétisme,Canada,Femmes+,45 à 54 ans,,44.8
2012,2 ou moins,Arithmétique,Canada,Femmes+,45 à 54 ans,,64.3
2012,3 ou plus,Arithmétique,Canada,Femmes+,45 à 54 ans,,35.7
2012,2 ou moins,Alphabétisme,Canada,Femmes+,55 à 65 ans,,62.1
2012,3 ou plus,Alphabétisme,Canada,Femmes+,55 à 65 ans,,37.9
2012,2 ou moins,Arithmétique,Canada,Femmes+,55 à 65 ans,,73.1
2012,3 ou plus,Arithmétique,Canada,Femmes+,55 à 65 ans,,26.9
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Total,Total,10,56.8
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Total,Total,10,43.2
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Total,Total,10,65.5
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Total,Total,10,34.5
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Total,16 à 24 ans,10,48.5
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Total,16 à 24 ans,10,51.5
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Total,16 à 24 ans,10,54.6
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Total,16 à 24 ans,10,45.4
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Total,25 à 34 ans,10,42.5
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Total,25 à 34 ans,10,57.5
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Total,25 à 34 ans,10,51.9
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Total,25 à 34 ans,10,48.1
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Total,35 à 44 ans,10,48.1
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Total,35 à 44 ans,10,51.9
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Total,35 à 44 ans,10,56.7
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Total,35 à 44 ans,10,43.3
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Total,45 à 54 ans,10,61.4
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Total,45 à 54 ans,10,38.6
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Total,45 à 54 ans,10,71.4
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Total,45 à 54 ans,10,28.6
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Total,55 à 65 ans,10,73.4
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Total,55 à 65 ans,10,26.6
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Total,55 à 65 ans,10,82.1
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Total,55 à 65 ans,10,17.9
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,Total,10,57.3
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,Total,10,42.7
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,Total,10,62.2
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,Total,10,37.8
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,16 à 24 ans,10,50.8
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,16 à 24 ans,10,49.2
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,16 à 24 ans,10,53.3
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,16 à 24 ans,10,46.7
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,25 à 34 ans,10,40.6
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,25 à 34 ans,10,59.4
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,25 à 34 ans,10,46.1
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,25 à 34 ans,10,53.9
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,35 à 44 ans,10,51.4
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,35 à 44 ans,10,48.6
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,35 à 44 ans,10,54.5
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,35 à 44 ans,10,45.5
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,45 à 54 ans,10,61.4
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,45 à 54 ans,10,38.6
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,45 à 54 ans,10,68.9
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,45 à 54 ans,10,31.1
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,55 à 65 ans,10,72.4
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Hommes+,55 à 65 ans,10,27.6
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,55 à 65 ans,10,77.4
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Hommes+,55 à 65 ans,10,22.6
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Femmes+,Total,10,56.4
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Femmes+,Total,10,43.6
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Femmes+,Total,10,68.7
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Femmes+,Total,10,31.3
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Femmes+,16 à 24 ans,10,46.1
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Femmes+,16 à 24 ans,10,53.9
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Femmes+,16 à 24 ans,10,56.0
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Femmes+,16 à 24 ans,10,44.0
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Femmes+,25 à 34 ans,10,44.3
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Femmes+,25 à 34 ans,10,55.7
2012,2 ou moins,Arithmétique,Terre-Neuve-et-Labrador,Femmes+,25 à 34 ans,10,57.5
2012,3 ou plus,Arithmétique,Terre-Neuve-et-Labrador,Femmes+,25 à 34 ans,10,42.5
2012,2 ou moins,Alphabétisme,Terre-Neuve-et-Labrador,Femmes+,35 à 44 ans,10,45.1
2012,3 ou plus,Alphabétisme,Terre-Neuve-et-Labrador,Femmes+,35 à 44 ans,10,54.9
