Year,Series,Niveau de scolarité,Value
2012,Proportion d'établissements scolaires ayant accès à des ordinateurs à des fins pédagogiques,Secondaire,99.70224
2015,Proportion d'établissements scolaires ayant accès à des ordinateurs à des fins pédagogiques,Primaire,78.09993
2015,Proportion d'établissements scolaires ayant accès à des ordinateurs à des fins pédagogiques,Secondaire,89.46864
2016,Proportion d'établissements scolaires ayant accès à des ordinateurs à des fins pédagogiques,Primaire,70.78311
2018,Proportion d'établissements scolaires ayant accès à des ordinateurs à des fins pédagogiques,Secondaire,100.0
2019,Proportion d'établissements scolaires ayant accès à des ordinateurs à des fins pédagogiques,Primaire,85.77631
2022,Proportion d'établissements scolaires ayant accès à des ordinateurs à des fins pédagogiques,Secondaire,98.97545
2023,Proportion d'établissements scolaires ayant accès à des ordinateurs à des fins pédagogiques,Primaire,86.80811
2012,Proportion d'établissements scolaires ayant accès à Internet à des fins pédagogiques,,99.04145
2015,Proportion d'établissements scolaires ayant accès à Internet à des fins pédagogiques,,98.07066
2018,Proportion d'établissements scolaires ayant accès à Internet à des fins pédagogiques,,98.97206
2022,Proportion d'établissements scolaires ayant accès à Internet à des fins pédagogiques,,98.68681
