Year,Groupe d'activité,Genre,Groupe d'âge,Géographie,GeoCode,Progress,Value
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes","Total, 15 ans et plus",Canada,,1.5,12.5
2015,"Total, activités de travail non-rémunéré",Hommes+,"Total, 15 ans et plus",Canada,,,10.0
2015,"Total, activités de travail non-rémunéré",Femmes+,"Total, 15 ans et plus",Canada,,,15.0
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",15 à 24 ans,Canada,,1.45652173913044,5.4
2015,"Total, activités de travail non-rémunéré",Hommes+,15 à 24 ans,Canada,,,4.6
2015,"Total, activités de travail non-rémunéré",Femmes+,15 à 24 ans,Canada,,,6.7
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",25 à 54 ans,Canada,,1.56730769230769,13.3
2015,"Total, activités de travail non-rémunéré",Hommes+,25 à 54 ans,Canada,,,10.4
2015,"Total, activités de travail non-rémunéré",Femmes+,25 à 54 ans,Canada,,,16.3
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",25 à 34 ans,Canada,,2.0,12.1
2015,"Total, activités de travail non-rémunéré",Hommes+,25 à 34 ans,Canada,,,7.9
2015,"Total, activités de travail non-rémunéré",Femmes+,25 à 34 ans,Canada,,,15.8
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",35 à 44 ans,Canada,,1.52991452991453,15.0
2015,"Total, activités de travail non-rémunéré",Hommes+,35 à 44 ans,Canada,,,11.7
2015,"Total, activités de travail non-rémunéré",Femmes+,35 à 44 ans,Canada,,,17.9
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",45 à 54 ans,Canada,,1.36283185840708,13.3
2015,"Total, activités de travail non-rémunéré",Hommes+,45 à 54 ans,Canada,,,11.3
2015,"Total, activités de travail non-rémunéré",Femmes+,45 à 54 ans,Canada,,,15.4
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",55 à 64 ans,Canada,,1.34710743801653,14.2
2015,"Total, activités de travail non-rémunéré",Hommes+,55 à 64 ans,Canada,,,12.1
2015,"Total, activités de travail non-rémunéré",Femmes+,55 à 64 ans,Canada,,,16.3
2015,"Total, activités de travail non-rémunéré","Total, toutes les personnes",65 ans et plus,Canada,,1.25563909774436,15.0
2015,"Total, activités de travail non-rémunéré",Hommes+,65 ans et plus,Canada,,,13.3
2015,"Total, activités de travail non-rémunéré",Femmes+,65 ans et plus,Canada,,,16.7
2015,Tâches ménagères,"Total, toutes les personnes","Total, 15 ans et plus",Canada,,1.40845070422535,8.8
2015,Tâches ménagères,Hommes+,"Total, 15 ans et plus",Canada,,,7.1
2015,Tâches ménagères,Femmes+,"Total, 15 ans et plus",Canada,,,10.0
2015,Tâches ménagères,"Total, toutes les personnes",15 à 24 ans,Canada,,1.27272727272727,3.8
2015,Tâches ménagères,Hommes+,15 à 24 ans,Canada,,,3.3
2015,Tâches ménagères,Femmes+,15 à 24 ans,Canada,,,4.2
2015,Tâches ménagères,"Total, toutes les personnes",25 à 54 ans,Canada,,1.49253731343284,8.3
2015,Tâches ménagères,Hommes+,25 à 54 ans,Canada,,,6.7
2015,Tâches ménagères,Femmes+,25 à 54 ans,Canada,,,10.0
2015,Tâches ménagères,"Total, toutes les personnes",25 à 34 ans,Canada,,1.66,6.7
2015,Tâches ménagères,Hommes+,25 à 34 ans,Canada,,,5.0
2015,Tâches ménagères,Femmes+,25 à 34 ans,Canada,,,8.3
2015,Tâches ménagères,"Total, toutes les personnes",35 à 44 ans,Canada,,1.49253731343284,8.3
2015,Tâches ménagères,Hommes+,35 à 44 ans,Canada,,,6.7
2015,Tâches ménagères,Femmes+,35 à 44 ans,Canada,,,10.0
2015,Tâches ménagères,"Total, toutes les personnes",45 à 54 ans,Canada,,1.28409090909091,10.0
2015,Tâches ménagères,Hommes+,45 à 54 ans,Canada,,,8.8
2015,Tâches ménagères,Femmes+,45 à 54 ans,Canada,,,11.3
2015,Tâches ménagères,"Total, toutes les personnes",55 à 64 ans,Canada,,1.26041666666667,10.8
2015,Tâches ménagères,Hommes+,55 à 64 ans,Canada,,,9.6
2015,Tâches ménagères,Femmes+,55 à 64 ans,Canada,,,12.1
2015,Tâches ménagères,"Total, toutes les personnes",65 ans et plus,Canada,,1.33,11.7
2015,Tâches ménagères,Hommes+,65 ans et plus,Canada,,,10.0
2015,Tâches ménagères,Femmes+,65 ans et plus,Canada,,,13.3
2015,Soins des enfants de moins de 18 ans,"Total, toutes les personnes","Total, 15 ans et plus",Canada,,1.61538461538462,1.7
2015,Soins des enfants de moins de 18 ans,Hommes+,"Total, 15 ans et plus",Canada,,,1.3
2015,Soins des enfants de moins de 18 ans,Femmes+,"Total, 15 ans et plus",Canada,,,2.1
