Year,Gouvernement,Élus,Géographie,GeoCode,Value
2015,National,Parlement national,Canada,,25.3
2016,National,Parlement national,Canada,,26.1
2017,National,Parlement national,Canada,,27.2
2018,National,Parlement national,Canada,,27.0
2019,National,Parlement national,Canada,,27.2
2020,National,Parlement national,Canada,,29.0
2021,National,Parlement national,Canada,,29.4
2022,National,Parlement national,Canada,,30.6
2023,National,Parlement national,Canada,,30.6
2015,National,Cabinet fédéral,Canada,,30.8
2016,National,Cabinet fédéral,Canada,,50.0
2017,National,Cabinet fédéral,Canada,,50.0
2022,National,Cabinet fédéral,Canada,,48.7
2023,National,Cabinet fédéral,Canada,,48.7
2015,National,Parlement national,Terre-Neuve-et-Labrador,10,28.6
2016,National,Parlement national,Terre-Neuve-et-Labrador,10,42.9
2017,National,Parlement national,Terre-Neuve-et-Labrador,10,42.9
2018,National,Parlement national,Terre-Neuve-et-Labrador,10,28.6
2019,National,Parlement national,Terre-Neuve-et-Labrador,10,28.6
2020,National,Parlement national,Terre-Neuve-et-Labrador,10,28.6
2021,National,Parlement national,Terre-Neuve-et-Labrador,10,28.6
2022,National,Parlement national,Terre-Neuve-et-Labrador,10,42.9
2023,National,Parlement national,Terre-Neuve-et-Labrador,10,42.9
2015,National,Cabinet fédéral,Terre-Neuve-et-Labrador,10,0.0
2016,National,Cabinet fédéral,Terre-Neuve-et-Labrador,10,100.0
2017,National,Cabinet fédéral,Terre-Neuve-et-Labrador,10,100.0
2022,National,Cabinet fédéral,Terre-Neuve-et-Labrador,10,50.0
2023,National,Cabinet fédéral,Terre-Neuve-et-Labrador,10,50.0
2015,National,Parlement national,Île-du-Prince-Édouard,11,25.0
2016,National,Parlement national,Île-du-Prince-Édouard,11,0.0
2017,National,Parlement national,Île-du-Prince-Édouard,11,0.0
2018,National,Parlement national,Île-du-Prince-Édouard,11,0.0
2019,National,Parlement national,Île-du-Prince-Édouard,11,0.0
2020,National,Parlement national,Île-du-Prince-Édouard,11,0.0
2021,National,Parlement national,Île-du-Prince-Édouard,11,0.0
2022,National,Parlement national,Île-du-Prince-Édouard,11,0.0
2023,National,Parlement national,Île-du-Prince-Édouard,11,0.0
2015,National,Cabinet fédéral,Île-du-Prince-Édouard,11,100.0
2016,National,Cabinet fédéral,Île-du-Prince-Édouard,11,0.0
2017,National,Cabinet fédéral,Île-du-Prince-Édouard,11,0.0
2022,National,Cabinet fédéral,Île-du-Prince-Édouard,11,0.0
2023,National,Cabinet fédéral,Île-du-Prince-Édouard,11,0.0
2015,National,Parlement national,Nouvelle-Écosse,12,9.1
2016,National,Parlement national,Nouvelle-Écosse,12,9.1
2017,National,Parlement national,Nouvelle-Écosse,12,9.1
2018,National,Parlement national,Nouvelle-Écosse,12,9.1
2019,National,Parlement national,Nouvelle-Écosse,12,10.0
2020,National,Parlement national,Nouvelle-Écosse,12,18.2
2021,National,Parlement national,Nouvelle-Écosse,12,18.2
