Year,Occupation,Géographie,Progress,GeoCode,Value
2015,,,65.2,,34.8
2016,,,65.4,,34.6
2017,,,65.4,,34.6
2018,,,65.3,,34.7
2019,,,64.9,,35.1
2020,,,64.3,,35.7
2021,,,64.4,,35.6
2022,,,64.7,,35.3
2023,,,64.9,,35.1
2024,,,63.6,,36.4
2025,,,63.2,,36.8
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Canada,69.7,,30.3
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Canada,53.2,,46.8
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Canada,58.6,,41.4
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Canada,82.7,,17.3
2015,Gestion,Terre-Neuve-et-Labrador,60.5,10,39.5
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Terre-Neuve-et-Labrador,,10,
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Terre-Neuve-et-Labrador,50.9,10,49.1
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Terre-Neuve-et-Labrador,58.3,10,41.7
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Terre-Neuve-et-Labrador,80.0,10,20.0
2015,Gestion,Île-du-Prince-Édouard,64.1,11,35.9
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Île-du-Prince-Édouard,,11,
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Île-du-Prince-Édouard,52.9,11,52.9
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Île-du-Prince-Édouard,52.0,11,48.0
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Île-du-Prince-Édouard,85.7,11,14.3
2015,Gestion,Nouvelle-Écosse,62.0,12,38.0
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouvelle-Écosse,,12,
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouvelle-Écosse,53.0,12,47.0
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouvelle-Écosse,55.2,12,44.8
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouvelle-Écosse,84.7,12,15.3
2015,Gestion,Nouveau-Brunswick,64.4,13,35.6
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouveau-Brunswick,,13,
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouveau-Brunswick,54.9,13,45.1
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouveau-Brunswick,59.0,13,41.0
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouveau-Brunswick,82.9,13,17.1
2015,Gestion,Québec,66.7,24,33.3
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Québec,66.7,24,33.3
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Québec,50.0,24,50.0
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Québec,64.6,24,35.4
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Québec,84.8,24,15.2
2015,Gestion,Ontario,63.5,35,36.5
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Ontario,73.6,35,26.4
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Ontario,52.8,35,47.2
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Ontario,57.0,35,43.0
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Ontario,84.6,35,15.4
2015,Gestion,Manitoba,68.6,46,31.4
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Manitoba,71.4,46,28.6
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Manitoba,52.5,46,47.5
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Manitoba,61.2,46,38.8
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Manitoba,82.6,46,17.4
2015,Gestion,Saskatchewan,69.3,47,30.7
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Saskatchewan,66.7,47,33.3
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Saskatchewan,51.2,47,51.2
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Saskatchewan,56.2,47,43.8
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Saskatchewan,80.3,47,19.7
2015,Gestion,Alberta,67.3,48,32.7
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Alberta,63.0,48,37.0
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Alberta,59.7,48,40.3
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Alberta,55.4,48,44.6
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Alberta,80.4,48,19.6
2015,Gestion,Colombie-Britannique,64.0,59,36.0
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Colombie-Britannique,72.0,59,28.0
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Colombie-Britannique,55.2,59,44.8
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Colombie-Britannique,57.4,59,42.6
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Colombie-Britannique,79.0,59,21.0
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Canada,63.8,,36.2
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Canada,53.3,,46.7
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Canada,59.9,,40.1
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Canada,83.1,,16.9
2016,Gestion,Terre-Neuve-et-Labrador,64.4,10,35.6
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Terre-Neuve-et-Labrador,,10,
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Terre-Neuve-et-Labrador,55.8,10,44.2
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Terre-Neuve-et-Labrador,60.7,10,39.3
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Terre-Neuve-et-Labrador,80.6,10,19.4
2016,Gestion,Île-du-Prince-Édouard,66.7,11,33.3
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Île-du-Prince-Édouard,,11,
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Île-du-Prince-Édouard,57.1,11,57.1
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Île-du-Prince-Édouard,55.6,11,44.4
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Île-du-Prince-Édouard,87.5,11,12.5
2016,Gestion,Nouvelle-Écosse,59.3,12,40.7
2016,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouvelle-Écosse,54.5,12,45.5
2016,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouvelle-Écosse,53.4,12,53.4
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouvelle-Écosse,55.1,12,44.9
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouvelle-Écosse,84.0,12,16.0
2016,Gestion,Nouveau-Brunswick,61.9,13,38.1
