Year,Géographie,GeoCode,Value
2015,,,86.1
2015,Région de l'Atlantique,,83.8
2015,Terre-Neuve-et-Labrador,10,86.4
2015,Île-du-Prince-Édouard,11,83.8
2015,Nouvelle-Écosse,12,83.2
2015,Nouveau-Brunswick,13,82.8
2015,Québec,24,79.0
2015,Ontario,35,88.1
2015,Région des Prairies,,91.4
2015,Manitoba,46,85.1
2015,Saskatchewan,47,91.1
2015,Alberta,48,93.4
2015,Colombie-Britannique,59,88.5
2016,,,87.9
2016,Région de l'Atlantique,,85.6
2016,Terre-Neuve-et-Labrador,10,87.6
2016,Île-du-Prince-Édouard,11,85.0
2016,Nouvelle-Écosse,12,86.8
2016,Nouveau-Brunswick,13,82.8
2016,Québec,24,82.0
2016,Ontario,35,90.2
2016,Région des Prairies,,91.1
2016,Manitoba,46,86.0
2016,Saskatchewan,47,90.5
2016,Alberta,48,92.9
2016,Colombie-Britannique,59,89.7
2017,,,89.4
2017,Région de l'Atlantique,,87.7
2017,Terre-Neuve-et-Labrador,10,88.7
2017,Île-du-Prince-Édouard,11,87.0
2017,Nouvelle-Écosse,12,87.3
2017,Nouveau-Brunswick,13,87.6
2017,Québec,24,84.5
2017,Ontario,35,90.6
2017,Région des Prairies,,93.0
2017,Manitoba,46,90.2
2017,Saskatchewan,47,93.4
2017,Alberta,48,93.7
2017,Colombie-Britannique,59,91.8
2019,,,91.3
2019,Région de l'Atlantique,,90.1
2019,Terre-Neuve-et-Labrador,10,90.3
2019,Île-du-Prince-Édouard,11,90.2
2019,Nouvelle-Écosse,12,90.6
2019,Nouveau-Brunswick,13,89.2
2019,Québec,24,87.6
2019,Ontario,35,91.8
2019,Région des Prairies,,94.7
2019,Manitoba,46,91.2
2019,Saskatchewan,47,93.9
2019,Alberta,48,96.1
2019,Colombie-Britannique,59,92.9
2021,,,93.9
2021,Région de l'Atlantique,,92.3
2021,Terre-Neuve-et-Labrador,10,92.3
2021,Île-du-Prince-Édouard,11,95.2
2021,Nouvelle-Écosse,12,92.8
2021,Nouveau-Brunswick,13,91.1
2021,Québec,24,90.6
2021,Ontario,35,94.7
2021,Région des Prairies,,95.5
2021,Manitoba,46,93.4
2021,Saskatchewan,47,95.6
2021,Alberta,48,96.1
2021,Colombie-Britannique,59,96.2
