Year,Units,Source,Niveau de traitement des eaux usées,Value
2013,Pourcentage (%),Industries,Aucun traitement,33.97
2015,Pourcentage (%),Industries,Aucun traitement,36.88
2017,Pourcentage (%),Industries,Aucun traitement,36.14
2020,Pourcentage (%),Industries,Aucun traitement,35.36
2021,Pourcentage (%),Industries,Aucun traitement,37.94
2013,Pourcentage (%),Industries,Traitées sans danger,48.75
2015,Pourcentage (%),Industries,Traitées sans danger,44.86
2017,Pourcentage (%),Industries,Traitées sans danger,44.23
2020,Pourcentage (%),Industries,Traitées sans danger,43.77
2021,Pourcentage (%),Industries,Traitées sans danger,43.13
2013,Pourcentage (%),Industries,Traitées,66.03
2015,Pourcentage (%),Industries,Traitées,63.12
2017,Pourcentage (%),Industries,Traitées,63.86
2020,Pourcentage (%),Industries,Traitées,64.64
2021,Pourcentage (%),Industries,Traitées,62.06
2013,Pourcentage (%),Municipale,Aucun traitement,1.9
2014,Pourcentage (%),Municipale,Aucun traitement,1.93
2015,Pourcentage (%),Municipale,Aucun traitement,1.89
2016,Pourcentage (%),Municipale,Aucun traitement,1.87
2017,Pourcentage (%),Municipale,Aucun traitement,1.92
2018,Pourcentage (%),Municipale,Aucun traitement,1.9
2019,Pourcentage (%),Municipale,Aucun traitement,1.8
2020,Pourcentage (%),Municipale,Aucun traitement,1.77
2021,Pourcentage (%),Municipale,Aucun traitement,1.39
2022,Pourcentage (%),Municipale,Aucun traitement,1.45
2023,Pourcentage (%),Municipale,Aucun traitement,1.38
2013,Pourcentage (%),Municipale,Traitées sans danger,71.93
2014,Pourcentage (%),Municipale,Traitées sans danger,72.17
2015,Pourcentage (%),Municipale,Traitées sans danger,72.47
2016,Pourcentage (%),Municipale,Traitées sans danger,71.88
2017,Pourcentage (%),Municipale,Traitées sans danger,72.22
2018,Pourcentage (%),Municipale,Traitées sans danger,71.96
2019,Pourcentage (%),Municipale,Traitées sans danger,73.23
2020,Pourcentage (%),Municipale,Traitées sans danger,73.22
2021,Pourcentage (%),Municipale,Traitées sans danger,74.0
2022,Pourcentage (%),Municipale,Traitées sans danger,74.55
2023,Pourcentage (%),Municipale,Traitées sans danger,74.37
2013,Pourcentage (%),Municipale,Traitées,98.1
