Year,Activité économique,Value
2000,,4.313699092
2000,"Agriculture, sylviculture et pêche",0.367717959
2000,Industrie,3.35904397
2000,Services,0.586937163
2001,,4.305331898
2001,"Agriculture, sylviculture et pêche",0.348845442
2001,Industrie,3.366816928
2001,Services,0.589669527
2002,,4.296964704
2002,"Agriculture, sylviculture et pêche",0.330142295
2002,Industrie,3.374456619
2002,Services,0.592365789
2003,,4.28859751
2003,"Agriculture, sylviculture et pêche",0.311607137
2003,Industrie,3.381964131
2003,Services,0.595026242
2004,,4.280230316
2004,"Agriculture, sylviculture et pêche",0.2932386
2004,Industrie,3.389340537
2004,Services,0.597651179
2005,,4.271863121
2005,"Agriculture, sylviculture et pêche",0.275035335
2005,Industrie,3.396586901
2005,Services,0.600240885
2006,,4.263495927
2006,"Agriculture, sylviculture et pêche",0.256996005
2006,Industrie,3.403704275
2006,Services,0.602795648
2007,,4.255128733
2007,"Agriculture, sylviculture et pêche",0.239119287
2007,Industrie,3.410693699
2007,Services,0.605315748
2008,,4.125365603
2008,"Agriculture, sylviculture et pêche",0.231827176
2008,Industrie,3.306682206
2008,Services,0.58685622
2009,,3.995602472
2009,"Agriculture, sylviculture et pêche",0.224535066
2009,Industrie,3.202670713
2009,Services,0.568396692
2010,,3.830962925
2010,"Agriculture, sylviculture et pêche",0.448431522
2010,Industrie,2.88001634
2010,Services,0.502515063
2011,,3.666323378
2011,"Agriculture, sylviculture et pêche",0.403144907
2011,Industrie,2.785777384
2011,Services,0.477401087
2012,,3.752832132
2012,"Agriculture, sylviculture et pêche",0.38279653
2012,Industrie,2.872204059
2012,Services,0.497831543
2013,,3.839340886
2013,"Agriculture, sylviculture et pêche",0.359318914
2013,Industrie,2.960799435
2013,Services,0.519222537
2014,,3.759526262
2014,"Agriculture, sylviculture et pêche",0.318003337
2014,Industrie,2.919274387
2014,Services,0.522248538
2015,,3.679711638
2015,"Agriculture, sylviculture et pêche",0.276187685
2015,Industrie,2.878045223
2015,Services,0.52547873
2016,,3.706642637
2016,"Agriculture, sylviculture et pêche",0.33680651
2016,Industrie,2.855397483
2016,Services,0.514438644
2017,,3.733573635
2017,"Agriculture, sylviculture et pêche",0.397425335
2017,Industrie,2.832749743
2017,Services,0.503398558
2018,,3.733573635
2018,"Agriculture, sylviculture et pêche",0.406817841
2018,Industrie,2.81261985
2018,Services,0.514135945
2019,,3.733573635
2019,"Agriculture, sylviculture et pêche",0.416665047
2019,Industrie,2.791515451
2019,Services,0.525393138
2020,,3.733573635
2020,"Agriculture, sylviculture et pêche",0.426861632
2020,Industrie,2.768461498
2020,Services,0.538250505
2021,,3.733573635
2021,"Agriculture, sylviculture et pêche",0.426861632
2021,Industrie,2.768461498
2021,Services,0.538250505
