Year,Catégorie gestion des ressources en eau,Sous-catégorie gestion des ressources en eau,Value
2023,,,73
2023,Environnement favorable,Dispositions relatives à la gestion transfrontalière des eaux dans les bassins et aquifères les plus importants,100
2023,Environnement favorable,Plans de gestion des bassins et des aquifères,70
2023,Environnement favorable,Plans nationaux de gestion intégrée des ressources en eau (GIRE),80
2023,Environnement favorable,Législation nationale sur les ressources en eau,70
2023,Environnement favorable,Politique nationale en matière de ressources en eau,50
2023,Environnement favorable,Réglementations sous-nationales sur les ressources en eau,100
2023,Environnement favorable,Politiques sous-nationales en matière de ressources en eau,80
2023,Environnement favorable,,79
2023,Institutions et participation,Organisations au niveau des bassins et des aquifères chargées de diriger la mise en œuvre des plans de gestion intégrée des ressources en eau (GIRE,80
2023,Institutions et participation,"Participation du secteur privé au développement, à la gestion et à l'utilisation des ressources en eau au niveau national",70
2023,Institutions et participation,"Coordination entre les autorités gouvernementales nationales représentant différents secteurs en matière de ressources en eau, de politique, de planification et de gestion",60
2023,Institutions et participation,Développement des capacités de gestion intégrée des ressources en eau (GIRE) au niveau national,70
2023,Institutions et participation,Capacité des autorités gouvernementales nationales à diriger la mise en œuvre des plans nationaux de gestion intégrée des ressources en eau (GIRE),60
2023,Institutions et participation,Cadre organisationnel pour la gestion transfrontalière des eaux des bassins et aquifères les plus importants,100
2023,Institutions et participation,"Participation du public aux ressources en eau, à la politique, à la planification et à la gestion au niveau national",70
2023,Institutions et participation,"Participation du public aux ressources en eau, à la politique, à la planification et à la gestion au niveau local",70
2023,Institutions et participation,Autorités sous-nationales chargées de diriger la mise en œuvre de la GIRE,70
2023,Institutions et participation,Participation des groupes vulnérables à la planification et à la gestion des ressources en eau,60
2023,Institutions et participation,Intégration de la dimension de genre dans la gestion des ressources en eau,60
2023,Institutions et participation,,70
2023,Instruments de gestion,Instruments de gestion des aquifères,60
2023,Instruments de gestion,Instruments de gestion des bassins,80
2023,Instruments de gestion,Partage des données et des informations au sein des pays à tous les niveaux,80
2023,Instruments de gestion,Instruments de gestion visant à réduire les impacts des catastrophes liées à l'eau au niveau national,70
2023,Instruments de gestion,Gestion des écosystèmes liés à l'eau au niveau national,70
2023,Instruments de gestion,Surveillance nationale de la disponibilité de l'eau,70
2023,Instruments de gestion,Contrôle de la pollution au niveau national,70
2023,Instruments de gestion,Gestion durable et efficace de l'utilisation de l'eau au niveau national,50
2023,Instruments de gestion,Partage transfrontalier de données et d'informations entre les pays,80
2023,Instruments de gestion,,70
2023,Financement,Financement de la coopération transfrontalière,80
2023,Financement,"Budget national pour les investissements, y compris les infrastructures liées aux ressources en eau",70
2023,Financement,Budget national pour les coûts récurrents des éléments de la gestion intégrée des ressources en eau (GIRE),70
2023,Financement,Budgets sous-nationaux ou de bassins pour les éléments de la GIRE,60
2023,Financement,"Revenus provenant de taxes spécifiques prélevées sur les utilisateurs d'eau au niveau des bassins, des aquifères ou des régions sous-nationales",80
2023,Financement,"Budgets sous-nationaux ou de bassins pour les investissements, y compris les infrastructures liées aux ressources en eau",70
2023,Financement,,72
