Year,Secteur,Value
2015,Ressources en eau à usage agricole,8.320422
2015,Distribution d'eau et assainissement,77.245199
2016,Ressources en eau à usage agricole,11.035468
2016,Distribution d'eau et assainissement,39.94368
2017,Ressources en eau à usage agricole,9.725483
2017,Distribution d'eau et assainissement,47.926344
2018,Ressources en eau à usage agricole,11.120941
2018,Distribution d'eau et assainissement,48.217713
2019,Ressources en eau à usage agricole,14.077792
2019,Distribution d'eau et assainissement,32.721419
2020,Ressources en eau à usage agricole,17.009341
2020,Distribution d'eau et assainissement,28.545782
2021,Ressources en eau à usage agricole,20.872512
2021,Distribution d'eau et assainissement,48.158295
2022,Distribution d'eau et assainissement,35.151583
2022,Ressources en eau à usage agricole,6.862487
2023,Ressources en eau à usage agricole,9.47455
2023,Distribution d'eau et assainissement,23.263984
2015,,85.565621
2016,,50.979148
2017,,57.651827
2018,,59.338654
2019,,46.799211
2020,,45.555123
2021,,69.030807
2022,,42.01407
2023,,32.738534
