Year,Series,Units,Value
2000,Consommation matérielle nationale,Tonnes (million),1473.01
2001,Consommation matérielle nationale,Tonnes (million),1423.17
2002,Consommation matérielle nationale,Tonnes (million),1469.28
2003,Consommation matérielle nationale,Tonnes (million),1460.45
2004,Consommation matérielle nationale,Tonnes (million),1556.07
2005,Consommation matérielle nationale,Tonnes (million),1525.85
2006,Consommation matérielle nationale,Tonnes (million),1652.65
2007,Consommation matérielle nationale,Tonnes (million),1752.49
2008,Consommation matérielle nationale,Tonnes (million),1698.86
2009,Consommation matérielle nationale,Tonnes (million),1711.42
2010,Consommation matérielle nationale,Tonnes (million),1798.92
2011,Consommation matérielle nationale,Tonnes (million),1913.08
2012,Consommation matérielle nationale,Tonnes (million),1933.67
2013,Consommation matérielle nationale,Tonnes (million),2035.2
2014,Consommation matérielle nationale,Tonnes (million),2012.24
2015,Consommation matérielle nationale,Tonnes (million),2040.18
2016,Consommation matérielle nationale,Tonnes (million),2009.55
2017,Consommation matérielle nationale,Tonnes (million),2112.05
2018,Consommation matérielle nationale,Tonnes (million),2074.66
2019,Consommation matérielle nationale,Tonnes (million),2135.63
2000,Consommation matérielle nationale par habitant,Tonnes par habitant,48.0
2001,Consommation matérielle nationale par habitant,Tonnes par habitant,45.88
2002,Consommation matérielle nationale par habitant,Tonnes par habitant,46.85
2003,Consommation matérielle nationale par habitant,Tonnes par habitant,46.15
2004,Consommation matérielle nationale par habitant,Tonnes par habitant,48.72
2005,Consommation matérielle nationale par habitant,Tonnes par habitant,47.32
2006,Consommation matérielle nationale par habitant,Tonnes par habitant,50.74
2007,Consommation matérielle nationale par habitant,Tonnes par habitant,53.29
2008,Consommation matérielle nationale par habitant,Tonnes par habitant,51.1
2009,Consommation matérielle nationale par habitant,Tonnes par habitant,50.89
2010,Consommation matérielle nationale par habitant,Tonnes par habitant,52.9
2011,Consommation matérielle nationale par habitant,Tonnes par habitant,55.71
2012,Consommation matérielle nationale par habitant,Tonnes par habitant,55.7
2013,Consommation matérielle nationale par habitant,Tonnes par habitant,58.01
2014,Consommation matérielle nationale par habitant,Tonnes par habitant,56.79
2015,Consommation matérielle nationale par habitant,Tonnes par habitant,57.14
2016,Consommation matérielle nationale par habitant,Tonnes par habitant,55.65
2017,Consommation matérielle nationale par habitant,Tonnes par habitant,57.79
2018,Consommation matérielle nationale par habitant,Tonnes par habitant,55.96
2019,Consommation matérielle nationale par habitant,Tonnes par habitant,56.77
2000,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00096
2001,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00091
2002,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00091
2003,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00089
2004,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00092
2005,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00087
2006,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00092
2007,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00096
2008,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00092
2009,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00095
2010,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00097
2011,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.001
2012,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.001
2013,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00102
2014,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00098
2015,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00099
2016,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00097
2017,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00099
2018,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00094
2019,Consommation matérielle nationale par unité de PIB,Tonnes par dollar,0.00095
