Year,Series,Sexe,Value
2015,Réclamations de décès,Homme,811
2015,Réclamations de décès,Femme,40
2015,Réclamations de décès,,851
2016,Réclamations de décès,Homme,863
2016,Réclamations de décès,Femme,41
2016,Réclamations de décès,,904
2017,Réclamations de décès,Homme,920
2017,Réclamations de décès,Femme,31
2017,Réclamations de décès,,951
2018,Réclamations de décès,Homme,997
2018,Réclamations de décès,Femme,30
2018,Réclamations de décès,,1027
2019,Réclamations de décès,Homme,882
2019,Réclamations de décès,Femme,43
2019,Réclamations de décès,,925
2020,Réclamations de décès,Homme,878
2020,Réclamations de décès,Femme,46
2020,Réclamations de décès,,924
2021,Réclamations de décès,Homme,1009
2021,Réclamations de décès,Femme,72
2021,Réclamations de décès,,1081
2022,Réclamations de décès,Homme,941
2022,Réclamations de décès,Femme,50
2022,Réclamations de décès,,993
2015,Réclamations de pertes de temps,Homme,143478
2015,Réclamations de pertes de temps,Femme,89123
2015,Réclamations de pertes de temps,Inconnu,28
2015,Réclamations de pertes de temps,,232629
2016,Réclamations de pertes de temps,Homme,145401
2016,Réclamations de pertes de temps,Femme,95235
2016,Réclamations de pertes de temps,Inconnu,46
2016,Réclamations de pertes de temps,,240682
2017,Réclamations de pertes de temps,Homme,152240
2017,Réclamations de pertes de temps,Femme,99319
2017,Réclamations de pertes de temps,Inconnu,66
2017,Réclamations de pertes de temps,,251625
2018,Réclamations de pertes de temps,Homme,158969
2018,Réclamations de pertes de temps,Femme,105443
2018,Réclamations de pertes de temps,Inconnu,26
2018,Réclamations de pertes de temps,,264438
2019,Réclamations de pertes de temps,Homme,160801
2019,Réclamations de pertes de temps,Femme,110948
2019,Réclamations de pertes de temps,Inconnu,57
2019,Réclamations de pertes de temps,,271806
2020,Réclamations de pertes de temps,Homme,138776
2020,Réclamations de pertes de temps,Femme,114489
2020,Réclamations de pertes de temps,Inconnu,132
2020,Réclamations de pertes de temps,,253397
2021,Réclamations de pertes de temps,Homme,158600
2021,Réclamations de pertes de temps,Femme,118422
2021,Réclamations de pertes de temps,Inconnu,195
2021,Réclamations de pertes de temps,,277217
2022,Réclamations de pertes de temps,Homme,170809
2022,Réclamations de pertes de temps,Femme,177637
2022,Réclamations de pertes de temps,Inconnu,301
2022,Réclamations de pertes de temps,,348747
