Year,Units,Type de flux,Value
2015,"Dollar américain, millions, prix constants de 2023",Engagements,857.054085
2015,"Dollar américain, millions, prix constants de 2023",Versements,411.843332
2016,"Dollar américain, millions, prix constants de 2023",Engagements,658.197647
2016,"Dollar américain, millions, prix constants de 2023",Versements,466.540854
2017,"Dollar américain, millions, prix constants de 2023",Engagements,220.184786
2017,"Dollar américain, millions, prix constants de 2023",Versements,547.462032
2018,"Dollar américain, millions, prix constants de 2023",Engagements,670.707053
2018,"Dollar américain, millions, prix constants de 2023",Versements,673.2951
2019,"Dollar américain, millions, prix constants de 2023",Engagements,539.028876
2019,"Dollar américain, millions, prix constants de 2023",Versements,430.224456
2020,"Dollar américain, millions, prix constants de 2023",Engagements,493.241717
2020,"Dollar américain, millions, prix constants de 2023",Versements,674.019149
2021,"Dollar américain, millions, prix constants de 2023",Engagements,613.289933
2021,"Dollar américain, millions, prix constants de 2023",Versements,811.614095
2022,"Dollar américain, millions, prix constants de 2023",Engagements,1170.179362
2022,"Dollar américain, millions, prix constants de 2023",Versements,687.122812
2023,"Dollar américain, millions, prix constants de 2023",Engagements,349.763953
2023,"Dollar américain, millions, prix constants de 2023",Versements,599.958714
