Year,Industrie,Géographie,GeoCode,Value
2015,,,,9.49
2016,,,,9.28
2017,,,,9.26
2018,,,,9.32
2019,,,,9.3
2020,,,,9.33
2021,,,,9.22
2022,,,,8.9
2023,,,,8.7
2024,,,,8.59
2015,Biens non durables,Canada,,3.86
2015,Fabrication d’aliments,Canada,,1.42
2015,Fabrication d'aliments pour animaux,Canada,,0.06
2015,Mouture de grains céréaliers et de graines oléagineuses,Canada,,0.05
2015,Fabrication de sucre et de confiseries,Canada,,0.07
2015,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,Canada,,0.11
2015,Fabrication de produits laitiers,Canada,,0.15
2015,Fabrication de produits de viande,Canada,,0.36
2015,Préparation et conditionnement de poissons et de fruits de mer,Canada,,0.15
2015,Boulangeries et fabrication de tortillas,Canada,,0.28
2015,Fabrication d'autres aliments,Canada,,0.19
2015,Fabrication de boissons et de produits du tabac,Canada,,0.22
2015,Fabrication de boissons,Canada,,0.2
2015,Fabrication du tabac,Canada,,0.02
2015,Usines de textiles,Canada,,0.05
2015,"Usines de fibres, de filés et de fils",Canada,,0.01
2015,Usines de tissus,Canada,,0.03
2015,Finissage de textiles et de tissus et revêtement de tissus,Canada,,0.01
2015,Usines de produits textiles,Canada,,0.06
2015,Usines de textiles domestiques,Canada,,0.02
2015,Usines d'autres produits textiles,Canada,,0.04
2015,Fabrication de vêtements,Canada,,0.13
2015,Usines de tricotage de vêtements,Canada,,0.01
2015,Fabrication de vêtements coupés-cousus,Canada,,0.1
2015,Fabrication d'accessoires vestimentaires et d'autres vêtements,Canada,,0.01
2015,Fabrication de produits en cuir et de produits analogues,Canada,,0.02
2015,Tannage et finissage du cuir et des peaux,Canada,,0.0
2015,Fabrication de chaussures,Canada,,0.01
2015,Fabrication d'autres produits en cuir et produits analogues,Canada,,0.01
2015,Fabrication du papier,Canada,,0.35
2015,"Usines de pâte à papier, de papier et de carton",Canada,,0.17
2015,Fabrication de produits en papier transformé,Canada,,0.18
2015,Impression et activités connexes de soutien,Canada,,0.31
2015,Fabrication de produits du pétrole et du charbon,Canada,,0.12
2015,Fabrication de produits chimiques,Canada,,0.56
