Year,Industrie,Taille,Value
2019,Produits alimentaires,1-9 employés,0.125333663759477
2019,Produits alimentaires,10-19 employés,0.31397916914966
2019,Produits alimentaires,20-49 employés,1.14346996695531
2019,Produits alimentaires,50-249 employés,5.80985420380784
2019,Produits alimentaires,250 employés et plus,7.12624987669312
2019,Produits alimentaires,All enterprises,14.5188868803654
2019,Boissons,1-9 employés,0.0329364705820116
2019,Boissons,10-19 employés,0.0643812585050631
2019,Boissons,20-49 employés,0.278928226680529
2019,Boissons,50-249 employés,0.891183122158301
2019,Boissons,250 employés et plus,2.59721248257755
2019,Boissons,All enterprises,3.86464156050346
2019,Textiles,1-9 employés,0.0550724289853485
2019,Textiles,20-49 employés,0.214725553107225
2019,Textiles,50-249 employés,0.640800221221107
2019,Textiles,All enterprises,1.30834516093999
2019,"Produits du bois, à l’exclusion des meubles",1-9 employés,0.0396684896377096
2019,"Produits du bois, à l’exclusion des meubles",10-19 employés,0.0737132284869553
2019,"Produits du bois, à l’exclusion des meubles",20-49 employés,0.41915694966932
2019,"Produits du bois, à l’exclusion des meubles",50-249 employés,3.13242046433716
2019,"Produits du bois, à l’exclusion des meubles",250 employés et plus,0.782418309384051
2019,"Produits du bois, à l’exclusion des meubles",All enterprises,4.447377445405
2019,Papier et produits du papier,1-9 employés,0.0118224772967521
2019,Papier et produits du papier,20-49 employés,0.146118377097812
2019,Papier et produits du papier,50-249 employés,1.9045734562056
2019,Papier et produits du papier,All enterprises,4.51435175431854
2019,Impression et reproduction de supports enregistrés,1-9 employés,0.0357004468921531
2019,Impression et reproduction de supports enregistrés,10-19 employés,0.0443416688268062
2019,Impression et reproduction de supports enregistrés,20-49 employés,0.232180572156388
2019,Impression et reproduction de supports enregistrés,50-249 employés,1.03064013465578
2019,Impression et reproduction de supports enregistrés,250 employés et plus,0.678154894139679
2019,Impression et reproduction de supports enregistrés,All enterprises,2.02101771667081
2019,Coke et produits pétroliers raffinés,1-9 employés,0.242620156917929
2019,Coke et produits pétroliers raffinés,10-19 employés,0.217383501056627
2019,Coke et produits pétroliers raffinés,20-49 employés,1.04641857684718
2019,Coke et produits pétroliers raffinés,50-249 employés,5.27365980976665
2019,Coke et produits pétroliers raffinés,250 employés et plus,8.27731555546289
2019,Coke et produits pétroliers raffinés,All enterprises,15.0573976039411
2019,Produits en caoutchouc et en plastique,1-9 employés,0.0281233983719446
2019,Produits en caoutchouc et en plastique,10-19 employés,0.0773906054002347
2019,Produits en caoutchouc et en plastique,20-49 employés,0.344094125395555
2019,Produits en caoutchouc et en plastique,50-249 employés,2.3788057210971
2019,Produits en caoutchouc et en plastique,250 employés et plus,2.09129975802288
2019,Produits en caoutchouc et en plastique,All enterprises,4.91971360439791
2019,Autres produits minéraux non métalliques,1-9 employés,0.151022902561578
2019,Autres produits minéraux non métalliques,20-49 employés,0.534533493105862
2019,Autres produits minéraux non métalliques,50-249 employés,1.96989334849217
2019,Autres produits minéraux non métalliques,All enterprises,3.27030588197952
2019,Métaux de base,1-9 employés,0.0140231122999745
2019,Métaux de base,10-19 employés,0.0311069815190599
2019,Métaux de base,20-49 employés,0.168148209895233
2019,Métaux de base,50-249 employés,1.11266997289894
2019,Métaux de base,250 employés et plus,3.66927037644308
2019,Métaux de base,All enterprises,4.99521864916648
