Year,Géographie,GeoCode,Value
2015,,,1.7
2015,Terre-Neuve-et-Labrador,10,1.2
2015,Île-du-Prince-Édouard,11,1.3
2015,Nouvelle-Écosse,12,1.5
2015,Nouveau-Brunswick,13,0.9
2015,Québec,24,2.3
2015,Ontario,35,1.9
2015,Manitoba,46,1.2
2015,Saskatchewan,47,1.0
2015,Alberta,48,1.1
2015,Colombie-Britannique,59,1.4
2015,"Total, Organisation de coopération et de développement économiques (OCDE)",,2.3
2016,,,1.7
2016,Terre-Neuve-et-Labrador,10,1.2
2016,Île-du-Prince-Édouard,11,1.3
2016,Nouvelle-Écosse,12,1.5
2016,Nouveau-Brunswick,13,1.1
2016,Québec,24,2.2
2016,Ontario,35,2.0
2016,Manitoba,46,1.2
2016,Saskatchewan,47,0.9
2016,Alberta,48,1.1
2016,Colombie-Britannique,59,1.6
2016,"Total, Organisation de coopération et de développement économiques (OCDE)",,2.3
2017,,,1.7
2017,Terre-Neuve-et-Labrador,10,1.2
2017,Île-du-Prince-Édouard,11,1.3
2017,Nouvelle-Écosse,12,1.5
2017,Nouveau-Brunswick,13,0.9
2017,Québec,24,2.3
2017,Ontario,35,1.9
2017,Manitoba,46,1.2
2017,Saskatchewan,47,0.8
2017,Alberta,48,1.0
2017,Colombie-Britannique,59,1.5
2017,"Total, Organisation de coopération et de développement économiques (OCDE)",,2.4
2018,,,1.7
2018,Terre-Neuve-et-Labrador,10,1.5
2018,Île-du-Prince-Édouard,11,1.2
2018,Nouvelle-Écosse,12,1.5
2018,Nouveau-Brunswick,13,1.0
2018,Québec,24,2.3
2018,Ontario,35,2.0
2018,Manitoba,46,1.1
2018,Saskatchewan,47,0.9
2018,Alberta,48,1.1
2018,Colombie-Britannique,59,1.6
2018,"Total, Organisation de coopération et de développement économiques (OCDE)",,2.4
2019,,,1.8
2019,Terre-Neuve-et-Labrador,10,1.6
2019,Île-du-Prince-Édouard,11,1.1
2019,Nouvelle-Écosse,12,1.6
2019,Nouveau-Brunswick,13,1.0
2019,Québec,24,2.2
2019,Ontario,35,2.0
2019,Manitoba,46,1.2
2019,Saskatchewan,47,0.9
2019,Alberta,48,1.1
2019,Colombie-Britannique,59,1.6
2019,"Total, Organisation de coopération et de développement économiques (OCDE)",,2.5
2020,,,1.9
2020,Terre-Neuve-et-Labrador,10,1.7
2020,Île-du-Prince-Édouard,11,1.1
2020,Nouvelle-Écosse,12,1.5
2020,Nouveau-Brunswick,13,0.9
2020,Québec,24,2.4
2020,Ontario,35,2.3
2020,Manitoba,46,1.2
2020,Saskatchewan,47,1.0
2020,Alberta,48,1.2
2020,Colombie-Britannique,59,1.8
2020,"Total, Organisation de coopération et de développement économiques (OCDE)",,2.7
2021,,,1.9
2021,Terre-Neuve-et-Labrador,10,1.4
2021,Île-du-Prince-Édouard,11,1.0
2021,Nouvelle-Écosse,12,1.5
2021,Nouveau-Brunswick,13,1.0
2021,Québec,24,2.3
2021,Ontario,35,2.2
2021,Manitoba,46,1.2
2021,Saskatchewan,47,0.9
2021,Alberta,48,1.1
2021,Colombie-Britannique,59,1.7
2021,"Total, Organisation de coopération et de développement économiques (OCDE)",,2.7
2022,,,1.7
2022,"Total, Organisation de coopération et de développement économiques (OCDE)",,2.7
