Year,Units,Mesure,Value
2015,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,123.103738
2016,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,117.674513
2017,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,260.661463
2018,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,355.928776
2018,"Dollar américain, millions, prix constants de 2023",Autres apports du secteur public (autre que crédits à l'exportation),13.861459
2019,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,187.894289
2019,"Dollar américain, millions, prix constants de 2023",Autres apports du secteur public (autre que crédits à l'exportation),37.967334
2020,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,319.439695
2020,"Dollar américain, millions, prix constants de 2023",Autres apports du secteur public (autre que crédits à l'exportation),34.538579
2021,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,445.245895
2021,"Dollar américain, millions, prix constants de 2023",Autres apports du secteur public (autre que crédits à l'exportation),81.738493
2022,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,383.813987
2022,"Dollar américain, millions, prix constants de 2023",Autres apports du secteur public (autre que crédits à l'exportation),134.174317
2023,"Dollar américain, millions, prix constants de 2023",Aide publique au développement,389.448619
2015,"Dollar américain, millions, prix constants de 2023",,123.103738
2016,"Dollar américain, millions, prix constants de 2023",,117.674513
2017,"Dollar américain, millions, prix constants de 2023",,260.661463
2018,"Dollar américain, millions, prix constants de 2023",,369.790235
2019,"Dollar américain, millions, prix constants de 2023",,225.861623
2020,"Dollar américain, millions, prix constants de 2023",,353.978274
2021,"Dollar américain, millions, prix constants de 2023",,526.984388
2022,"Dollar américain, millions, prix constants de 2023",,517.988304
2023,"Dollar américain, millions, prix constants de 2023",,389.448619
