Year,Series,Units,Technology,Value
2016,Évolution à long terme (LTE),Pourcentage (%),,98.55
2017,Évolution à long terme (LTE),Pourcentage (%),,99.14
2018,Évolution à long terme (LTE),Pourcentage (%),,99.3
2019,Évolution à long terme (LTE),Pourcentage (%),,99.48
2020,Évolution à long terme (LTE),Pourcentage (%),,99.53
2021,Évolution à long terme (LTE),Pourcentage (%),,99.42
2022,Évolution à long terme (LTE),Pourcentage (%),,99.47
2016,Évolution à long terme - A (LTE-A),Pourcentage (%),,83.35
2017,Évolution à long terme - A (LTE-A),Pourcentage (%),,92.43
2018,Évolution à long terme - A (LTE-A),Pourcentage (%),,94.9
2019,Évolution à long terme - A (LTE-A),Pourcentage (%),,95.86
2020,Évolution à long terme - A (LTE-A),Pourcentage (%),,97.45
2021,Évolution à long terme - A (LTE-A),Pourcentage (%),,97.82
2022,Évolution à long terme - A (LTE-A),Pourcentage (%),,97.8
2020,5G,Pourcentage (%),,53.27
2021,5G,Pourcentage (%),,87.78
2022,5G,Pourcentage (%),,91.4
2016,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.47
2017,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.49
2018,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.48
2019,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.53
2020,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.45
2021,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.5
2022,Accès haute vitesse évolué par paquets (HSPA+),Pourcentage (%),,99.57
2022,,,Accès haute vitesse évolué par paquets (HSPA+),
2022,,,5G,
2022,,,Évolution à long terme - A (LTE-A),
2022,,,Évolution à long terme (LTE),
