Year,Personnes à faible revenu,Géographie,GeoCode,Value
2015,,,,14.5
2016,,,,12.9
2017,,,,11.9
2018,,,,11.2
2019,,,,10.3
2020,,,,6.4
2021,,,,7.4
2022,,,,9.9
2023,,,,10.2
2015,Toutes les personnes,Alberta,48,9.4
2016,Toutes les personnes,Alberta,48,10.1
2017,Toutes les personnes,Alberta,48,8.5
2018,Toutes les personnes,Alberta,48,8.8
2019,Toutes les personnes,Alberta,48,7.7
2020,Toutes les personnes,Alberta,48,5.5
2021,Toutes les personnes,Alberta,48,7.8
2022,Toutes les personnes,Alberta,48,9.7
2023,Toutes les personnes,Alberta,48,8.9
2015,Femmes,Alberta,48,9.9
2016,Femmes,Alberta,48,10.5
2017,Femmes,Alberta,48,9.3
2018,Femmes,Alberta,48,8.7
2019,Femmes,Alberta,48,7.7
2020,Femmes,Alberta,48,5.5
2021,Femmes,Alberta,48,8.1
2022,Femmes,Alberta,48,10.2
2023,Femmes,Alberta,48,9.1
2015,"Femmes, 18 à 64 ans",Alberta,48,9.5
2016,"Femmes, 18 à 64 ans",Alberta,48,11.6
2017,"Femmes, 18 à 64 ans",Alberta,48,10.8
2018,"Femmes, 18 à 64 ans",Alberta,48,9.9
2019,"Femmes, 18 à 64 ans",Alberta,48,9.1
2020,"Femmes, 18 à 64 ans",Alberta,48,6.5
2021,"Femmes, 18 à 64 ans",Alberta,48,8.6
2022,"Femmes, 18 à 64 ans",Alberta,48,10.5
2023,"Femmes, 18 à 64 ans",Alberta,48,10.1
2015,"Femmes, 65 ans et plus",Alberta,48,3.2
2016,"Femmes, 65 ans et plus",Alberta,48,4.1
2017,"Femmes, 65 ans et plus",Alberta,48,3.0
2018,"Femmes, 65 ans et plus",Alberta,48,4.3
2019,"Femmes, 65 ans et plus",Alberta,48,2.7
2020,"Femmes, 65 ans et plus",Alberta,48,3.5
2021,"Femmes, 65 ans et plus",Alberta,48,6.3
2022,"Femmes, 65 ans et plus",Alberta,48,5.9
2023,"Femmes, 65 ans et plus",Alberta,48,4.5
2015,"Femmes, moins de 18 ans",Alberta,48,15.0
2016,"Femmes, moins de 18 ans",Alberta,48,10.8
2017,"Femmes, moins de 18 ans",Alberta,48,8.4
2018,"Femmes, moins de 18 ans",Alberta,48,8.1
2019,"Femmes, moins de 18 ans",Alberta,48,6.7
2020,"Femmes, moins de 18 ans",Alberta,48,4.2
2021,"Femmes, moins de 18 ans",Alberta,48,8.1
2022,"Femmes, moins de 18 ans",Alberta,48,12.4
2023,"Femmes, moins de 18 ans",Alberta,48,9.4
2015,Hommes,Alberta,48,8.9
2016,Hommes,Alberta,48,9.8
2017,Hommes,Alberta,48,7.8
2018,Hommes,Alberta,48,8.9
2019,Hommes,Alberta,48,7.8
2020,Hommes,Alberta,48,5.5
2021,Hommes,Alberta,48,7.5
2022,Hommes,Alberta,48,9.3
2023,Hommes,Alberta,48,8.7
2015,"Hommes, 18 à 64 ans",Alberta,48,9.6
2016,"Hommes, 18 à 64 ans",Alberta,48,10.3
2017,"Hommes, 18 à 64 ans",Alberta,48,8.8
2018,"Hommes, 18 à 64 ans",Alberta,48,9.9
2019,"Hommes, 18 à 64 ans",Alberta,48,8.6
2020,"Hommes, 18 à 64 ans",Alberta,48,6.6
2021,"Hommes, 18 à 64 ans",Alberta,48,8.1
2022,"Hommes, 18 à 64 ans",Alberta,48,9.8
2023,"Hommes, 18 à 64 ans",Alberta,48,8.8
2016,"Hommes, 65 ans et plus",Alberta,48,4.5
2017,"Hommes, 65 ans et plus",Alberta,48,2.7
2018,"Hommes, 65 ans et plus",Alberta,48,2.4
2019,"Hommes, 65 ans et plus",Alberta,48,4.5
2020,"Hommes, 65 ans et plus",Alberta,48,2.3
2021,"Hommes, 65 ans et plus",Alberta,48,5.5
2022,"Hommes, 65 ans et plus",Alberta,48,5.3
2023,"Hommes, 65 ans et plus",Alberta,48,3.9
2015,"Hommes, moins de 18 ans",Alberta,48,9.8
2016,"Hommes, moins de 18 ans",Alberta,48,10.8
2017,"Hommes, moins de 18 ans",Alberta,48,7.2
2018,"Hommes, moins de 18 ans",Alberta,48,9.4
2019,"Hommes, moins de 18 ans",Alberta,48,7.1
2020,"Hommes, moins de 18 ans",Alberta,48,4.3
2021,"Hommes, moins de 18 ans",Alberta,48,6.9
2022,"Hommes, moins de 18 ans",Alberta,48,10.1
2023,"Hommes, moins de 18 ans",Alberta,48,11.2
2015,Personnes de 18 à 64 ans,Alberta,48,9.5
2016,Personnes de 18 à 64 ans,Alberta,48,10.9
2017,Personnes de 18 à 64 ans,Alberta,48,9.8
2018,Personnes de 18 à 64 ans,Alberta,48,9.9
2019,Personnes de 18 à 64 ans,Alberta,48,8.9
2020,Personnes de 18 à 64 ans,Alberta,48,6.5
2021,Personnes de 18 à 64 ans,Alberta,48,8.3
2022,Personnes de 18 à 64 ans,Alberta,48,10.2
2023,Personnes de 18 à 64 ans,Alberta,48,9.5
2015,Personnes de 65 ans et plus,Alberta,48,3.1
2016,Personnes de 65 ans et plus,Alberta,48,4.3
2017,Personnes de 65 ans et plus,Alberta,48,2.9
2018,Personnes de 65 ans et plus,Alberta,48,3.4
2019,Personnes de 65 ans et plus,Alberta,48,3.5
2020,Personnes de 65 ans et plus,Alberta,48,2.9
2021,Personnes de 65 ans et plus,Alberta,48,5.9
2022,Personnes de 65 ans et plus,Alberta,48,5.6
2023,Personnes de 65 ans et plus,Alberta,48,4.2
2015,Personnes de moins de 18 ans,Alberta,48,12.3
2016,Personnes de moins de 18 ans,Alberta,48,10.8
2017,Personnes de moins de 18 ans,Alberta,48,7.8
2018,Personnes de moins de 18 ans,Alberta,48,8.8
2019,Personnes de moins de 18 ans,Alberta,48,6.9
2020,Personnes de moins de 18 ans,Alberta,48,4.2
2021,Personnes de moins de 18 ans,Alberta,48,7.5
2022,Personnes de moins de 18 ans,Alberta,48,11.2
2023,Personnes de moins de 18 ans,Alberta,48,10.3
2015,Toutes les personnes,Provinces de l'Atlantique,,15.7
2016,Toutes les personnes,Provinces de l'Atlantique,,14.5
2017,Toutes les personnes,Provinces de l'Atlantique,,13.5
2018,Toutes les personnes,Provinces de l'Atlantique,,12.3
2019,Toutes les personnes,Provinces de l'Atlantique,,11.2
2020,Toutes les personnes,Provinces de l'Atlantique,,7.5
2021,Toutes les personnes,Provinces de l'Atlantique,,7.8
2022,Toutes les personnes,Provinces de l'Atlantique,,11.5
2023,Toutes les personnes,Provinces de l'Atlantique,,12.1
2015,Femmes,Provinces de l'Atlantique,,16.3
2016,Femmes,Provinces de l'Atlantique,,15.0
2017,Femmes,Provinces de l'Atlantique,,14.6
2018,Femmes,Provinces de l'Atlantique,,12.5
2019,Femmes,Provinces de l'Atlantique,,12.4
2020,Femmes,Provinces de l'Atlantique,,8.1
2021,Femmes,Provinces de l'Atlantique,,8.8
2022,Femmes,Provinces de l'Atlantique,,11.8
2023,Femmes,Provinces de l'Atlantique,,12.3
2015,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,16.7
2016,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,16.3
2017,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,16.0
2018,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,13.7
2019,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,13.5
2020,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,9.5
2021,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,9.4
2022,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,12.7
2023,"Femmes, 18 à 64 ans",Provinces de l'Atlantique,,13.6
2015,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,12.4
2016,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,9.7
2017,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,8.3
2018,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,8.7
2019,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,8.8
2020,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,5.0
2021,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,7.6
2022,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,9.7
2023,"Femmes, 65 ans et plus",Provinces de l'Atlantique,,8.0
2015,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,19.3
2016,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,16.4
2017,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,17.5
2018,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,12.9
2019,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,13.2
2020,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,7.3
2021,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,8.3
2022,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,11.8
2023,"Femmes, moins de 18 ans",Provinces de l'Atlantique,,14.2
2015,Hommes,Provinces de l'Atlantique,,15.0
2016,Hommes,Provinces de l'Atlantique,,14.0
2017,Hommes,Provinces de l'Atlantique,,12.3
2018,Hommes,Provinces de l'Atlantique,,12.1
2019,Hommes,Provinces de l'Atlantique,,9.9
2020,Hommes,Provinces de l'Atlantique,,6.9
2021,Hommes,Provinces de l'Atlantique,,6.7
2022,Hommes,Provinces de l'Atlantique,,11.1
2023,Hommes,Provinces de l'Atlantique,,11.8
2015,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,15.8
2016,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,14.7
2017,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,13.4
2018,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,13.8
2019,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,10.9
2020,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,8.4
2021,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,7.3
2022,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,12.1
2023,"Hommes, 18 à 64 ans",Provinces de l'Atlantique,,12.7
2015,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,8.2
2016,"Hommes, 65 ans et plus",Provinces de l'Atlantique,,7.4
