Year,Series,Units,Services de base,Sources des déchets à des fins d'élimination,Niveau de compétence,Sexe,Géographie,GeoCode,Value
2000,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.17
2001,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.18
2002,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.18
2003,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.18
2004,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.18
2005,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.24
2006,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.3
2007,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.36
2008,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.42
2009,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.48
2010,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.54
2011,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.6
2012,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.65
2013,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.71
2014,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.76
2015,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.82
2016,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.87
2017,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.93
2018,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,98.98
2019,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,99.04
2020,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,99.04
2021,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,99.04
2022,Accès aux services d’eau potable de base,Pourcentage (%),,,,,,,99.04
2000,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,77.4
2001,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,77.4
2002,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,77.4
2003,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,77.8
2004,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,78.3
2005,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,78.7
2006,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,79.2
2007,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,79.6
2008,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,79.9
2009,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,80.3
2010,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,80.7
2011,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,81.1
2012,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,81.4
2013,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,81.8
2014,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,82.2
2015,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,82.6
2016,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,82.9
2017,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,83.3
2018,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,83.7
2019,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,84.1
2020,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,84.0
2021,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,83.9
2022,Accès aux services d’assainissement de base,Pourcentage (%),,,,,,,83.9
2015,Accès à des carburants et technologies propres,Pourcentage (%),,,,,,,100.0
2016,Accès à des carburants et technologies propres,Pourcentage (%),,,,,,,100.0
2017,Accès à des carburants et technologies propres,Pourcentage (%),,,,,,,100.0
2018,Accès à des carburants et technologies propres,Pourcentage (%),,,,,,,100.0
2019,Accès à des carburants et technologies propres,Pourcentage (%),,,,,,,100.0
2020,Accès à des carburants et technologies propres,Pourcentage (%),,,,,,,100.0
2021,Accès à des carburants et technologies propres,Pourcentage (%),,,,,,,100.0
2022,Accès à des carburants et technologies propres,Pourcentage (%),,,,,,,100.0
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,,,97.7
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Terre-Neuve-et-Labrador,10,96.1
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Île-du-Prince-Édouard,11,99.9
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Nouvelle-Écosse,12,97.7
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Nouveau-Brunswick,13,97.1
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Québec,24,98.0
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Ontario,35,98.8
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Manitoba,46,97.2
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Saskatchewan,47,98.2
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Alberta,48,98.0
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Colombie-Britannique,59,95.0
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Yukon,60,88.2
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Territoires du Nord-Ouest,61,91.8
2021,Accès à la mobilité de base,Pourcentage (%),Proportion de la population rurale vivant à moins de 2 km d’une route praticable toute l’année,,,,Nunavut,62,82.2
2002,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,24081371.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,25226766.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,26417011.0
2008,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,25926476.0
2010,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,24952415.0
2012,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,24681474.0
2014,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,24766650.0
2016,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,24940747.0
2018,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,25733021.0
2020,Accès aux services de base de la collecte des déchets,Tonnes,,,,,,,26107720.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,8446766.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,15634606.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,376594.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,216218.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,160376.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,389194.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,169649.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,219546.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,413606.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,203506.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,210100.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,5846459.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,1875235.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,3971225.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,9645633.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3438408.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,6207225.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,896556.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,412612.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,483944.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,795124.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,278692.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,516432.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,2890294.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,866398.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2023896.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2687882.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,929101.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1758781.0
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2002,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,8961583.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,16265183.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,400048.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,228004.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,172044.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Île-du-Prince-Édouard,11,
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Île-du-Prince-Édouard,,
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouvelle-Écosse,12,399967.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,179262.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouvelle-Écosse,,220705.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Nouveau-Brunswick,13,442173.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,208120.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Nouveau-Brunswick,,234053.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Québec,24,6454000.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Québec,,2209000.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Québec,,4245000.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Ontario,35,9809264.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Ontario,,3489917.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Ontario,,6319347.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Manitoba,46,928117.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Manitoba,,450658.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Manitoba,,477459.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Saskatchewan,47,794933.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Saskatchewan,,279420.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Saskatchewan,,515513.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Alberta,48,3077311.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Alberta,,943420.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Alberta,,2133890.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Colombie-Britannique,59,2767657.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Colombie-Britannique,,919323.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Colombie-Britannique,,1848335.0
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2004,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,"Yukon, Territoires du Nord-Ouest et Nunavut",,
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,,,9748217.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,,,16668793.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Toutes les sources de déchets à des fins d'élimination,,,Terre-Neuve-et-Labrador,10,428809.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets non résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,227618.0
2006,Accès aux services de base de la collecte des déchets,Tonnes,,Sources de déchets résidentielles à des fins d'élimination,,,Terre-Neuve-et-Labrador,,201192.0
