Year,Géographie,GeoCode,Value
2015,,,51.59
2016,,,50.68
2017,,,49.98
2018,,,50.41
2019,,,50.78
2020,,,52.29
2021,,,50.06
2022,,,48.43
2023,,,49.91
2024,,,50.44
2015,Terre-Neuve-et-Labrador,10,48.05
2015,Île-du-Prince-Édouard,11,50.69
2015,Nouvelle-Écosse,12,53.52
2015,Nouveau-Brunswick,13,50.9
2015,Québec,24,52.32
2015,Ontario,35,52.84
2015,Manitoba,46,50.19
2015,Saskatchewan,47,40.53
2015,Alberta,48,52.51
2015,Colombie-Britannique,59,49.37
2015,Yukon,60,53.41
2015,Territoires du Nord-Ouest,61,53.76
2015,Nunavut,62,60.39
2015,Extérieur du Canada,,89.8
2016,Terre-Neuve-et-Labrador,10,46.89
2016,Île-du-Prince-Édouard,11,49.69
2016,Nouvelle-Écosse,12,52.67
2016,Nouveau-Brunswick,13,51.08
2016,Québec,24,52.21
2016,Ontario,35,51.72
2016,Manitoba,46,49.69
2016,Saskatchewan,47,41.22
2016,Alberta,48,50.31
2016,Colombie-Britannique,59,48.45
2016,Yukon,60,52.1
2016,Territoires du Nord-Ouest,61,54.9
2016,Nunavut,62,58.95
2016,Extérieur du Canada,,90.11
2017,Terre-Neuve-et-Labrador,10,43.12
2017,Île-du-Prince-Édouard,11,49.22
2017,Nouvelle-Écosse,12,52.36
2017,Nouveau-Brunswick,13,50.56
2017,Québec,24,52.02
2017,Ontario,35,51.84
2017,Manitoba,46,49.02
2017,Saskatchewan,47,39.18
2017,Alberta,48,47.33
2017,Colombie-Britannique,59,48.15
2017,Yukon,60,53.59
2017,Territoires du Nord-Ouest,61,52.52
2017,Nunavut,62,54.47
2017,Extérieur du Canada,,90.35
2018,Terre-Neuve-et-Labrador,10,41.37
2018,Île-du-Prince-Édouard,11,49.85
2018,Nouvelle-Écosse,12,53.36
2018,Nouveau-Brunswick,13,51.1
2018,Québec,24,52.73
2018,Ontario,35,52.73
2018,Manitoba,46,49.21
2018,Saskatchewan,47,38.41
2018,Alberta,48,46.64
2018,Colombie-Britannique,59,48.58
2018,Yukon,60,55.5
2018,Territoires du Nord-Ouest,61,52.42
2018,Nunavut,62,57.13
2018,Extérieur du Canada,,90.46
2019,Terre-Neuve-et-Labrador,10,40.79
2019,Île-du-Prince-Édouard,11,49.84
2019,Nouvelle-Écosse,12,52.38
2019,Nouveau-Brunswick,13,51.67
2019,Québec,24,53.36
2019,Ontario,35,53.05
2019,Manitoba,46,49.15
2019,Saskatchewan,47,38.19
2019,Alberta,48,46.75
2019,Colombie-Britannique,59,49.38
2019,Yukon,60,57.22
2019,Territoires du Nord-Ouest,61,53.38
2019,Nunavut,62,55.13
2019,Extérieur du Canada,,90.88
2020,Terre-Neuve-et-Labrador,10,43.11
2020,Île-du-Prince-Édouard,11,50.6
2020,Nouvelle-Écosse,12,53.37
2020,Nouveau-Brunswick,13,52.15
2020,Québec,24,54.48
2020,Ontario,35,53.97
2020,Manitoba,46,49.76
2020,Saskatchewan,47,40.45
2020,Alberta,48,51.14
2020,Colombie-Britannique,59,49.67
2020,Yukon,60,55.43
2020,Territoires du Nord-Ouest,61,58.41
2020,Nunavut,62,49.58
2020,Extérieur du Canada,,89.51
2021,Terre-Neuve-et-Labrador,10,38.26
2021,Île-du-Prince-Édouard,11,48.89
2021,Nouvelle-Écosse,12,52.08
2021,Nouveau-Brunswick,13,50.58
2021,Québec,24,53.43
2021,Ontario,35,53.19
2021,Manitoba,46,49.0
2021,Saskatchewan,47,38.05
2021,Alberta,48,43.05
2021,Colombie-Britannique,59,48.19
2021,Yukon,60,54.8
2021,Territoires du Nord-Ouest,61,55.7
2021,Nunavut,62,48.85
2021,Extérieur du Canada,,89.02
2022,Terre-Neuve-et-Labrador,10,37.11
2022,Île-du-Prince-Édouard,11,47.7
2022,Nouvelle-Écosse,12,51.51
2022,Nouveau-Brunswick,13,51.44
2022,Québec,24,53.68
2022,Ontario,35,52.69
2022,Manitoba,46,46.72
2022,Saskatchewan,47,30.75
2022,Alberta,48,38.41
2022,Colombie-Britannique,59,47.3
2022,Yukon,60,55.07
2022,Territoires du Nord-Ouest,61,52.45
2022,Nunavut,62,52.59
2022,Extérieur du Canada,,88.07
2023,Terre-Neuve-et-Labrador,10,41.84
2023,Île-du-Prince-Édouard,11,49.08
2023,Nouvelle-Écosse,12,52.35
2023,Nouveau-Brunswick,13,52.67
2023,Québec,24,53.95
2023,Ontario,35,52.86
2023,Manitoba,46,47.01
2023,Saskatchewan,47,33.8
2023,Alberta,48,42.5
2023,Colombie-Britannique,59,49.2
2023,Yukon,60,55.52
2023,Territoires du Nord-Ouest,61,54.96
2023,Nunavut,62,49.97
2023,Extérieur du Canada,,89.79
2024,Terre-Neuve-et-Labrador,10,42.28
2024,Île-du-Prince-Édouard,11,49.19
2024,Nouvelle-Écosse,12,51.95
2024,Nouveau-Brunswick,13,53.92
2024,Québec,24,53.91
2024,Ontario,35,53.49
2024,Manitoba,46,48.24
2024,Saskatchewan,47,35.74
2024,Alberta,48,42.43
2024,Colombie-Britannique,59,50.1
2024,Yukon,60,56.27
2024,Territoires du Nord-Ouest,61,61.7
2024,Nunavut,62,48.45
2024,Extérieur du Canada,,90.72
