Year,Domaine politique,Value
2021,,3
2021,Domaine 1. Droits des migrants,3
2021,Domaine 2. Politiques pangouvernementales fondées sur des données probantes,4
2021,Domaine 3. Coopération et partenariats,4
2021,Domaine 4. Bien-être socio-économique,4
2021,Domaine 5. Dimensions de mobilité des crises,4
2021,"Domaine 6. Migration sûre, ordonnée et régulière",4
2019,,3
2019,Domaine 1. Droits des migrants,3
2019,Domaine 2. Politiques pangouvernementales fondées sur des données probantes,4
2019,Domaine 3. Coopération et partenariats,4
2019,Domaine 4. Bien-être socio-économique,4
2019,Domaine 5. Dimensions de mobilité des crises,4
2019,"Domaine 6. Migration sûre, ordonnée et régulière",4
