Year,Units,Mesure,Value
2015,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),5225.63
2015,"Dollar américain, millions, prix constants de 2022",Crédits à l'exportation bénéficiant de support public,609.14
2015,"Dollar américain, millions, prix constants de 2022",Autres apports du secteur public (AASP),71.92
2015,"Dollar américain, millions, prix constants de 2022",Apports du secteur privé aux conditions du marché,-4403.96
2015,"Dollar américain, millions, prix constants de 2022","Dons privés, net",3039.19
2015,"Dollar américain, millions, prix constants de 2022",,4541.92
2016,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),4941.61
2016,"Dollar américain, millions, prix constants de 2022",Crédits à l'exportation bénéficiant de support public,363.32
2016,"Dollar américain, millions, prix constants de 2022",Autres apports du secteur public (AASP),74.05
2016,"Dollar américain, millions, prix constants de 2022",Apports du secteur privé aux conditions du marché,3918.13
2016,"Dollar américain, millions, prix constants de 2022","Dons privés, net",3308.04
2016,"Dollar américain, millions, prix constants de 2022",,12605.09
2017,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),5168.34
2017,"Dollar américain, millions, prix constants de 2022",Crédits à l'exportation bénéficiant de support public,519.2
2017,"Dollar américain, millions, prix constants de 2022",Autres apports du secteur public (AASP),85.99
2017,"Dollar américain, millions, prix constants de 2022",Apports du secteur privé aux conditions du marché,-4093.84
2017,"Dollar américain, millions, prix constants de 2022","Dons privés, net",3540.41
2017,"Dollar américain, millions, prix constants de 2022",,5220.1
2018,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),5474.15
2018,"Dollar américain, millions, prix constants de 2022",Crédits à l'exportation bénéficiant de support public,76.04
2018,"Dollar américain, millions, prix constants de 2022",Autres apports du secteur public (AASP),-76.92
2018,"Dollar américain, millions, prix constants de 2022",Apports du secteur privé aux conditions du marché,1624.3
2018,"Dollar américain, millions, prix constants de 2022","Dons privés, net",3384.42
2018,"Dollar américain, millions, prix constants de 2022",,10481.99
2019,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),5392.19
2019,"Dollar américain, millions, prix constants de 2022",Crédits à l'exportation bénéficiant de support public,52.83
2019,"Dollar américain, millions, prix constants de 2022",Autres apports du secteur public (AASP),-3.04
2019,"Dollar américain, millions, prix constants de 2022",Apports du secteur privé aux conditions du marché,-3320.91
2019,"Dollar américain, millions, prix constants de 2022","Dons privés, net",3372.84
2019,"Dollar américain, millions, prix constants de 2022",,5493.9
2020,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),5818.32
2020,"Dollar américain, millions, prix constants de 2022",Crédits à l'exportation bénéficiant de support public,-46.78
2020,"Dollar américain, millions, prix constants de 2022",Autres apports du secteur public (AASP),-11.28
2020,"Dollar américain, millions, prix constants de 2022",Apports du secteur privé aux conditions du marché,-5360.48
2020,"Dollar américain, millions, prix constants de 2022","Dons privés, net",2875.17
2020,"Dollar américain, millions, prix constants de 2022",,3274.96
2021,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),6459.48
2021,"Dollar américain, millions, prix constants de 2022",Crédits à l'exportation bénéficiant de support public,-293.08
2021,"Dollar américain, millions, prix constants de 2022",Autres apports du secteur public (AASP),115.97
2021,"Dollar américain, millions, prix constants de 2022",Apports du secteur privé aux conditions du marché,1108.68
2021,"Dollar américain, millions, prix constants de 2022","Dons privés, net",2940.22
2021,"Dollar américain, millions, prix constants de 2022",,10331.26
2022,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),9274.14
2022,"Dollar américain, millions, prix constants de 2022",Crédits à l'exportation bénéficiant de support public,-378.48
2022,"Dollar américain, millions, prix constants de 2022",Autres apports du secteur public (AASP),185.88
2022,"Dollar américain, millions, prix constants de 2022",Apports du secteur privé aux conditions du marché,15246.0
2022,"Dollar américain, millions, prix constants de 2022","Dons privés, net",3343.24
2022,"Dollar américain, millions, prix constants de 2022",,27670.78
2023,"Dollar américain, millions, prix constants de 2022",Aide publique au développement (APD),9416.79
