Year,Mode d'occupation,Géographie,GeoCode,Value
2018,"Total, mode d'occupation",Terre-Neuve-et-Labrador,10,7.1
2018,Propriétaire,Terre-Neuve-et-Labrador,10,1.9
2018,Propriétaire qui n'est pas un accédant à la propriété,Terre-Neuve-et-Labrador,10,2.2
2018,Locataire,Terre-Neuve-et-Labrador,10,23.0
2018,Locataire n'habitant pas dans un logement social et abordable,Terre-Neuve-et-Labrador,10,20.0
2018,Locataire habitant dans un logement social et abordable,Terre-Neuve-et-Labrador,10,33.0
2018,"Total, mode d'occupation",Nouvelle-Écosse,12,10.9
2018,Propriétaire,Nouvelle-Écosse,12,3.8
2018,Propriétaire qui est un accédant à la propriété,Nouvelle-Écosse,12,2.6
2018,Propriétaire qui n'est pas un accédant à la propriété,Nouvelle-Écosse,12,4.0
2018,Locataire,Nouvelle-Écosse,12,22.0
2018,Locataire n'habitant pas dans un logement social et abordable,Nouvelle-Écosse,12,21.0
2018,Locataire habitant dans un logement social et abordable,Nouvelle-Écosse,12,28.0
2018,"Total, mode d'occupation",Nouveau-Brunswick,13,6.3
2018,Propriétaire,Nouveau-Brunswick,13,2.0
2018,Propriétaire qui n'est pas un accédant à la propriété,Nouveau-Brunswick,13,2.4
2018,Locataire,Nouveau-Brunswick,13,16.7
2018,Locataire n'habitant pas dans un logement social et abordable,Nouveau-Brunswick,13,15.9
2018,Locataire habitant dans un logement social et abordable,Nouveau-Brunswick,13,24.0
2018,"Total, mode d'occupation",Québec,24,5.0
2018,Propriétaire,Québec,24,1.1
2018,Propriétaire qui est un accédant à la propriété,Québec,24,2.0
2018,Propriétaire qui n'est pas un accédant à la propriété,Québec,24,1.0
2018,Locataire,Québec,24,11.1
2018,Locataire n'habitant pas dans un logement social et abordable,Québec,24,10.7
2018,Locataire habitant dans un logement social et abordable,Québec,24,14.4
2018,"Total, mode d'occupation",Ontario,35,12.4
2018,Propriétaire,Ontario,35,7.9
2018,Propriétaire qui est un accédant à la propriété,Ontario,35,10.7
2018,Propriétaire qui n'est pas un accédant à la propriété,Ontario,35,7.4
2018,Locataire,Ontario,35,25.0
2018,Locataire n'habitant pas dans un logement social et abordable,Ontario,35,24.0
2018,Locataire habitant dans un logement social et abordable,Ontario,35,29.0
2018,"Total, mode d'occupation",Manitoba,46,10.4
2018,Propriétaire,Manitoba,46,5.8
2018,Propriétaire qui est un accédant à la propriété,Manitoba,46,13.8
2018,Propriétaire qui n'est pas un accédant à la propriété,Manitoba,46,4.3
2018,Locataire,Manitoba,46,22.0
2018,Locataire n'habitant pas dans un logement social et abordable,Manitoba,46,19.2
2018,Locataire habitant dans un logement social et abordable,Manitoba,46,36.0
2018,"Total, mode d'occupation",Saskatchewan,47,8.8
2018,Propriétaire,Saskatchewan,47,4.5
2018,Propriétaire qui est un accédant à la propriété,Saskatchewan,47,6.3
2018,Propriétaire qui n'est pas un accédant à la propriété,Saskatchewan,47,4.0
2018,Locataire,Saskatchewan,47,21.0
2018,Locataire n'habitant pas dans un logement social et abordable,Saskatchewan,47,17.0
2018,Locataire habitant dans un logement social et abordable,Saskatchewan,47,40.0
2018,"Total, mode d'occupation",Alberta,48,8.7
2018,Propriétaire,Alberta,48,5.5
2018,Propriétaire qui est un accédant à la propriété,Alberta,48,6.6
2018,Propriétaire qui n'est pas un accédant à la propriété,Alberta,48,5.3
2018,Locataire,Alberta,48,17.9
2018,Locataire n'habitant pas dans un logement social et abordable,Alberta,48,16.0
2018,Locataire habitant dans un logement social et abordable,Alberta,48,38.0
2018,"Total, mode d'occupation",Colombie-Britannique,59,12.0
2018,Propriétaire,Colombie-Britannique,59,7.6
2018,Propriétaire qui est un accédant à la propriété,Colombie-Britannique,59,13.7
2018,Propriétaire qui n'est pas un accédant à la propriété,Colombie-Britannique,59,6.6
2018,Locataire,Colombie-Britannique,59,22.0
2018,Locataire n'habitant pas dans un logement social et abordable,Colombie-Britannique,59,19.4
2018,Locataire habitant dans un logement social et abordable,Colombie-Britannique,59,39.0
2018,,,,10.0
2018,Propriétaire,Canada,,5.9
2018,Propriétaire qui est un accédant à la propriété,Canada,,8.6
2018,Propriétaire qui n'est pas un accédant à la propriété,Canada,,5.5
2018,Locataire,Canada,,19.5
2018,Locataire n'habitant pas dans un logement social et abordable,Canada,,18.3
2018,Locataire habitant dans un logement social et abordable,Canada,,29.0
2021,"Total, mode d'occupation",Terre-Neuve-et-Labrador,10,5.1
2021,Propriétaire,Terre-Neuve-et-Labrador,10,1.1
2021,Propriétaire qui n'est pas un accédant à la propriété,Terre-Neuve-et-Labrador,10,1.1
2021,Locataire,Terre-Neuve-et-Labrador,10,15.7
2021,Locataire n'habitant pas dans un logement social et abordable,Terre-Neuve-et-Labrador,10,11.9
2021,Locataire habitant dans un logement social et abordable,Terre-Neuve-et-Labrador,10,33.0
2021,"Total, mode d'occupation",Nouvelle-Écosse,12,7.0
2021,Propriétaire,Nouvelle-Écosse,12,2.1
2021,Propriétaire qui n'est pas un accédant à la propriété,Nouvelle-Écosse,12,2.3
2021,Locataire,Nouvelle-Écosse,12,14.0
2021,Locataire n'habitant pas dans un logement social et abordable,Nouvelle-Écosse,12,12.2
2021,Locataire habitant dans un logement social et abordable,Nouvelle-Écosse,12,41.0
2021,"Total, mode d'occupation",Nouveau-Brunswick,13,5.0
2021,Propriétaire,Nouveau-Brunswick,13,1.3
2021,Propriétaire qui n'est pas un accédant à la propriété,Nouveau-Brunswick,13,1.6
2021,Locataire,Nouveau-Brunswick,13,13.7
2021,Locataire n'habitant pas dans un logement social et abordable,Nouveau-Brunswick,13,12.4
2021,Locataire habitant dans un logement social et abordable,Nouveau-Brunswick,13,25.0
2021,"Total, mode d'occupation",Québec,24,4.0
