Year,Type de patrimoine,Niveau de gouvernement,Géographie,GeoCode,Value
2015,,,,,202.21542
2016,,,,,205.22944
2017,,,,,222.73863
2018,,,,,216.06242
2019,,,,,236.55917
2020,,,,,236.953
2021,,,,,250.3147
2022,,,,,267.46501
2023,,,,,266.21937
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,208.90826
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,74.28435
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,141.46677
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,139.91982
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,110.63899
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,105.99075
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,542.40965
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,147.21272
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,739.92875
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,147.05354
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,103.70862
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,133.56584
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,114.95175
2015,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1778.65088
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,182.10304
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,75.7004
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,140.23504
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,141.53743
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,93.01448
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,98.18991
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,515.41771
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,134.67885
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,730.14414
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,149.67751
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,102.11654
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,140.91124
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,118.89078
2016,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1582.40162
2017,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,185.49504
2017,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,79.8508
2017,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,149.02145
2017,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,144.5981
2017,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,106.95229
2017,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,105.71184
