Year,Géographie,Déchets ménagers dangereux,GeoCode,Value
2011,Canada,Des restes de médicaments ou des médicaments périmés,,34.0
2011,Canada,Des objets médicaux piquants ou tranchants,,9.0
2011,Canada,Restes de peinture ou solvants,,37.0
2011,Canada,Huiles pour moteur ou de l'antigel,,16.0
2011,Canada,"Piles déchargées, excluant les batteries de voiture",,51.0
2011,Terre-Neuve-et-Labrador,Des restes de médicaments ou des médicaments périmés,10,23.0
2011,Terre-Neuve-et-Labrador,Des objets médicaux piquants ou tranchants,10,6.0
2011,Terre-Neuve-et-Labrador,Restes de peinture ou solvants,10,35.0
2011,Terre-Neuve-et-Labrador,Huiles pour moteur ou de l'antigel,10,16.0
2011,Terre-Neuve-et-Labrador,"Piles déchargées, excluant les batteries de voiture",10,34.0
2011,Île-du-Prince-Édouard,Des restes de médicaments ou des médicaments périmés,11,30.0
2011,Île-du-Prince-Édouard,Des objets médicaux piquants ou tranchants,11,14.0
2011,Île-du-Prince-Édouard,Restes de peinture ou solvants,11,32.0
2011,Île-du-Prince-Édouard,Huiles pour moteur ou de l'antigel,11,11.0
2011,Île-du-Prince-Édouard,"Piles déchargées, excluant les batteries de voiture",11,47.0
2011,Nouvelle-Écosse,Des restes de médicaments ou des médicaments périmés,12,30.0
2011,Nouvelle-Écosse,Des objets médicaux piquants ou tranchants,12,11.0
2011,Nouvelle-Écosse,Restes de peinture ou solvants,12,38.0
2011,Nouvelle-Écosse,Huiles pour moteur ou de l'antigel,12,14.0
2011,Nouvelle-Écosse,"Piles déchargées, excluant les batteries de voiture",12,46.0
2011,Nouveau-Brunswick,Des restes de médicaments ou des médicaments périmés,13,31.0
2011,Nouveau-Brunswick,Des objets médicaux piquants ou tranchants,13,12.0
2011,Nouveau-Brunswick,Restes de peinture ou solvants,13,40.0
2011,Nouveau-Brunswick,Huiles pour moteur ou de l'antigel,13,16.0
2011,Nouveau-Brunswick,"Piles déchargées, excluant les batteries de voiture",13,50.0
2011,Québec,Des restes de médicaments ou des médicaments périmés,24,43.0
2011,Québec,Des objets médicaux piquants ou tranchants,24,10.0
2011,Québec,Restes de peinture ou solvants,24,47.0
2011,Québec,Huiles pour moteur ou de l'antigel,24,16.0
2011,Québec,"Piles déchargées, excluant les batteries de voiture",24,62.0
2011,Ontario,Des restes de médicaments ou des médicaments périmés,35,30.0
2011,Ontario,Des objets médicaux piquants ou tranchants,35,9.0
2011,Ontario,Restes de peinture ou solvants,35,33.0
2011,Ontario,Huiles pour moteur ou de l'antigel,35,12.0
2011,Ontario,"Piles déchargées, excluant les batteries de voiture",35,49.0
2011,Manitoba,Des restes de médicaments ou des médicaments périmés,46,24.0
2011,Manitoba,Des objets médicaux piquants ou tranchants,46,8.0
2011,Manitoba,Restes de peinture ou solvants,46,30.0
2011,Manitoba,Huiles pour moteur ou de l'antigel,46,20.0
2011,Manitoba,"Piles déchargées, excluant les batteries de voiture",46,46.0
2011,Saskatchewan,Des restes de médicaments ou des médicaments périmés,47,29.0
2011,Saskatchewan,Des objets médicaux piquants ou tranchants,47,9.0
2011,Saskatchewan,Restes de peinture ou solvants,47,30.0
2011,Saskatchewan,Huiles pour moteur ou de l'antigel,47,20.0
2011,Saskatchewan,"Piles déchargées, excluant les batteries de voiture",47,39.0
2011,Alberta,Des restes de médicaments ou des médicaments périmés,48,36.0
2011,Alberta,Des objets médicaux piquants ou tranchants,48,8.0
