Year,Groupe de stocks,Value
2011,,89.68
2012,,95.48
2013,,97.42
2014,,98.7
2015,,95.6
2016,,95.88
2017,,95.53
2018,,96.05
2019,,94.32
2020,,98.33
2021,,95.31
2022,,96.92
2020,Mammifères marins,94.12
2020,Poissons de fond,100.0
2020,Petits poissons pélagiques,100.0
2020,Grands poissons pélagiques,100.0
2020,Salmonidés,95.45
2020,Crustacés,97.67
2020,Mollusques,100.0
2020,Autres,100.0
2021,Mammifères marins,94.12
2021,Poissons de fond,100.0
2021,Petits poissons pélagiques,95.0
2021,Grands poissons pélagiques,100.0
2021,Salmonidés,91.67
2021,Crustacés,92.31
2021,Mollusques,94.44
2021,Autres,100.0
2022,Mammifères marins,94.12
2022,Poissons de fond,100.0
2022,Petits poissons pélagiques,100.0
2022,Grands poissons pélagiques,100.0
2022,Salmonidés,96.0
2022,Crustacés,92.31
2022,Mollusques,100.0
2022,Autres,100.0
