Year,Genre,Identité autochtone,Géographie,GeoCode,Value
2014,,,,,1.48
2015,,,,,1.72
2016,,,,,1.71
2017,,,,,1.83
2018,,,,,1.79
2019,,,,,1.84
2020,,,,,2.01
2021,,,,,2.09
2022,,,,,2.27
2023,,,,,1.99
2024,,,,,1.91
2014,Toutes les identités de genre,Identité autochtone,Canada,,7.19
2014,Toutes les identités de genre,Identité non autochtone,Canada,,1.18
2014,Homme,Total,Canada,,2.12
2014,Homme,Identité autochtone,Canada,,10.87
2014,Homme,Identité non autochtone,Canada,,1.65
2014,Femme,Total,Canada,,0.86
2014,Femme,Identité autochtone,Canada,,3.63
2014,Femme,Identité non autochtone,Canada,,0.72
2014,Toutes les identités de genre,Total,Terre-Neuve-et-Labrador,10,0.38
2014,Toutes les identités de genre,Identité autochtone,Terre-Neuve-et-Labrador,,0.0
2014,Toutes les identités de genre,Identité non autochtone,Terre-Neuve-et-Labrador,,0.41
2014,Homme,Total,Terre-Neuve-et-Labrador,,0.77
2014,Homme,Identité autochtone,Terre-Neuve-et-Labrador,,0.0
2014,Homme,Identité non autochtone,Terre-Neuve-et-Labrador,,0.83
2014,Femme,Total,Terre-Neuve-et-Labrador,,0.0
2014,Femme,Identité autochtone,Terre-Neuve-et-Labrador,,0.0
2014,Femme,Identité non autochtone,Terre-Neuve-et-Labrador,,0.0
2014,Toutes les identités de genre,Total,Île-du-Prince-Édouard,11,2.06
2014,Toutes les identités de genre,Identité autochtone,Île-du-Prince-Édouard,,0.0
2014,Toutes les identités de genre,Identité non autochtone,Île-du-Prince-Édouard,,2.1
2014,Homme,Total,Île-du-Prince-Édouard,,4.23
2014,Homme,Identité autochtone,Île-du-Prince-Édouard,,0.0
2014,Homme,Identité non autochtone,Île-du-Prince-Édouard,,4.31
2014,Femme,Total,Île-du-Prince-Édouard,,0.0
2014,Femme,Identité autochtone,Île-du-Prince-Édouard,,0.0
2014,Femme,Identité non autochtone,Île-du-Prince-Édouard,,0.0
2014,Toutes les identités de genre,Total,Nouvelle-Écosse,12,0.64
2014,Toutes les identités de genre,Identité autochtone,Nouvelle-Écosse,,2.14
2014,Toutes les identités de genre,Identité non autochtone,Nouvelle-Écosse,,0.45
2014,Homme,Total,Nouvelle-Écosse,,0.87
2014,Homme,Identité autochtone,Nouvelle-Écosse,,0.0
2014,Homme,Identité non autochtone,Nouvelle-Écosse,,0.68
2014,Femme,Total,Nouvelle-Écosse,,0.42
2014,Femme,Identité autochtone,Nouvelle-Écosse,,4.19
2014,Femme,Identité non autochtone,Nouvelle-Écosse,,0.22
2014,Toutes les identités de genre,Total,Nouveau-Brunswick,13,1.45
2014,Toutes les identités de genre,Identité autochtone,Nouveau-Brunswick,,0.0
2014,Toutes les identités de genre,Identité non autochtone,Nouveau-Brunswick,,1.5
2014,Homme,Total,Nouveau-Brunswick,,1.6
2014,Homme,Identité autochtone,Nouveau-Brunswick,,0.0
2014,Homme,Identité non autochtone,Nouveau-Brunswick,,1.66
2014,Femme,Total,Nouveau-Brunswick,,1.3
2014,Femme,Identité autochtone,Nouveau-Brunswick,,0.0
2014,Femme,Identité non autochtone,Nouveau-Brunswick,,1.35
2014,Toutes les identités de genre,Total,Québec,24,0.89
2014,Toutes les identités de genre,Identité autochtone,Québec,,2.15
2014,Toutes les identités de genre,Identité non autochtone,Québec,,0.83
2014,Homme,Total,Québec,,1.19
2014,Homme,Identité autochtone,Québec,,2.12
2014,Homme,Identité non autochtone,Québec,,1.11
2014,Femme,Total,Québec,,0.59
2014,Femme,Identité autochtone,Québec,,2.17
2014,Femme,Identité non autochtone,Québec,,0.55
2014,Toutes les identités de genre,Total,Ontario,35,1.15
2014,Toutes les identités de genre,Identité autochtone,Ontario,,5.57
2014,Toutes les identités de genre,Identité non autochtone,Ontario,,1.0
2014,Homme,Total,Ontario,,1.72
2014,Homme,Identité autochtone,Ontario,,9.8
2014,Homme,Identité non autochtone,Ontario,,1.46
2014,Femme,Total,Ontario,,0.59
2014,Femme,Identité autochtone,Ontario,,1.55
2014,Femme,Identité non autochtone,Ontario,,0.55
2014,Toutes les identités de genre,Total,Manitoba,46,3.51
2014,Toutes les identités de genre,Identité autochtone,Manitoba,,12.88
2014,Toutes les identités de genre,Identité non autochtone,Manitoba,,1.52
2014,Homme,Total,Manitoba,,5.18
2014,Homme,Identité autochtone,Manitoba,,19.87
2014,Homme,Identité non autochtone,Manitoba,,2.09
2014,Femme,Total,Manitoba,,1.87
2014,Femme,Identité autochtone,Manitoba,,6.12
2014,Femme,Identité non autochtone,Manitoba,,0.95
2014,Toutes les identités de genre,Total,Saskatchewan,47,2.17
2014,Toutes les identités de genre,Identité autochtone,Saskatchewan,,6.73
2014,Toutes les identités de genre,Identité non autochtone,Saskatchewan,,1.29
2014,Homme,Total,Saskatchewan,,3.41
2014,Homme,Identité autochtone,Saskatchewan,,12.59
2014,Homme,Identité non autochtone,Saskatchewan,,1.7
2014,Femme,Total,Saskatchewan,,0.91
2014,Femme,Identité autochtone,Saskatchewan,,1.1
2014,Femme,Identité non autochtone,Saskatchewan,,0.87
2014,Toutes les identités de genre,Total,Alberta,48,2.65
2014,Toutes les identités de genre,Identité autochtone,Alberta,,12.23
2014,Toutes les identités de genre,Identité non autochtone,Alberta,,1.99
2014,Homme,Total,Alberta,,3.63
2014,Homme,Identité autochtone,Alberta,,17.08
2014,Homme,Identité non autochtone,Alberta,,2.72
2014,Femme,Total,Alberta,,1.65
2014,Femme,Identité autochtone,Alberta,,7.53
2014,Femme,Identité non autochtone,Alberta,,1.24
2014,Toutes les identités de genre,Total,Colombie-Britannique,59,1.89
2014,Toutes les identités de genre,Identité autochtone,Colombie-Britannique,,5.17
2014,Toutes les identités de genre,Identité non autochtone,Colombie-Britannique,,1.69
2014,Homme,Total,Colombie-Britannique,,2.61
2014,Homme,Identité autochtone,Colombie-Britannique,,8.29
2014,Homme,Identité non autochtone,Colombie-Britannique,,2.27
2014,Femme,Total,Colombie-Britannique,,1.18
2014,Femme,Identité autochtone,Colombie-Britannique,,2.17
2014,Femme,Identité non autochtone,Colombie-Britannique,,1.12
2014,Toutes les identités de genre,Total,Yukon,60,8.08
