Year,Series,Genre,Groupe d'âge,Orientation sexuelle,"Identité autochtone (Première Nation, Métis ou Inuit)",Minorité visible,Personne ayant une incapacité,Status d'immigrant,État matrimonial,Value
1999,Violence physique,,,,,,,,,80
2004,Violence physique,,,,,,,,,75
2009,Violence physique,,,,,,,,,80
2014,Violence physique,,,,,,,,,48
2019,Violence physique,,,,,,,,,46
1999,Violence sexuelle,,,,,,,,,21
2004,Violence sexuelle,,,,,,,,,21
2009,Violence sexuelle,,,,,,,,,24
2014,Violence sexuelle,,,,,,,,,22
2019,Violence sexuelle,,,,,,,,,30
2019,Violence physique,Hommes,,,,,,,,43
2019,Violence physique,Femmes,,,,,,,,49
2019,Violence sexuelle,Hommes,,,,,,,,9
2019,Violence sexuelle,Femmes,,,,,,,,50
2019,Violence physique,,15 à 24 ans,,,,,,,61
2019,Violence physique,,25 à 34 ans,,,,,,,78
2019,Violence physique,,35 à 44 ans,,,,,,,51
2019,Violence physique,,45 à 54 ans,,,,,,,47
2019,Violence physique,,55 à 64 ans,,,,,,,33
2019,Violence physique,,65 ans et plus,,,,,,,15
2019,Violence sexuelle,,15 à 24 ans,,,,,,,103
2019,Violence sexuelle,,25 à 34 ans,,,,,,,50
2019,Violence sexuelle,,35 à 44 ans,,,,,,,19
2019,Violence sexuelle,,45 à 54 ans,,,,,,,13
2019,Violence sexuelle,,55 à 64 ans,,,,,,,7
2019,Violence sexuelle,,65 ans et plus,,,,,,,2
2019,Violence physique,,,Hétérosexuel,,,,,,45
2019,Violence physique,,,Lesbienne ou gai,,,,,,57
2019,Violence physique,,,Bisexuel,,,,,,89
2019,Violence sexuelle,,,Hétérosexuel,,,,,,19
2019,Violence sexuelle,,,Lesbienne ou gai,,,,,,55
2019,Violence sexuelle,,,Bisexuel,,,,,,541
2019,Violence physique,,,,Personne autochtone,,,,,121
2019,Violence physique,,,,Premières Nations,,,,,63
2019,Violence physique,,,,Métis,,,,,181
2019,Violence physique,,,,Inuit,,,,,185
2019,Violence physique,,,,Personne non autochtone,,,,,44
2019,Violence sexuelle,,,,Personne autochtone,,,,,35
2019,Violence sexuelle,,,,Personne non autochtone,,,,,30
2019,Violence physique,,,,,Minorité visible,,,,30
2019,Violence physique,,,,,N’appartenant pas à une minorité visible,,,,51
2019,Violence sexuelle,,,,,Minorité visible,,,,30
2019,Violence sexuelle,,,,,N’appartenant pas à une minorité visible,,,,29
2019,Violence physique,,,,,,Personne ayant une incapacité,,,66
2019,Violence physique,,,,,,Personne n'ayant aucune incapacité,,,36
2019,Violence sexuelle,,,,,,Personne ayant une incapacité,,,60
2019,Violence sexuelle,,,,,,Personne n'ayant aucune incapacité,,,14
2019,Violence physique,,,,,,,Personne immigrante,,29
2019,Violence physique,,,,,,,Personne non immigrante,,52
2019,Violence sexuelle,,,,,,,Personne immigrante,,12
2019,Violence sexuelle,,,,,,,Personne non immigrante,,36
2019,Violence physique,,,,,,,,Marié ou vivant en union libre,40
2019,Violence physique,,,,,,,,"Séparé, divorcé ou veuf",46
2019,Violence physique,,,,,,,,"Célibataire, jamais marié",60
2019,Violence sexuelle,,,,,,,,Marié ou vivant en union libre,9
2019,Violence sexuelle,,,,,,,,"Séparé, divorcé ou veuf",15
2019,Violence sexuelle,,,,,,,,"Célibataire, jamais marié",81
