Year,Series,Type de victimisation,Value
1999,Violence physique,Voies de fait,37.0
1999,Violence physique,Vol qualifié,46.0
1999,Violence sexuelle,Agression sexuelle,
2004,Violence physique,Voies de fait,39.0
2004,Violence physique,Vol qualifié,46.0
2004,Violence sexuelle,Agression sexuelle,8.0
2009,Violence physique,Voies de fait,34.0
2009,Violence physique,Vol qualifié,43.0
2009,Violence sexuelle,Agression sexuelle,
2014,Violence physique,Voies de fait,38.0
2014,Violence physique,Vol qualifié,45.0
2014,Violence sexuelle,Agression sexuelle,5.0
2019,Violence physique,Voies de fait,36.0
2019,Violence physique,Vol qualifié,47.0
2019,Violence sexuelle,Agression sexuelle,6.0
