Year,Institutions,Certaines caractéristiques sociodémographiques,Minorité visible,COMMENT_OBS,Value
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Population totale,,55.2
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Population totale,,44.4
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Population totale,,51.5
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Population totale,,42.4
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Population totale,,54.5
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Population totale,,43.5
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Population totale,,59.8
2020,Confiance dans le Parlement fédéral,65 ans et plus,Population totale,,48.5
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Population totale,,56.9
2020,Confiance dans le Parlement fédéral,Hommes,Population totale,,44.0
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Population totale,,53.9
2020,Confiance dans le Parlement fédéral,Femmes,Population totale,,45.2
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Population totale,,68.6
2020,Confiance dans le Parlement fédéral,Immigrants,Population totale,,59.6
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Population totale,,49.8
2020,Confiance dans le Parlement fédéral,Non-immigrants,Population totale,,38.1
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Population totale,,69.3
2020,Confiance dans le Parlement fédéral,Première génération,Population totale,,60.3
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Population totale,,49.7
2020,Confiance dans le Parlement fédéral,Deuxième génération,Population totale,,39.4
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Population totale,,50.0
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Population totale,,37.9
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Population totale,,56.3
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Population totale,,44.5
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Population totale,,57.4
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Population totale,,48.7
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Population totale,,50.3
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Population totale,,40.8
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Population totale,,51.5
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Population totale,,39.9
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Population totale,,62.6
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Population totale,,51.2
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Total de la population des minorités visibles,,65.7
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Total de la population des minorités visibles,,58.7
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Total de la population des minorités visibles,,56.1
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Total de la population des minorités visibles,,44.8
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Total de la population des minorités visibles,,67.7
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Total de la population des minorités visibles,,61.6
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Total de la population des minorités visibles,,71.1
2020,Confiance dans le Parlement fédéral,65 ans et plus,Total de la population des minorités visibles,,65.7
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Total de la population des minorités visibles,,68.7
2020,Confiance dans le Parlement fédéral,Hommes,Total de la population des minorités visibles,,61.2
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Total de la population des minorités visibles,,63.0
2020,Confiance dans le Parlement fédéral,Femmes,Total de la population des minorités visibles,,56.5
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Total de la population des minorités visibles,,71.2
2020,Confiance dans le Parlement fédéral,Immigrants,Total de la population des minorités visibles,,63.0
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Total de la population des minorités visibles,,42.4
2020,Confiance dans le Parlement fédéral,Non-immigrants,Total de la population des minorités visibles,,38.5
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Total de la population des minorités visibles,,71.7
2020,Confiance dans le Parlement fédéral,Première génération,Total de la population des minorités visibles,,63.7
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Total de la population des minorités visibles,,44.2
2020,Confiance dans le Parlement fédéral,Deuxième génération,Total de la population des minorités visibles,,42.6
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Total de la population des minorités visibles,,
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Total de la population des minorités visibles,,
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Total de la population des minorités visibles,,67.2
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Total de la population des minorités visibles,,59.7
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Total de la population des minorités visibles,,68.0
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Total de la population des minorités visibles,,64.6
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Total de la population des minorités visibles,,60.3
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Total de la population des minorités visibles,,54.3
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Total de la population des minorités visibles,,63.2
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Total de la population des minorités visibles,,56.5
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Total de la population des minorités visibles,,69.8
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Total de la population des minorités visibles,,62.0
2020,Confiance dans le système de justice et dans les tribunaux,"Total, 15 ans et plus",Sud-Asiatique,,70.2
2020,Confiance dans le Parlement fédéral,"Total, 15 ans et plus",Sud-Asiatique,,65.0
2020,Confiance dans le système de justice et dans les tribunaux,15 à 24 ans,Sud-Asiatique,À utiliser avec prudence,60.8
2020,Confiance dans le Parlement fédéral,15 à 24 ans,Sud-Asiatique,À utiliser avec prudence,50.3
2020,Confiance dans le système de justice et dans les tribunaux,25 à 64 ans,Sud-Asiatique,,72.2
2020,Confiance dans le Parlement fédéral,25 à 64 ans,Sud-Asiatique,,68.2
2020,Confiance dans le système de justice et dans les tribunaux,65 ans et plus,Sud-Asiatique,,71.8
2020,Confiance dans le Parlement fédéral,65 ans et plus,Sud-Asiatique,,67.2
2020,Confiance dans le système de justice et dans les tribunaux,Hommes,Sud-Asiatique,,73.9
2020,Confiance dans le Parlement fédéral,Hommes,Sud-Asiatique,,70.4
2020,Confiance dans le système de justice et dans les tribunaux,Femmes,Sud-Asiatique,,66.2
2020,Confiance dans le Parlement fédéral,Femmes,Sud-Asiatique,,59.2
2020,Confiance dans le système de justice et dans les tribunaux,Immigrants,Sud-Asiatique,,77.2
2020,Confiance dans le Parlement fédéral,Immigrants,Sud-Asiatique,,70.8
2020,Confiance dans le système de justice et dans les tribunaux,Non-immigrants,Sud-Asiatique,À utiliser avec prudence,40.1
2020,Confiance dans le Parlement fédéral,Non-immigrants,Sud-Asiatique,À utiliser avec prudence,39.1
2020,Confiance dans le système de justice et dans les tribunaux,Première génération,Sud-Asiatique,,78.0
2020,Confiance dans le Parlement fédéral,Première génération,Sud-Asiatique,,71.8
2020,Confiance dans le système de justice et dans les tribunaux,Deuxième génération,Sud-Asiatique,À utiliser avec prudence,40.5
2020,Confiance dans le Parlement fédéral,Deuxième génération,Sud-Asiatique,À utiliser avec prudence,42.0
2020,Confiance dans le système de justice et dans les tribunaux,Troisième génération ou plus,Sud-Asiatique,,
2020,Confiance dans le Parlement fédéral,Troisième génération ou plus,Sud-Asiatique,,
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, anglais seulement",Sud-Asiatique,,72.8
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, anglais seulement",Sud-Asiatique,,67.7
2020,Confiance dans le système de justice et dans les tribunaux,"Première langue officielle parlée, français seulement",Sud-Asiatique,,
2020,Confiance dans le Parlement fédéral,"Première langue officielle parlée, français seulement",Sud-Asiatique,,
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Sud-Asiatique,,59.5
2020,Confiance dans le Parlement fédéral,Diplôme d'études secondaires ou attestation d'équivalence ou moins,Sud-Asiatique,,54.6
2020,Confiance dans le système de justice et dans les tribunaux,Diplôme ou certificat postsecondaire (non universitaire),Sud-Asiatique,À utiliser avec prudence,74.2
2020,Confiance dans le Parlement fédéral,Diplôme ou certificat postsecondaire (non universitaire),Sud-Asiatique,À utiliser avec prudence,73.3
2020,Confiance dans le système de justice et dans les tribunaux,Certificat ou diplôme universitaire,Sud-Asiatique,,74.7
2020,Confiance dans le Parlement fédéral,Certificat ou diplôme universitaire,Sud-Asiatique,,68.4
