Year,Indicateurs de discrimination,Series,Géographie,Genre,Groupe d'âge,Status d'immigrant,Minorité visible,Identité autochtone,Incapacité,LGBTQ2+,Plus haut niveau de scolarité,Activité principale,Région,GeoCode,Value
2024 Q1,,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,,,,,,,,,,,,,35.9
2024 Q2,,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,,,,,,,,,,,,,36.9
2024 Q3,,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,,,,,,,,,,,,,30.9
2024 Q4,,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,,,,,,,,,,,,,26.0
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,Canada,Total,15 à 24 ans,,,,,,,,,,43.6
2024 Q1,N'ont pas été victimes de discrimination,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,Canada,Total,15 à 24 ans,,,,,,,,,,56.4
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,Canada,Total,25 à 54 ans,,,,,,,,,,42.6
2024 Q1,N'ont pas été victimes de discrimination,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,Canada,Total,25 à 54 ans,,,,,,,,,,57.4
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,Canada,Total,25 à 34 ans,,,,,,,,,,47.9
2024 Q1,N'ont pas été victimes de discrimination,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,Canada,Total,25 à 34 ans,,,,,,,,,,52.1
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Proportion de la population déclarant avoir été victime de discrimination ou de traitement injuste,Canada,Total,35 à 44 ans,,,,,,,,,,41.0
