Year,Units,Pays bénéficiaire,Value
2015,APD en proportion du RNB (%),Total,0.27
2016,APD en proportion du RNB (%),Total,0.26
2017,APD en proportion du RNB (%),Total,0.27
2018,APD en proportion du RNB (%),Total,0.28
2019,APD en proportion du RNB (%),Total,0.27
2020,APD en proportion du RNB (%),Total,0.31
2021,APD en proportion du RNB (%),Total,0.32
2022,APD en proportion du RNB (%),Total,0.37
2023,APD en proportion du RNB (%),Total,0.38
2019,APD en proportion du RNB (%),Pays les moins avancés,0.09
2020,APD en proportion du RNB (%),Pays les moins avancés,0.09
2021,APD en proportion du RNB (%),Pays les moins avancés,0.09
2022,APD en proportion du RNB (%),Pays les moins avancés,0.1
