Year,Series,Value
2015,Investissements directs étrangers (IDE) entrants,30.27
2016,Investissements directs étrangers (IDE) entrants,31.83
2017,Investissements directs étrangers (IDE) entrants,34.38
2018,Investissements directs étrangers (IDE) entrants,35.95
2019,Investissements directs étrangers (IDE) entrants,42.62
2020,Investissements directs étrangers (IDE) entrants,43.2
2021,Investissements directs étrangers (IDE) entrants,46.39
2022,Investissements directs étrangers (IDE) entrants,45.43
2023,Investissements directs étrangers (IDE) entrants,47.53
2015,Aide publique au développement (APD),0.27
2016,Aide publique au développement (APD),0.26
2017,Aide publique au développement (APD),0.27
2018,Aide publique au développement (APD),0.28
2019,Aide publique au développement (APD),0.27
2020,Aide publique au développement (APD),0.31
2021,Aide publique au développement (APD),0.32
2022,Aide publique au développement (APD),0.37
2023,Aide publique au développement (APD),0.38
