Year,Niveau de sécurité alimentaire du ménage,Géographie,Sexe,Groupe d'âge,Type de famille économique,Minorité visible,Population autochtone,GeoCode,Value
2018,,,,,,,,,11.6
2019,,,,,,,,,10.8
2020,,,,,,,,,11.2
2021,,,,,,,,,12.9
2022,,,,,,,,,16.9
2020,Insécurité alimentaire,Yukon,,,,,,60,21.2
2020,Insécurité alimentaire,Territoires du Nord-Ouest,,,,,,61,20.4
2020,Insécurité alimentaire,Nunavut,,,,,,62,49.5
2021,Insécurité alimentaire,Yukon,,,,,,60,12.8
2021,Insécurité alimentaire,Territoires du Nord-Ouest,,,,,,61,22.2
2021,Insécurité alimentaire,Nunavut,,,,,,62,46.1
2022,Insécurité alimentaire,Yukon,,,,,,60,21.4
2022,Insécurité alimentaire,Territoires du Nord-Ouest,,,,,,61,27.6
2022,Insécurité alimentaire,Nunavut,,,,,,62,62.6
2020,Sécurité alimentaire,Yukon,,,,,,60,78.8
2020,Sécurité alimentaire,Territoires du Nord-Ouest,,,,,,61,79.6
2020,Sécurité alimentaire,Nunavut,,,,,,62,50.5
2021,Sécurité alimentaire,Yukon,,,,,,60,87.2
2021,Sécurité alimentaire,Territoires du Nord-Ouest,,,,,,61,77.8
2021,Sécurité alimentaire,Nunavut,,,,,,62,53.9
2022,Sécurité alimentaire,Yukon,,,,,,60,78.6
2022,Sécurité alimentaire,Territoires du Nord-Ouest,,,,,,61,72.4
2022,Sécurité alimentaire,Nunavut,,,,,,62,37.4
2018,Sécurité alimentaire,Canada,Les deux sexes,,Toutes les personnes,,,,83.2
2018,Insécurité alimentaire,Canada,Les deux sexes,,Toutes les personnes,,,,16.8
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Toutes les personnes,,,,5.2
2018,Insécurité alimentaire modérée,Canada,Les deux sexes,,Toutes les personnes,,,,8.0
2018,Insécurité alimentaire grave,Canada,Les deux sexes,,Toutes les personnes,,,,3.6
2018,Sécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,83.9
2018,Insécurité alimentaire,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,16.1
2018,Insécurité alimentaire marginale,Canada,Les deux sexes,,Personnes dans les familles économiques,,,,5.2
