Year,Sexe,Units,Value
2015,,Taux de mortalité pour 1 000 naissances vivantes,3.5
2016,,Taux de mortalité pour 1 000 naissances vivantes,3.4
2017,,Taux de mortalité pour 1 000 naissances vivantes,3.5
2018,,Taux de mortalité pour 1 000 naissances vivantes,3.6
2019,,Taux de mortalité pour 1 000 naissances vivantes,3.4
2020,,Taux de mortalité pour 1 000 naissances vivantes,3.5
2021,,Taux de mortalité pour 1 000 naissances vivantes,3.4
2022,,Taux de mortalité pour 1 000 naissances vivantes,3.6
2023,,Taux de mortalité pour 1 000 naissances vivantes,3.5
2024,,Taux de mortalité pour 1 000 naissances vivantes,3.3
2015,,Nombre de décès,1353.0
2016,,Nombre de décès,1297.0
2017,,Nombre de décès,1326.0
2018,,Nombre de décès,1333.0
2019,,Nombre de décès,1257.0
2020,,Nombre de décès,1267.0
2021,,Nombre de décès,1258.0
2022,,Nombre de décès,1278.0
2023,,Nombre de décès,1220.0
2024,,Nombre de décès,1210.0
2015,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.7
2015,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.4
2016,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.4
2016,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.3
2017,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.7
2017,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.3
2018,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.8
2018,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.3
2019,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.8
2019,Femmes,Taux de mortalité pour 1 000 naissances vivantes,2.9
2020,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.8
2020,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.1
2021,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.7
2021,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.0
2022,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.8
2022,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.4
2023,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.8
2023,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.2
2024,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.6
2024,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.0
2015,Hommes,Nombre de décès,722.0
2015,Femmes,Nombre de décès,631.0
2016,Hommes,Nombre de décès,672.0
2016,Femmes,Nombre de décès,625.0
2017,Hommes,Nombre de décès,724.0
2017,Femmes,Nombre de décès,602.0
2018,Hommes,Nombre de décès,732.0
2018,Femmes,Nombre de décès,601.0
2019,Hommes,Nombre de décès,727.0
2019,Femmes,Nombre de décès,530.0
2020,Hommes,Nombre de décès,715.0
2020,Femmes,Nombre de décès,552.0
2021,Hommes,Nombre de décès,705.0
2021,Femmes,Nombre de décès,553.0
2022,Hommes,Nombre de décès,700.0
2022,Femmes,Nombre de décès,578.0
2023,Hommes,Nombre de décès,677.0
2023,Femmes,Nombre de décès,543.0
2024,Hommes,Nombre de décès,677.0
2024,Femmes,Nombre de décès,533.0
