Year,Sexe,Value
2010,,4.66
2011,,4.72
2012,,4.9
2013,,4.71
2014,,4.56
2015,,4.6
2016,,4.88
2017,,5.01
2018,,4.85
2019,,5.11
2020,,4.65
2021,,4.94
2022,,5.06
2010,Femme,4.2
2011,Femme,4.27
2012,Femme,4.03
2013,Femme,4.23
2014,Femme,3.95
2015,Femme,4.3
2016,Femme,4.44
2017,Femme,4.41
2018,Femme,4.46
2019,Femme,4.48
2020,Femme,4.18
2021,Femme,4.44
2022,Femme,4.32
2010,Homme,5.13
2011,Homme,5.18
2012,Homme,5.78
2013,Homme,5.19
2014,Homme,5.17
2015,Homme,4.91
2016,Homme,5.33
2017,Homme,5.62
2018,Homme,5.24
2019,Homme,5.73
2020,Homme,5.12
2021,Homme,5.41
2022,Homme,5.8
