Year,Series,Sexe,Value
2010,Lèpre,,4
2011,Lèpre,,11
2012,Lèpre,,9
2013,Lèpre,,2
2014,Lèpre,,6
2015,Lèpre,,9
2016,Lèpre,,8
2017,Lèpre,,1
2018,Lèpre,,12
2019,Lèpre,,3
2020,Lèpre,,1
2021,Lèpre,,7
2022,Lèpre,,3
2010,Lèpre,Homme,2
2011,Lèpre,Homme,7
2012,Lèpre,Homme,7
2013,Lèpre,Homme,1
2014,Lèpre,Homme,5
2015,Lèpre,Homme,5
2016,Lèpre,Homme,6
2017,Lèpre,Homme,1
2018,Lèpre,Homme,10
2019,Lèpre,Homme,2
2020,Lèpre,Homme,1
2021,Lèpre,Homme,5
2022,Lèpre,Homme,2
2010,Lèpre,Femme,2
2011,Lèpre,Femme,3
2012,Lèpre,Femme,2
2013,Lèpre,Femme,1
2014,Lèpre,Femme,1
2015,Lèpre,Femme,4
2016,Lèpre,Femme,2
2017,Lèpre,Femme,0
2018,Lèpre,Femme,1
2019,Lèpre,Femme,1
2020,Lèpre,Femme,0
2021,Lèpre,Femme,2
2022,Lèpre,Femme,1
2010,Lèpre,Inconnu,0
2011,Lèpre,Inconnu,1
2012,Lèpre,Inconnu,0
2013,Lèpre,Inconnu,0
2014,Lèpre,Inconnu,0
2015,Lèpre,Inconnu,0
2016,Lèpre,Inconnu,0
2017,Lèpre,Inconnu,0
2018,Lèpre,Inconnu,1
2019,Lèpre,Inconnu,0
2020,Lèpre,Inconnu,0
2021,Lèpre,Inconnu,0
2022,Lèpre,Inconnu,0
2010,Rage,,0
2011,Rage,,0
2012,Rage,,1
2013,Rage,,0
2014,Rage,,0
2015,Rage,,0
2016,Rage,,0
2017,Rage,,0
2018,Rage,,0
2019,Rage,,1
2020,Rage,,0
2021,Rage,,0
2022,Rage,,0
2010,Rage,Homme,0
2011,Rage,Homme,0
2012,Rage,Homme,1
2013,Rage,Homme,0
2014,Rage,Homme,0
2015,Rage,Homme,0
2016,Rage,Homme,0
2017,Rage,Homme,0
2018,Rage,Homme,0
2019,Rage,Homme,1
2020,Rage,Homme,0
2021,Rage,Homme,0
2022,Rage,Homme,0
2010,Rage,Femme,0
2011,Rage,Femme,0
2012,Rage,Femme,0
2013,Rage,Femme,0
2014,Rage,Femme,0
2015,Rage,Femme,0
2016,Rage,Femme,0
2017,Rage,Femme,0
2018,Rage,Femme,0
2019,Rage,Femme,0
2020,Rage,Femme,0
2021,Rage,Femme,0
2022,Rage,Femme,0
