Year,Causes de décès,Âge au décès,Sexe,Value
2015,Tumeurs malignes,Tous les âges,Les deux sexes,215.9
2015,Diabète sucré,Tous les âges,Les deux sexes,20.1
2015,Maladies du coeur,Tous les âges,Les deux sexes,144.6
2015,Hypertension essentielle et néphropathie hypertensive,Tous les âges,Les deux sexes,4.2
2015,Maladies cérébrovasculaires,Tous les âges,Les deux sexes,38.7
2015,Athérosclérose,Tous les âges,Les deux sexes,1.6
2015,Anévrisme aortique et dissection,Tous les âges,Les deux sexes,4.2
2015,Maladies chroniques des voies respiratoires inférieures,Tous les âges,Les deux sexes,35.2
2015,Pneumoconioses et affections respiratoires dues à des agents chimiques,Tous les âges,Les deux sexes,0.3
2015,Pneumopathie due à des substances solides et liquides,Tous les âges,Les deux sexes,3.6
2015,Tumeurs malignes,Tous les âges,Hommes,228.3
2015,Diabète sucré,Tous les âges,Hommes,22.3
2015,Maladies du coeur,Tous les âges,Hommes,154.5
2015,Hypertension essentielle et néphropathie hypertensive,Tous les âges,Hommes,3.2
2015,Maladies cérébrovasculaires,Tous les âges,Hommes,32.6
2015,Athérosclérose,Tous les âges,Hommes,1.4
2015,Anévrisme aortique et dissection,Tous les âges,Hommes,5.0
2015,Maladies chroniques des voies respiratoires inférieures,Tous les âges,Hommes,35.2
2015,Pneumoconioses et affections respiratoires dues à des agents chimiques,Tous les âges,Hommes,0.6
2015,Pneumopathie due à des substances solides et liquides,Tous les âges,Hommes,4.1
2015,Tumeurs malignes,Tous les âges,Femmes,203.7
2015,Diabète sucré,Tous les âges,Femmes,17.9
2015,Maladies du coeur,Tous les âges,Femmes,134.9
2015,Hypertension essentielle et néphropathie hypertensive,Tous les âges,Femmes,5.2
2015,Maladies cérébrovasculaires,Tous les âges,Femmes,44.7
2015,Athérosclérose,Tous les âges,Femmes,1.8
2015,Anévrisme aortique et dissection,Tous les âges,Femmes,3.3
2015,Maladies chroniques des voies respiratoires inférieures,Tous les âges,Femmes,35.3
2015,Pneumoconioses et affections respiratoires dues à des agents chimiques,Tous les âges,Femmes,0.0
2015,Pneumopathie due à des substances solides et liquides,Tous les âges,Femmes,3.1
2015,Tumeurs malignes,1 à 14 ans,Les deux sexes,2.4
2015,Diabète sucré,1 à 14 ans,Les deux sexes,0.1
2015,Maladies du coeur,1 à 14 ans,Les deux sexes,0.3
2015,Hypertension essentielle et néphropathie hypertensive,1 à 14 ans,Les deux sexes,0.0
2015,Maladies cérébrovasculaires,1 à 14 ans,Les deux sexes,0.2
2015,Athérosclérose,1 à 14 ans,Les deux sexes,0.0
2015,Anévrisme aortique et dissection,1 à 14 ans,Les deux sexes,0.0
2015,Maladies chroniques des voies respiratoires inférieures,1 à 14 ans,Les deux sexes,0.2
2015,Pneumoconioses et affections respiratoires dues à des agents chimiques,1 à 14 ans,Les deux sexes,0.0
2015,Pneumopathie due à des substances solides et liquides,1 à 14 ans,Les deux sexes,0.1
2015,Tumeurs malignes,1 à 14 ans,Hommes,2.5
2015,Diabète sucré,1 à 14 ans,Hommes,0.1
2015,Maladies du coeur,1 à 14 ans,Hommes,0.5
2015,Hypertension essentielle et néphropathie hypertensive,1 à 14 ans,Hommes,0.0
2015,Maladies cérébrovasculaires,1 à 14 ans,Hommes,0.3
2015,Athérosclérose,1 à 14 ans,Hommes,0.0
2015,Anévrisme aortique et dissection,1 à 14 ans,Hommes,0.0
2015,Maladies chroniques des voies respiratoires inférieures,1 à 14 ans,Hommes,0.2
2015,Pneumoconioses et affections respiratoires dues à des agents chimiques,1 à 14 ans,Hommes,0.0
2015,Pneumopathie due à des substances solides et liquides,1 à 14 ans,Hommes,0.1
2015,Tumeurs malignes,1 à 14 ans,Femmes,2.3
2015,Diabète sucré,1 à 14 ans,Femmes,0.0
2015,Maladies du coeur,1 à 14 ans,Femmes,0.2
2015,Hypertension essentielle et néphropathie hypertensive,1 à 14 ans,Femmes,0.0
2015,Maladies cérébrovasculaires,1 à 14 ans,Femmes,0.2
2015,Athérosclérose,1 à 14 ans,Femmes,0.0
2015,Anévrisme aortique et dissection,1 à 14 ans,Femmes,0.0
2015,Maladies chroniques des voies respiratoires inférieures,1 à 14 ans,Femmes,0.2
2015,Pneumoconioses et affections respiratoires dues à des agents chimiques,1 à 14 ans,Femmes,0.0
2015,Pneumopathie due à des substances solides et liquides,1 à 14 ans,Femmes,0.0
2015,Tumeurs malignes,1 à 4 ans,Les deux sexes,2.1
2015,Diabète sucré,1 à 4 ans,Les deux sexes,0.0
2015,Maladies du coeur,1 à 4 ans,Les deux sexes,0.6
2015,Hypertension essentielle et néphropathie hypertensive,1 à 4 ans,Les deux sexes,0.0
2015,Maladies cérébrovasculaires,1 à 4 ans,Les deux sexes,0.1
2015,Athérosclérose,1 à 4 ans,Les deux sexes,0.0
2015,Anévrisme aortique et dissection,1 à 4 ans,Les deux sexes,0.0
2015,Maladies chroniques des voies respiratoires inférieures,1 à 4 ans,Les deux sexes,0.0
2015,Pneumoconioses et affections respiratoires dues à des agents chimiques,1 à 4 ans,Les deux sexes,0.0
2015,Pneumopathie due à des substances solides et liquides,1 à 4 ans,Les deux sexes,0.1
2015,Tumeurs malignes,1 à 4 ans,Hommes,2.1
2015,Diabète sucré,1 à 4 ans,Hommes,0.0
2015,Maladies du coeur,1 à 4 ans,Hommes,0.9
2015,Hypertension essentielle et néphropathie hypertensive,1 à 4 ans,Hommes,0.0
2015,Maladies cérébrovasculaires,1 à 4 ans,Hommes,0.3
2015,Athérosclérose,1 à 4 ans,Hommes,0.0
2015,Anévrisme aortique et dissection,1 à 4 ans,Hommes,0.0
2015,Maladies chroniques des voies respiratoires inférieures,1 à 4 ans,Hommes,0.0
2015,Pneumoconioses et affections respiratoires dues à des agents chimiques,1 à 4 ans,Hommes,0.0
2015,Pneumopathie due à des substances solides et liquides,1 à 4 ans,Hommes,0.1
2015,Tumeurs malignes,1 à 4 ans,Femmes,2.0
2015,Diabète sucré,1 à 4 ans,Femmes,0.0
2015,Maladies du coeur,1 à 4 ans,Femmes,0.4
