Year,Géographie,Sexe,GeoCode,Value
2015,,,,12.3
2016,,,,11.0
2017,,,,12.2
2018,,,,12.4
2019,,,,12.3
2020,,,,11.3
2021,,,,10.3
2022,,,,10.8
2023,,,,9.5
2015,Canada,Hommes,,18.4
2015,Canada,Femmes,,6.3
2015,Terre-Neuve-et-Labrador,Les deux sexes,10,11.9
2015,Terre-Neuve-et-Labrador,Hommes,10,19.2
2015,Terre-Neuve-et-Labrador,Femmes,10,4.8
2015,Île-du-Prince-Édouard,Les deux sexes,11,5.4
2015,Île-du-Prince-Édouard,Hommes,11,7.0
2015,Île-du-Prince-Édouard,Femmes,11,4.0
2015,Nouvelle-Écosse,Les deux sexes,12,13.4
2015,Nouvelle-Écosse,Hommes,12,22.5
2015,Nouvelle-Écosse,Femmes,12,4.6
2015,Nouveau-Brunswick,Les deux sexes,13,16.7
2015,Nouveau-Brunswick,Hommes,13,26.6
2015,Nouveau-Brunswick,Femmes,13,7.1
2015,Québec,Les deux sexes,24,13.9
2015,Québec,Hommes,24,20.7
2015,Québec,Femmes,24,7.2
2015,Ontario,Les deux sexes,35,9.8
2015,Ontario,Hommes,35,14.3
2015,Ontario,Femmes,35,5.4
2015,Manitoba,Les deux sexes,46,13.8
2015,Manitoba,Hommes,46,18.5
2015,Manitoba,Femmes,46,9.2
2015,Saskatchewan,Les deux sexes,47,14.1
2015,Saskatchewan,Hommes,47,22.6
2015,Saskatchewan,Femmes,47,5.3
2015,Alberta,Les deux sexes,48,15.8
2015,Alberta,Hommes,48,22.9
2015,Alberta,Femmes,48,8.4
2015,Colombie-Britannique,Les deux sexes,59,11.6
2015,Colombie-Britannique,Hommes,59,18.1
2015,Colombie-Britannique,Femmes,59,5.2
2015,Yukon,Les deux sexes,60,13.4
2015,Yukon,Hommes,60,26.4
2015,Yukon,Femmes,60,0.0
2015,Territoires du Nord-Ouest,Les deux sexes,61,20.4
2015,Territoires du Nord-Ouest,Hommes,61,39.9
2015,Territoires du Nord-Ouest,Femmes,61,0.0
2015,Nunavut,Les deux sexes,62,79.2
2015,Nunavut,Hommes,62,132.0
2015,Nunavut,Femmes,62,22.6
2016,Canada,Hommes,,16.3
2016,Canada,Femmes,,5.7
2016,Terre-Neuve-et-Labrador,Les deux sexes,10,13.8
2016,Terre-Neuve-et-Labrador,Hommes,10,21.0
2016,Terre-Neuve-et-Labrador,Femmes,10,6.7
2016,Île-du-Prince-Édouard,Les deux sexes,11,6.7
2016,Île-du-Prince-Édouard,Hommes,11,12.3
2016,Île-du-Prince-Édouard,Femmes,11,1.3
2016,Nouvelle-Écosse,Les deux sexes,12,13.2
2016,Nouvelle-Écosse,Hommes,12,20.9
2016,Nouvelle-Écosse,Femmes,12,5.8
2016,Nouveau-Brunswick,Les deux sexes,13,15.8
2016,Nouveau-Brunswick,Hommes,13,25.4
2016,Nouveau-Brunswick,Femmes,13,6.5
2016,Québec,Les deux sexes,24,9.4
2016,Québec,Hommes,24,14.4
2016,Québec,Femmes,24,4.4
2016,Ontario,Les deux sexes,35,9.8
2016,Ontario,Hommes,35,14.4
2016,Ontario,Femmes,35,5.3
2016,Manitoba,Les deux sexes,46,15.2
2016,Manitoba,Hommes,46,21.5
2016,Manitoba,Femmes,46,8.9
2016,Saskatchewan,Les deux sexes,47,15.7
2016,Saskatchewan,Hommes,47,21.9
2016,Saskatchewan,Femmes,47,9.3
2016,Alberta,Les deux sexes,48,13.9
2016,Alberta,Hommes,48,20.3
2016,Alberta,Femmes,48,7.4
2016,Colombie-Britannique,Les deux sexes,59,10.1
2016,Colombie-Britannique,Hommes,59,15.2
2016,Colombie-Britannique,Femmes,59,5.1
2016,Yukon,Les deux sexes,60,18.4
2016,Yukon,Hommes,60,25.8
2016,Yukon,Femmes,60,10.7
2016,Territoires du Nord-Ouest,Les deux sexes,61,26.9
2016,Territoires du Nord-Ouest,Hommes,61,35.0
