Year,Âge,Sexe,Value
2015,,,5.8
2016,,,5.4
2017,,,5.5
2018,,,5.7
2019,,,5.1
2020,,,4.8
2021,,,4.7
2022,,,5.1
2023,,,4.4
2015,Tous les âges,Hommes,8.4
2015,Tous les âges,Femmes,3.2
2015,Moins d'un an,Les deux sexes,1.6
2015,Moins d'un an,Hommes,1.0
2015,Moins d'un an,Femmes,2.1
2015,1 à 4 ans,Les deux sexes,1.6
2015,1 à 4 ans,Hommes,1.8
2015,1 à 4 ans,Femmes,1.3
2015,5 à 9 ans,Les deux sexes,0.8
2015,5 à 9 ans,Hommes,1.3
2015,5 à 9 ans,Femmes,0.3
2015,10 à 14 ans,Les deux sexes,1.1
2015,10 à 14 ans,Hommes,1.0
2015,10 à 14 ans,Femmes,1.1
2015,15 à 19 ans,Les deux sexes,7.2
2015,15 à 19 ans,Hommes,9.8
2015,15 à 19 ans,Femmes,4.4
2015,20 à 24 ans,Les deux sexes,8.9
2015,20 à 24 ans,Hommes,13.2
2015,20 à 24 ans,Femmes,4.4
2015,25 à 29 ans,Les deux sexes,7.1
2015,25 à 29 ans,Hommes,11.4
2015,25 à 29 ans,Femmes,2.9
2015,30 à 34 ans,Les deux sexes,5.4
2015,30 à 34 ans,Hommes,8.3
2015,30 à 34 ans,Femmes,2.5
2015,35 à 39 ans,Les deux sexes,4.1
2015,35 à 39 ans,Hommes,5.8
2015,35 à 39 ans,Femmes,2.3
2015,40 à 44 ans,Les deux sexes,5.2
2015,40 à 44 ans,Hommes,8.0
2015,40 à 44 ans,Femmes,2.5
2015,45 à 49 ans,Les deux sexes,5.7
2015,45 à 49 ans,Hommes,7.9
2015,45 à 49 ans,Femmes,3.5
2015,50 à 54 ans,Les deux sexes,5.7
2015,50 à 54 ans,Hommes,9.1
2015,50 à 54 ans,Femmes,2.3
2015,55 à 59 ans,Les deux sexes,6.7
2015,55 à 59 ans,Hommes,11.0
2015,55 à 59 ans,Femmes,2.5
2015,60 à 64 ans,Les deux sexes,5.7
2015,60 à 64 ans,Hommes,8.7
2015,60 à 64 ans,Femmes,2.7
2015,65 à 69 ans,Les deux sexes,5.4
2015,65 à 69 ans,Hommes,7.0
2015,65 à 69 ans,Femmes,4.0
