Year,État matrimonial,Value
2000,,90.7
2001,,90.8
2002,,90.9
2003,,91.2
2004,,91.5
2005,,91.8
2006,,92.1
2007,,92.1
2008,,92.2
2009,,92.2
2010,,92.3
2011,,92.3
2012,,92.3
2013,,92.3
2014,,92.4
2015,,92.3
2016,,92.4
2017,,92.4
2018,,92.4
2019,,92.4
2020,,92.4
2021,,92.4
2022,,92.4
2023,,92.4
2024,,92.4
2000,Marié ou en union,89.8
2001,Marié ou en union,89.9
2002,Marié ou en union,90.1
2003,Marié ou en union,90.5
2004,Marié ou en union,91.0
2005,Marié ou en union,91.5
2006,Marié ou en union,91.9
2007,Marié ou en union,92.1
2008,Marié ou en union,92.2
2009,Marié ou en union,92.2
2010,Marié ou en union,92.3
2011,Marié ou en union,92.3
2012,Marié ou en union,92.3
2013,Marié ou en union,92.4
2014,Marié ou en union,92.4
2015,Marié ou en union,92.4
2016,Marié ou en union,92.4
2017,Marié ou en union,92.4
2018,Marié ou en union,92.4
2019,Marié ou en union,92.4
2020,Marié ou en union,92.4
2021,Marié ou en union,92.4
2022,Marié ou en union,92.4
2023,Marié ou en union,92.4
2024,Marié ou en union,92.4
2000,Célibataire,92.2
2001,Célibataire,92.2
2002,Célibataire,92.2
2003,Célibataire,92.3
2004,Célibataire,92.2
2005,Célibataire,92.3
2006,Célibataire,92.4
2007,Célibataire,92.2
2008,Célibataire,92.2
2009,Célibataire,92.2
2010,Célibataire,92.3
2011,Célibataire,92.4
2012,Célibataire,92.3
2013,Célibataire,92.3
2014,Célibataire,92.4
2015,Célibataire,92.3
2016,Célibataire,92.5
2017,Célibataire,92.4
2018,Célibataire,92.4
2019,Célibataire,92.3
2020,Célibataire,92.3
2021,Célibataire,92.4
2022,Célibataire,92.6
2023,Célibataire,92.4
2024,Célibataire,92.4
