Year,Type de maladie,Value
2015,"Affections aiguës des voies respiratoires supérieures
",21.89
2016,"Affections aiguës des voies respiratoires supérieures
",17.7
2017,"Affections aiguës des voies respiratoires supérieures
",20.83
2018,"Affections aiguës des voies respiratoires supérieures
",23.76
2019,"Affections aiguës des voies respiratoires supérieures
",18.8
2020,"Affections aiguës des voies respiratoires supérieures
",16.19
2021,"Affections aiguës des voies respiratoires supérieures
",10.96
2022,"Affections aiguës des voies respiratoires supérieures
",16.02
2023,"Affections aiguës des voies respiratoires supérieures
",16.16
2015,Diarrhée,3.06
2016,Diarrhée,2.63
2017,Diarrhée,2.48
2018,Diarrhée,2.38
2019,Diarrhée,2.15
2020,Diarrhée,2.07
2021,Diarrhée,1.72
2022,Diarrhée,2.03
2023,Diarrhée,2.4
2015,Infections intestinales à nématodes,0.0
2016,Infections intestinales à nématodes,0.0
2017,Infections intestinales à nématodes,0.0
2018,Infections intestinales à nématodes,0.0
2019,Infections intestinales à nématodes,0.0
2020,Infections intestinales à nématodes,0.0
2021,Infections intestinales à nématodes,0.0
2022,Infections intestinales à nématodes,0.0
2023,Infections intestinales à nématodes,0.0
2015,Malnutrition protéino-énergétique,0.54
2016,Malnutrition protéino-énergétique,0.46
2017,Malnutrition protéino-énergétique,0.54
2018,Malnutrition protéino-énergétique,0.58
2019,Malnutrition protéino-énergétique,0.51
2020,Malnutrition protéino-énergétique,0.61
2021,Malnutrition protéino-énergétique,0.63
2022,Malnutrition protéino-énergétique,0.77
2023,Malnutrition protéino-énergétique,0.64
