Year,Type de profession,Géographie,Series,Units,Sexe,GeoCode,Value
2021,Médecins,Canada,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,,19.42867788
2021,Médecins,Terre-Neuve-et-Labrador,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,10,0.244509238
2021,Médecins,Île-du-Prince-Édouard,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,11,0.064069266
2021,Médecins,Nouvelle-Écosse,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,12,0.503401372
2021,Médecins,Nouveau-Brunswick,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,13,0.356957336
2021,Médecins,Québec,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,24,4.88887722
2021,Médecins,Ontario,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,35,7.34312235
2021,Médecins,Manitoba,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,46,0.600159038
2021,Médecins,Saskatchewan,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,47,0.502093836
2021,Médecins,Alberta,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,48,2.197968068
2021,Médecins,Colombie-Britannique,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,59,2.693524224
2021,Médecins,Yukon,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,60,0.01307536
2021,Médecins,Territoires du Nord-Ouest,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,61,0.01307536
2021,Médecins,Nunavut,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,62,0.003922608
2021,Personnel infirmier et sages-femmes,Canada,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,,93.11356337
2021,Personnel infirmier et sages-femmes,Terre-Neuve-et-Labrador,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,10,1.640957719
2021,Personnel infirmier et sages-femmes,Île-du-Prince-Édouard,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,11,0.489018476
2021,Personnel infirmier et sages-femmes,Nouvelle-Écosse,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,12,3.032176056
2021,Personnel infirmier et sages-femmes,Nouveau-Brunswick,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,13,2.230656469
2021,Personnel infirmier et sages-femmes,Québec,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,24,20.02229924
2021,Personnel infirmier et sages-femmes,Ontario,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,35,33.67166787
2021,Personnel infirmier et sages-femmes,Manitoba,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,46,3.870306652
2021,Personnel infirmier et sages-femmes,Saskatchewan,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,47,3.500273955
2021,Personnel infirmier et sages-femmes,Alberta,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,48,11.69852487
2021,Personnel infirmier et sages-femmes,Colombie-Britannique,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,59,12.68571457
2021,Personnel infirmier et sages-femmes,Yukon,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,60,0.109833027
2021,Personnel infirmier et sages-femmes,Territoires du Nord-Ouest,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,61,0.116370707
2021,Personnel infirmier et sages-femmes,Nunavut,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,62,0.041841153
2021,Dentistes,Canada,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,,6.42392452
2021,Dentistes,Terre-Neuve-et-Labrador,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,10,0.06929941
2021,Dentistes,Île-du-Prince-Édouard,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,11,0.015690432
2021,Dentistes,Nouvelle-Écosse,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,12,0.155596788
2021,Dentistes,Nouveau-Brunswick,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,13,0.087604914
2021,Dentistes,Québec,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,24,1.24869691
2021,Dentistes,Ontario,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,35,2.757593489
2021,Dentistes,Manitoba,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,46,0.169979684
2021,Dentistes,Saskatchewan,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,47,0.139906355
2021,Dentistes,Alberta,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,48,0.740065394
2021,Dentistes,Colombie-Britannique,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,59,1.02772332
2021,Dentistes,Yukon,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,60,0.00653768
2021,Dentistes,Territoires du Nord-Ouest,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,61,0.003922608
2021,Dentistes,Nunavut,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,62,0.0
2021,Pharmaciens,Canada,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,,11.73121327
2021,Pharmaciens,Terre-Neuve-et-Labrador,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,10,0.179132436
2021,Pharmaciens,Île-du-Prince-Édouard,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,11,0.047071297
2021,Pharmaciens,Nouvelle-Écosse,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,12,0.325576472
2021,Pharmaciens,Nouveau-Brunswick,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,13,0.278505175
2021,Pharmaciens,Québec,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,24,2.588921341
2021,Pharmaciens,Ontario,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,35,4.253414709
2021,Pharmaciens,Manitoba,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,46,0.440639642
2021,Pharmaciens,Saskatchewan,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,47,0.432794426
2021,Pharmaciens,Alberta,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,48,1.512819188
2021,Pharmaciens,Colombie-Britannique,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,59,1.647495399
2021,Pharmaciens,Yukon,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,60,0.01307536
2021,Pharmaciens,Territoires du Nord-Ouest,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,61,0.009152752
2021,Pharmaciens,Nunavut,"Densité du personnel de santé, par type de profession (pour 10 000 habitants)",Taux pour 10 000 personnes,,62,0.002615072
2021,Médecins,Canada,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,,52.60111717
2021,Médecins,Terre-Neuve-et-Labrador,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,10,51.87165775
2021,Médecins,Île-du-Prince-Édouard,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,11,53.06122449
2021,Médecins,Nouvelle-Écosse,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,12,55.84415584
2021,Médecins,Nouveau-Brunswick,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,13,50.91575092
2021,Médecins,Québec,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,24,45.94811447
2021,Médecins,Ontario,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,35,54.04202279
2021,Médecins,Manitoba,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,46,58.82352941
2021,Médecins,Saskatchewan,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,47,57.8125
2021,Médecins,Alberta,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,48,53.53955979
2021,Médecins,Colombie-Britannique,"Répartition du personnel de santé, par sexe et par type de profession",Pourcentage (%),Homme,59,57.57281553
