Year,Series,Units,Sexe,Value
2016,Enfants de 4e année atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Total,95.74
2016,Enfants de 4e année atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Homme,95.27
2016,Enfants de 4e année atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Femme,96.32
2015,Enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Total,92.3
2019,Enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Total,92.0
2019,Enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Homme,94.0
2019,Enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Femme,91.0
2023,Enfants de 4e année atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Total,90.0
2015,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Total,89.32
2015,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Femme,92.48
2015,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Homme,86.14
2018,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Total,86.25
2018,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Femme,90.39
2018,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Homme,82.17
2022,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Total,81.85
2022,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Femme,85.59
2022,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en lecture,Pourcentage (%),Homme,78.24
2015,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Total,85.64
2015,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Femme,85.3
2015,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Homme,85.97
2018,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Total,83.74
2018,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Femme,83.88
2018,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Homme,83.6
2022,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Total,78.37
2022,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Femme,78.03
2022,Jeunes âgés de 15 ans atteignant au moins un niveau minimum de compétence en mathématiques,Pourcentage (%),Homme,78.73
