Year,Activité liée à des compétences numériques,Groupe d'âge,Plus haut niveau de scolarité,Value
2018,Copié ou déplacé des fichiers ou des dossiers numériques,"Total, tous les utilisateurs d'Internet âgés de 15 ans et plus","Total, plus haut certificat, diplôme ou grade obtenu",66.2
2018,Copié ou déplacé des fichiers ou des dossiers numériques,"Total, tous les utilisateurs d'Internet âgés de 15 ans et plus",Un diplôme d'études secondaires ou moins,52.7
2018,Copié ou déplacé des fichiers ou des dossiers numériques,"Total, tous les utilisateurs d'Internet âgés de 15 ans et plus","Un diplôme d'un collège ou d'une école de métiers, ou études universitaires partielles",63.8
2018,Copié ou déplacé des fichiers ou des dossiers numériques,"Total, tous les utilisateurs d'Internet âgés de 15 ans et plus",Un baccalauréat ou diplôme supérieur,81.2
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 15 ans à 24 ans,"Total, plus haut certificat, diplôme ou grade obtenu",76.1
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 15 ans à 24 ans,Un diplôme d'études secondaires ou moins,72.5
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 15 ans à 24 ans,"Un diplôme d'un collège ou d'une école de métiers, ou études universitaires partielles",82.2
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 15 ans à 24 ans,Un baccalauréat ou diplôme supérieur,84.4
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 25 ans à 44 ans,"Total, plus haut certificat, diplôme ou grade obtenu",78.0
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 25 ans à 44 ans,Un diplôme d'études secondaires ou moins,59.1
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 25 ans à 44 ans,"Un diplôme d'un collège ou d'une école de métiers, ou études universitaires partielles",75.4
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 25 ans à 44 ans,Un baccalauréat ou diplôme supérieur,88.6
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 45 ans à 64 ans,"Total, plus haut certificat, diplôme ou grade obtenu",61.4
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 45 ans à 64 ans,Un diplôme d'études secondaires ou moins,41.8
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 45 ans à 64 ans,"Un diplôme d'un collège ou d'une école de métiers, ou études universitaires partielles",58.8
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 45 ans à 64 ans,Un baccalauréat ou diplôme supérieur,79.7
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 65 ans et plus,"Total, plus haut certificat, diplôme ou grade obtenu",41.2
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 65 ans et plus,Un diplôme d'études secondaires ou moins,27.2
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 65 ans et plus,"Un diplôme d'un collège ou d'une école de métiers, ou études universitaires partielles",40.5
2018,Copié ou déplacé des fichiers ou des dossiers numériques,Utilisateurs d'Internet âgés de 65 ans et plus,Un baccalauréat ou diplôme supérieur,59.3
2018,Utilisé un logiciel de traitement de texte,"Total, tous les utilisateurs d'Internet âgés de 15 ans et plus","Total, plus haut certificat, diplôme ou grade obtenu",69.0
2018,Utilisé un logiciel de traitement de texte,"Total, tous les utilisateurs d'Internet âgés de 15 ans et plus",Un diplôme d'études secondaires ou moins,54.4
2018,Utilisé un logiciel de traitement de texte,"Total, tous les utilisateurs d'Internet âgés de 15 ans et plus","Un diplôme d'un collège ou d'une école de métiers, ou études universitaires partielles",65.7
2018,Utilisé un logiciel de traitement de texte,"Total, tous les utilisateurs d'Internet âgés de 15 ans et plus",Un baccalauréat ou diplôme supérieur,86.0
2018,Utilisé un logiciel de traitement de texte,Utilisateurs d'Internet âgés de 15 ans à 24 ans,"Total, plus haut certificat, diplôme ou grade obtenu",84.3
2018,Utilisé un logiciel de traitement de texte,Utilisateurs d'Internet âgés de 15 ans à 24 ans,Un diplôme d'études secondaires ou moins,82.7
2018,Utilisé un logiciel de traitement de texte,Utilisateurs d'Internet âgés de 15 ans à 24 ans,"Un diplôme d'un collège ou d'une école de métiers, ou études universitaires partielles",84.7
2018,Utilisé un logiciel de traitement de texte,Utilisateurs d'Internet âgés de 15 ans à 24 ans,Un baccalauréat ou diplôme supérieur,93.6
