Year,Type de violence entre partenaires intimes,Caractéristiques sélectionnées,Value
2018,"Violence psychologique, émotionnelle ou exploitation financière","Total, toutes les femmes",11.9
2018,Violence physique,"Total, toutes les femmes",2.4
2018,Violence sexuelle,"Total, toutes les femmes",1.2
2018,Total de tous les types de violence,"Total, toutes les femmes",12.1
2018,Total de tous les types de violence,Femmes de 15 à 24 ans,29.0
2018,Total de tous les types de violence,Femmes séparées ou divorcées,20.0
2018,Total de tous les types de violence,Femmes LGBTQ2,20.0
2018,Total de tous les types de violence,Femmes célibataires,19.0
2018,Total de tous les types de violence,"Femmes des Premières Nations, métisses ou inuites",17.0
2018,Total de tous les types de violence,Femmes ayant une incapacité,16.0
2018,Total de tous les types de violence,Femmes immigrantes,10.0
2018,Total de tous les types de violence,Femmes désignées comme minorités visibles,9.0
