Year,État matrimonial,Groupe d'âge,Géographie,GeoCode,Value
1996,Marié ou vivant en union libre,15 à 19 ans,Alberta,48,4.64
1996,Marié ou vivant en union libre,20 à 24 ans,Alberta,48,33.7
1996,Marié,15 à 19 ans,Alberta,48,1.1
1996,Marié,20 à 24 ans,Alberta,48,18.26
1996,Vivant en union libre,15 à 19 ans,Alberta,48,3.54
1996,Vivant en union libre,20 à 24 ans,Alberta,48,15.44
1996,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,59,3.39
1996,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,59,27.99
1996,Marié,15 à 19 ans,Colombie-Britannique,59,0.87
1996,Marié,20 à 24 ans,Colombie-Britannique,59,15.07
1996,Vivant en union libre,15 à 19 ans,Colombie-Britannique,59,2.51
1996,Vivant en union libre,20 à 24 ans,Colombie-Britannique,59,12.92
1996,Marié ou vivant en union libre,15 à 19 ans,Canada,,3.41
1996,Marié ou vivant en union libre,20 à 24 ans,Canada,,27.77
1996,Marié,15 à 19 ans,Canada,,0.78
1996,Marié,20 à 24 ans,Canada,,13.18
1996,Vivant en union libre,15 à 19 ans,Canada,,2.64
1996,Vivant en union libre,20 à 24 ans,Canada,,14.6
1996,Marié ou vivant en union libre,15 à 19 ans,Manitoba,46,4.26
1996,Marié ou vivant en union libre,20 à 24 ans,Manitoba,46,30.53
1996,Marié,15 à 19 ans,Manitoba,46,1.12
1996,Marié,20 à 24 ans,Manitoba,46,16.96
1996,Vivant en union libre,15 à 19 ans,Manitoba,46,3.14
1996,Vivant en union libre,20 à 24 ans,Manitoba,46,13.57
1996,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,3.66
1996,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,31.38
1996,Marié,15 à 19 ans,Nouveau-Brunswick,13,0.69
1996,Marié,20 à 24 ans,Nouveau-Brunswick,13,13.42
1996,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,2.97
1996,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,17.96
1996,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,2.16
1996,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,24.37
1996,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,10,0.42
1996,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,10,10.93
1996,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.76
1996,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,13.44
1996,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,11.15
1996,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,45.45
