Year,Gouvernement,Élus,Géographie,Progress,GeoCode,Value
2015,National,Parlement national,Canada,74.7,,25.3
2016,National,Parlement national,Canada,73.9,,26.1
2017,National,Parlement national,Canada,72.8,,27.2
2018,National,Parlement national,Canada,73.0,,27.0
2019,National,Parlement national,Canada,72.8,,27.2
2020,National,Parlement national,Canada,71.0,,29.0
2021,National,Parlement national,Canada,70.6,,29.4
2022,National,Parlement national,Canada,69.4,,30.6
2023,National,Parlement national,Canada,69.4,,30.6
2015,National,Cabinet fédéral,Canada,69.2,,30.8
2016,National,Cabinet fédéral,Canada,50.0,,50.0
2017,National,Cabinet fédéral,Canada,50.0,,50.0
2022,National,Cabinet fédéral,Canada,51.3,,48.7
2023,National,Cabinet fédéral,Canada,51.3,,48.7
2015,National,Parlement national,Terre-Neuve-et-Labrador,71.4,10,28.6
2016,National,Parlement national,Terre-Neuve-et-Labrador,57.1,10,42.9
2017,National,Parlement national,Terre-Neuve-et-Labrador,57.1,10,42.9
2018,National,Parlement national,Terre-Neuve-et-Labrador,71.4,10,28.6
2019,National,Parlement national,Terre-Neuve-et-Labrador,71.4,10,28.6
2020,National,Parlement national,Terre-Neuve-et-Labrador,71.4,10,28.6
2021,National,Parlement national,Terre-Neuve-et-Labrador,71.4,10,28.6
2022,National,Parlement national,Terre-Neuve-et-Labrador,57.1,10,42.9
2023,National,Parlement national,Terre-Neuve-et-Labrador,57.1,10,42.9
2015,National,Cabinet fédéral,Terre-Neuve-et-Labrador,100.0,10,0.0
2016,National,Cabinet fédéral,Terre-Neuve-et-Labrador,100.0,10,100.0
2017,National,Cabinet fédéral,Terre-Neuve-et-Labrador,100.0,10,100.0
2022,National,Cabinet fédéral,Terre-Neuve-et-Labrador,50.0,10,50.0
2023,National,Cabinet fédéral,Terre-Neuve-et-Labrador,50.0,10,50.0
2015,National,Parlement national,Île-du-Prince-Édouard,75.0,11,25.0
2016,National,Parlement national,Île-du-Prince-Édouard,100.0,11,0.0
2017,National,Parlement national,Île-du-Prince-Édouard,100.0,11,0.0
2018,National,Parlement national,Île-du-Prince-Édouard,100.0,11,0.0
2019,National,Parlement national,Île-du-Prince-Édouard,100.0,11,0.0
2020,National,Parlement national,Île-du-Prince-Édouard,100.0,11,0.0
2021,National,Parlement national,Île-du-Prince-Édouard,100.0,11,0.0
2022,National,Parlement national,Île-du-Prince-Édouard,100.0,11,0.0
2023,National,Parlement national,Île-du-Prince-Édouard,100.0,11,0.0
2015,National,Cabinet fédéral,Île-du-Prince-Édouard,100.0,11,100.0
2016,National,Cabinet fédéral,Île-du-Prince-Édouard,100.0,11,0.0
2017,National,Cabinet fédéral,Île-du-Prince-Édouard,100.0,11,0.0
2022,National,Cabinet fédéral,Île-du-Prince-Édouard,100.0,11,0.0
2023,National,Cabinet fédéral,Île-du-Prince-Édouard,100.0,11,0.0
2015,National,Parlement national,Nouvelle-Écosse,90.9,12,9.1
2016,National,Parlement national,Nouvelle-Écosse,90.9,12,9.1
2017,National,Parlement national,Nouvelle-Écosse,90.9,12,9.1
2018,National,Parlement national,Nouvelle-Écosse,90.9,12,9.1
2019,National,Parlement national,Nouvelle-Écosse,90.0,12,10.0
2020,National,Parlement national,Nouvelle-Écosse,81.8,12,18.2
2021,National,Parlement national,Nouvelle-Écosse,81.8,12,18.2
2022,National,Parlement national,Nouvelle-Écosse,90.9,12,9.1
2023,National,Parlement national,Nouvelle-Écosse,90.9,12,9.1
2015,National,Cabinet fédéral,Nouvelle-Écosse,100.0,12,0.0
2016,National,Cabinet fédéral,Nouvelle-Écosse,100.0,12,0.0
2017,National,Cabinet fédéral,Nouvelle-Écosse,100.0,12,0.0
2022,National,Cabinet fédéral,Nouvelle-Écosse,100.0,12,0.0
2023,National,Cabinet fédéral,Nouvelle-Écosse,100.0,12,0.0
2015,National,Parlement national,Nouveau-Brunswick,90.0,13,10.0
2016,National,Parlement national,Nouveau-Brunswick,70.0,13,30.0
2017,National,Parlement national,Nouveau-Brunswick,70.0,13,30.0
2018,National,Parlement national,Nouveau-Brunswick,70.0,13,30.0
2019,National,Parlement national,Nouveau-Brunswick,70.0,13,30.0
2020,National,Parlement national,Nouveau-Brunswick,80.0,13,20.0
2021,National,Parlement national,Nouveau-Brunswick,80.0,13,20.0
2022,National,Parlement national,Nouveau-Brunswick,80.0,13,20.0
2023,National,Parlement national,Nouveau-Brunswick,80.0,13,20.0
2015,National,Cabinet fédéral,Nouveau-Brunswick,100.0,13,0.0
2016,National,Cabinet fédéral,Nouveau-Brunswick,100.0,13,0.0
