Year,Occupation,Géographie,GeoCode,Value
2015,,,,34.8
2016,,,,34.6
2017,,,,34.6
2018,,,,34.7
2019,,,,35.1
2020,,,,35.7
2021,,,,35.6
2022,,,,35.3
2023,,,,35.1
2024,,,,36.4
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Canada,,30.3
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Canada,,46.8
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Canada,,41.4
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Canada,,17.3
2015,Gestion,Terre-Neuve-et-Labrador,10,39.5
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Terre-Neuve-et-Labrador,10,
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Terre-Neuve-et-Labrador,10,49.1
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Terre-Neuve-et-Labrador,10,41.7
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Terre-Neuve-et-Labrador,10,20.0
2015,Gestion,Île-du-Prince-Édouard,11,35.9
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Île-du-Prince-Édouard,11,
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Île-du-Prince-Édouard,11,52.9
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Île-du-Prince-Édouard,11,48.0
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Île-du-Prince-Édouard,11,14.3
2015,Gestion,Nouvelle-Écosse,12,38.0
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouvelle-Écosse,12,
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouvelle-Écosse,12,47.0
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouvelle-Écosse,12,44.8
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouvelle-Écosse,12,15.3
2015,Gestion,Nouveau-Brunswick,13,35.6
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Nouveau-Brunswick,13,
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Nouveau-Brunswick,13,45.1
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Nouveau-Brunswick,13,41.0
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Nouveau-Brunswick,13,17.1
2015,Gestion,Québec,24,33.3
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Québec,24,33.3
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Québec,24,50.0
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Québec,24,35.4
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Québec,24,15.2
2015,Gestion,Ontario,35,36.5
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Ontario,35,26.4
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Ontario,35,47.2
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Ontario,35,43.0
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Ontario,35,15.4
2015,Gestion,Manitoba,46,31.4
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Manitoba,46,28.6
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Manitoba,46,47.5
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Manitoba,46,38.8
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Manitoba,46,17.4
2015,Gestion,Saskatchewan,47,30.7
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Saskatchewan,47,33.3
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Saskatchewan,47,51.2
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Saskatchewan,47,43.8
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",Saskatchewan,47,19.7
2015,Gestion,Alberta,48,32.7
2015,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Alberta,48,37.0
2015,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,Alberta,48,40.3
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",Alberta,48,44.6
